,eventairport_conv,lat,lon
72,ankeny regional,41.69111,-93.56639
73,annette island,55.0425,-131.57222222222222
74,anniston regional,33.588055555555556,-85.85805555555555
75,anoka county airport,45.144999999999996,-93.21027777777778
76,anoka county blaine arpt(janes field,45.144999999999996,-93.21027777777778
77,antonio nery pol,18.45111111111111,-66.67555555555556
78,antonio rivera rodriguez,18.134722222222223,-65.49388888888889
79,antrim county,44.98861111111111,-85.19833333333334
80,anvik,62.64667,-160.19056
81,apalachicola regional,29.7275,-85.0275
82,apex,47.656666666666666,-122.73333333333333
83,apex airpark,47.656666666666666,-122.73333333333333
84,arapahoe,40.339444444444446,-99.9063888888889
85,arcade tri county,42.56666666666667,-78.42611111111111
86,arcadia bienville parish,32.532222222222224,-92.95277777777778
87,arcata,40.97777777777778,-124.10833333333333
88,arctic village,68.11472,-145.57944
89,ardmore downtown executive,34.14694,-97.12278
90,argyle municipal,40.63972222222222,-73.77888888888889
91,arnold palmer regional,40.27472222222222,-79.40666666666667
92,arthur n neu,42.04611,-94.78889
93,asheboro regional,35.65444,-79.89472
94,asheville regional,35.43611111111111,-82.54166666666667
95,ashland county,40.90306,-82.25556
96,ashland lineville,33.284166666666664,-85.80916666666667
97,ashland municipal,42.19027777777777,-122.66055555555556
98,ashland regional,38.55444444444444,-82.73805555555556
99,ashley,46.02472222222222,-99.35166666666666
100,aspen pitkin co sardy field,39.223055555555554,-106.86888888888888
101,aspen pitkin county,39.223055555555554,-106.86888888888888
102,astoria,46.158055555555556,-123.8786111111111
103,astoria regional,46.158055555555556,-123.8786111111111
104,athens ben epps,33.948611111111106,-83.32638888888889
105,atkinson municipal,37.44944444444444,-94.73111111111112
106,atlanta,33.63666666666666,-84.42805555555556
107,atlanta hartsfield,33.63666666666666,-84.42805555555556
108,atlanta international,33.63666666666666,-84.42805555555556
109,atlanta regional falcon field,33.35722222222223,-84.57194444444444
110,atlanta south regional,33.38916666666667,-84.33222222222221
111,atlantic city,39.4575,-74.57722222222222
112,atlantic city international,39.4575,-74.57722222222222
113,atqasuk edward burnell sr memorial,70.46722222222222,-157.43555555555557
114,atwood rawlins county city county,39.84,-101.04194
115,auburn lewiston municipal,44.04861111111111,-70.28361111111111
116,auburn university regional,32.615,-85.43388888888889
117,audubon county,41.70139,-94.92056
118,augusta regional at bush field,33.37,-81.96444444444445
119,augusta state,44.32055555555556,-69.79722222222222
120,aurora international,14.581666666666667,-90.52666666666667
121,aurora municipal,41.77194444444444,-88.47555555555556
122,austin bergstrom international,30.194444444444446,-97.67
123,austin executive,30.3999,-97.5735
124,austin municipal,43.6625,-92.93277777777779
125,austin straubel international,44.484722222222224,-88.12972222222221
126,avenger field,32.467222222222226,-100.46638888888889
127,avi suquilla,34.150555555555556,-114.27111111111111
128,avon park executive,27.591388888888886,-81.52888888888889
129,bagdad,33.2625,44.23444444444444
130,baker city municipal,44.83722222222222,-117.80916666666667
131,bakersfield municipal,35.325,-118.99611
132,baldwin,44.26722222222222,-79.34055555555555
133,baldwin base,33.15416666666667,-83.24138888888889
134,baldwin county,33.15416666666667,-83.24138888888889
135,baltimore international,39.17527777777777,-76.66833333333334
136,bandera state,47.39528,-121.53639
137,bangor international,44.80722222222222,-68.82805555555555
138,bangor municipal,44.80722222222222,-68.82805555555555
139,baraboo wisconsin dells,43.52194,-89.77083
140,barkley regional,37.06027777777778,-88.77305555555556
141,barnes,42.158055555555556,-72.71583333333334
142,barnes county municipal,42.158055555555556,-72.71583333333334
143,barnes municipal,42.158055555555556,-72.71583333333334
144,barnstable municipal boardman field,41.66944,-70.28028
145,barnwell regional,33.25805555555556,-81.38805555555557
146,barron aviation,45.4075,-91.8286111111111
147,barrow county,33.98278,-83.6675
148,barstow daggett,34.853611111111114,-116.78666666666666
149,barter island lrrs,70.13388888888889,-143.58194444444445
150,bartlesville municipal,36.76416666666667,-96.0111111111111
151,bartow municipal,27.943333333333335,-81.78333333333333
152,barwick lafayette,34.68861111111111,-85.29027777777777
153,batesville,35.726111111111116,-91.64750000000001
154,batesville municipal,35.726111111111116,-91.64750000000001
155,batesville regional,35.726111111111116,-91.64750000000001
156,baton rouge,30.532777777777778,-91.15
157,baton rouge metropolitan ryan field,30.532777777777778,-91.15
158,battle creek,42.235,-85.55194444444444
159,battle creek municipal,42.235,-85.55194444444444
160,battle mountain,40.59972,-116.87611
161,baudette international,48.72833,-94.61222
162,baxter county,36.36888888888889,-92.47055555555556
163,bay bridge,38.97639,-76.32972
164,bay minette municipal,30.87027777777778,-87.81944444444444
165,baytown,29.78611,-94.95278
166,bayview,48.47083,-122.42083
167,beatty,36.86111,-116.78694
168,beaufort county,32.41222222222222,-80.63444444444445
169,beaumont municipal,30.07027777777778,-94.215
170,beauregard regional,30.831666666666667,-93.33999999999999
171,beaver county,40.7725,-80.39139
172,beaver island,45.69222,-85.56639
173,beaver marsh state,43.1275,-121.8086111111111
174,becks grove,43.25083333333333,-75.60444444444444
175,bedford municipal,42.47,-71.28916666666666
176,beech factory,37.69444444444444,-97.215
177,beech river regional,35.656388888888884,-88.19527777777778
178,beeville municipal,28.364358333333335,-97.65981111111111
179,bellefontaine municipal,40.412,-83.737
180,bellefontaine regional,40.37222,-83.81889
181,belleville,42.17670833333333,-83.54576944444445
182,belleville municipal,39.81777777777778,-97.65972222222223
183,bellingham international,48.7925,-122.5375
184,beluga,61.17305555555555,-151.04527777777778
185,bemidji regional,47.51083,-94.93472
186,bend municipal,44.09444444444445,-121.2
187,benjamin rivera noriega,18.313333333333333,-65.30444444444444
188,benjamin taisacan mangiona international,14.174444444444443,145.24249999999998
189,bennett,38.4125,-75.61667
190,bennettsville municipal,45.815,-97.74278
191,berkeley county,33.18556,-80.03611
192,berlin regional,44.57527777777778,-71.17583333333334
193,bermuda dunes,33.748333333333335,-116.27472222222222
194,bert mooney,45.95472222222222,-112.4975
195,bethany memorial,40.276944444444446,-94.0075
196,bethel,60.77861111111111,-161.83722222222224
197,bettles,66.91389,-151.52917
198,beverly,42.58416666666667,-70.91611111111112
199,beverly municipal,42.58416666666667,-70.91611111111112
200,big bear city,34.263888888888886,-116.8561111111111
201,big bend,52.078611111111115,-114.0275
202,big darby islan municipal,18.495,-67.12944
203,big lake,61.53611,-149.81389
204,big lake municipal,43.157777777777774,-93.33111111111111
205,big spring mc mahon wrinkle,32.212500000000006,-101.52166666666666
206,biggin hill,51.33083333333334,0.0325
207,billings international,45.80777777777777,-108.54277777777777
208,billings logan international,45.80777777777777,-108.54277777777777
209,billy g ray field,32.73361111111111,-117.18972222222223
210,billy mitchell,35.23277777777778,-75.61777777777777
211,birchwood,61.41611111111111,-149.50833333333333
212,bird field,17.136666666666667,-61.793055555555554
213,bird's nest,30.3999,-97.5735
214,birmingham shuttlesworth international,33.56388888888888,-86.75222222222222
215,bisbee douglas international,31.468888888888888,-109.6036111111111
216,bishop international,42.96555555555556,-83.74361111111111
217,bishop's landing,33.37638888888889,-96.72888888888889
218,black hills clyde ice field,44.48028,-103.78306
219,black rock,35.08305555555556,-108.79166666666667
220,black rock city,40.787,-119.206
221,blackwell tonkawa municipal,36.745,-97.34944
222,blackwood airpark,53.77166666666667,-3.028611111111111
223,blaine municipal,48.99,-122.7325
224,blair,11.64111111111111,92.72972222222222
225,blair municipal,41.414722222222224,-96.10888888888888
226,blake field,29.993333333333336,-90.25805555555556
227,blanca,-38.724722222222226,-62.16916666666666
228,block island municipal,43.62833333333333,-79.39611111111111
229,block island state,41.168055555555554,-71.57777777777777
230,blosser municipal,39.549166666666665,-97.65222222222222
231,blue grass,38.03638888888889,-84.60583333333332
232,blue ridge,36.63083,-80.01833
233,bluegrass,38.03638888888889,-84.60583333333332
234,bluff,40.15083333333333,-122.25222222222222
235,blythe,33.61472222222223,-114.71333333333334
236,blytheville municipal,35.940555555555555,-89.83083333333333
237,boardman,45.814825,-119.8205
238,bob baker memorial,66.97583,-160.43667
239,bob hope,34.20055555555556,-118.3586111111111
240,bob lee flight strip,33.942499999999995,-118.40805555555556
241,bob sikes,30.77883333333333,-86.52211111111112
242,bob wiley field,43.390277777777776,-99.84222222222222
243,boca raton,26.37861,-80.10778
244,boire field,42.781666666666666,-71.51472222222222
245,boise air terminal,43.56444444444444,-116.22277777777778
246,boise air terminal gowen field,43.56444444444444,-116.22277777777778
247,bolingbrook's clow international,41.69611111111111,-88.12916666666666
248,bolivar municipal,37.596111111111114,-93.34777777777778
249,bolton field,39.901111111111106,-83.13694444444445
250,bomar field shelbyville municipal,35.559444444444445,-86.44250000000001
251,boone inc,36.26138888888889,-93.15472222222223
252,boone municipal,42.04944444444444,-93.8475
253,bordner,18.495,-67.12944
254,borges clarksburg,38.44333,-121.50889
255,boston international,42.363055555555555,-71.00638888888889
256,boulder city municipal,35.947222222222216,-114.86027777777777
257,bowerman,46.97111,-123.93667
258,bowers field,47.033055555555556,-120.53055555555555
259,bowling green warren county regional,36.96444,-86.41972
260,bozeman yellowstone international,45.777,-111.152
261,brackett field,34.09166666666667,-117.78166666666667
262,bradford county,41.74,-76.44722
263,bradford regional,41.80305555555555,-78.64
264,bradley,41.939166666666665,-72.68333333333334
265,bradley international,41.939166666666665,-72.68333333333334
266,brainerd lakes regional,46.40222222222222,-94.13555555555556
267,branch county memorial,41.93361,-85.05222
268,brandon,49.91,-99.95222222222222
269,brandt,52.36666666666667,13.503333333333334
270,brazil clay county,39.47666666666667,-87.09972222222221
271,bremerton national,47.49027777777778,-122.76472222222222
272,brevig mission,65.33139,-166.46583
273,bridgeport international,41.163333333333334,-73.1261111111111
274,bridgeport municipal,33.17527777777777,-97.82833333333333
275,brigham city,41.5525,-112.06222
276,broadus,45.47056,-105.45722
277,broken bow municipal,41.43639,-99.64222
278,broken bow municipal keith glaze field,41.43639,-99.64222
279,bronson,56.67972222222222,-131.0875
280,brookhaven,40.82194,-72.86694
281,brookhaven lincoln county,31.605833333333333,-90.40944444444445
282,brookings,42.07444,-124.29
283,brookings municipal,44.30472222222222,-96.81694444444445
284,brookings regional,44.30472222222222,-96.81694444444445
285,brookneal campbell county,37.1408889,-79.0172222
286,brooks,50.634166666666665,-111.9263888888889
287,brookville air park,18.495,-67.12944
288,brown,32.57222222222222,-116.98027777777779
289,brown county,38.88194,-83.8825
290,brown field municipal,32.57222222222222,-116.98027777777779
291,brown's lakeside landings,51.57027777777778,0.6933333333333334
292,browns,33.77916666666667,-84.5213888888889
293,brownsville,25.90694444444444,-97.42583333333334
294,brownsville international,25.90694444444444,-97.42583333333334
295,brownsville south padre island international,25.90694444444444,-97.42583333333334
296,brownwood regional,31.79361111111111,-98.9563888888889
297,bruce campbell field,32.43861111111111,-90.10305555555556
298,brunswick executive,43.89222,-69.93889
299,brunswick golden isles,31.25889,-81.46639
300,bryan,33.433055555555555,-88.84861111111111
301,bryant aaf,34.21389,-119.09444
302,bryce canyon,37.70638888888889,-112.14500000000001
303,buchanan field,37.98972222222222,-122.05694444444444
304,buckeye,33.42055555555555,-112.68611111111112
305,buckeye municipal,33.42055555555555,-112.68611111111112
306,buckland,65.98167,-161.14917
307,buffalo lancaster regional,42.92222222222222,-78.61222222222221
308,buffalo niagara international,42.94056,-78.73222
309,bullhead city municipal,35.15611111111111,-114.55944444444444
310,burke,41.5175,-81.68333333333334
311,burke lakefront,41.5175,-81.68333333333334
312,burley municipal,42.5425,-113.77166666666666
313,burlington alamance regional,36.04861111111111,-79.47500000000001
314,burlington international,44.471944444444446,-73.15333333333334
315,burnet municipal kate craddock field,30.73888888888889,-98.23861111111111
316,burnett county,45.82278,-92.3725
317,burns municipal,43.591944444444444,-118.95555555555556
318,butler aviation,40.77694,-79.94972
319,butler county k w scholter field,40.77694,-79.94972
320,butte municipal,61.53028,-149.0175
321,buzz field,37.61888888888889,-122.375
322,byron,37.82833333333333,-121.62583333333333
323,cable,34.11167,-117.6875
324,caddo mills municipal,33.03611111111111,-96.24305555555556
325,caldwell industrial,43.64194444444444,-116.63583333333334
326,caledonia county,44.56917,-72.01806
327,calexico international,32.669444444444444,-115.51333333333334
328,california city municipal,35.151111111111106,-118.01666666666667
329,calvada meadows,36.27111,-115.995
330,camarillo,34.21389,-119.09444
331,cambria,40.315555555555555,-78.83472222222221
332,cambridge dorchester,38.53944444444444,-76.03027777777778
333,camdenton memorial,37.97389,-92.69111
334,cameron memorial,39.7275,-94.27638888888889
335,campbell,42.32472,-88.07417
336,campbell's,49.95194444444445,-125.27305555555556
337,candlelight farms,41.56916666666667,-73.46194444444444
338,canon,-28.099166666666665,-71.14583333333334
339,canton hackney,32.586111111111116,-95.86277777777777
340,cape cod,41.68527777777778,-70.40225000000001
341,cape girardeau regional,37.22527777777778,-89.57083333333333
342,cape may county,39.00861111111111,-74.90861111111111
343,cape may municipal,41.66944,-70.28028
344,capital region international,42.778638888888885,-84.58619444444444
345,capitol,43.0875,-88.17778
346,captain jack thomas el dorado,37.77417,-96.8175
347,caribou,46.8715,-68.01791666666666
348,carl r keller field,41.51638888888889,-82.86944444444444
349,carl's landing,58.276666666666664,-104.0825
350,carroll county regional jack b poage field,39.60833,-77.00778
351,carroll county tolson,40.56194,-81.0775
352,carson,39.19222,-119.73444
353,casa grande municipal,32.955,-111.76694
354,cascade locks state,45.67694,-121.87889
355,casper natrona county international,42.908055555555556,-106.46444444444445
356,castle,37.38055555555555,-120.56805555555555
357,catalina,33.405,-118.41583333333334
358,cattaraugus county olean,42.24111111111111,-78.37138888888889
359,cavanaugh,48.51861111111111,-116.82222222222222
360,cecil,30.21861111111111,-81.87666666666667
361,cecil county,39.57416666666667,-75.86972222222222
362,cedar city regional,37.700833333333335,-113.09888888888888
363,cedar key municipal,29.13417,-83.05056
364,centennial,39.57,-104.84944444444444
365,center island,48.49,-122.83166666666666
366,central county,44.7775,-89.66667
367,central jersey regional,40.52444444444444,-74.59833333333333
368,central nebraska regional,40.9675,-98.30972222222222
369,central wisconsin,44.7775,-89.66667
370,centralia municipal,38.515277777777776,-89.09166666666667
371,centre piedmont county regional,34.09,-85.61
372,chambers county,29.76972,-94.66333
373,chambers county winnie stowell,29.81917,-94.43083
374,chambersburg municipal,39.972111,-77.64325
375,champ field,53.57194444444445,-113.51944444444445
376,chan gurney municipal,42.916666666666664,-97.38583333333334
377,chandalar lake,67.50444444444445,-148.48305555555555
378,chandelle,39.202222222222225,-75.48555555555555
379,chandelle estates,39.202222222222225,-75.48555555555555
380,chandler,36.73222222222223,-119.82027777777778
381,chandler field,36.73222222222223,-119.82027777777778
382,chandler municipal,33.26916666666666,-111.8111111111111
383,chanute martin johnson,37.66888888888889,-95.485
384,charles b. wheeler downtown,39.12305555555555,-94.59277777777777
385,charles city municipal,43.0725,-92.61083
386,charles de gaulle international,49.00972222222222,2.5477777777777777
387,charles m. schulz sonoma county,38.50888888888889,-122.81277777777777
388,charleston executive,32.70083,-80.00278
389,charleston municipal,33.99139,-90.07861
390,charlotte douglas international,35.21388888888889,-80.94305555555556
391,charlotte monroe executive,35.01889,-80.62028
392,charlottesville albemarle,38.13861111111111,-78.45277777777778
393,chautauqua county dunkirk,42.49333,-79.27194
394,chautauqua county jamestown,42.15333333333333,-79.25805555555556
395,cheboygan county,45.65361,-84.51917
396,chefornak,60.14917,-164.28556
397,chehalis centralia,46.677027777777774,-122.98275
398,chenega bay,60.07722,-147.99194
399,chennault international,30.21056,-93.14306
400,cheraw municipal lynch bellinger field,34.71277777777778,-79.95694444444445
401,cherry,44.74166666666667,-85.58222222222221
402,cherry capital,44.74166666666667,-85.58222222222221
403,cherry ridge,41.51555555555556,-75.25166666666667
404,chesapeake regional,36.66556,-76.32056
405,chester catawba regional,34.78944,-81.19583
406,chesterfield county,37.40667,-77.525
407,chevak,61.54083,-165.60083
408,chevron usa inc.,34.20055555555556,-118.3586111111111
409,cheyenne county municipal,39.76111,-101.79583
410,cheyenne regional jerry olson field,41.15555555555555,-104.81055555555555
411,chicago executive,42.11416666666667,-87.90166666666667
412,chicago midway international,41.78611111111111,-87.7525
413,chicago o'hare international,41.978611111111114,-87.90472222222223
414,chicago rockford international,42.195277777777775,-89.09722222222221
415,chico municipal,39.79527777777778,-121.85833333333333
416,chignik lake,56.255,-158.77528
417,childress municipal,34.43388888888889,-100.28805555555556
418,chiloquin state,42.58305555555556,-121.8761111111111
419,chilton county,32.85055555555556,-86.61138888888888
420,chinle municipal,36.10944444444445,-109.57555555555555
421,chino,33.97472,-117.63667
422,chippewa county international,46.25083333333333,-84.4725
423,chippewa valley regional,44.865833333333335,-91.48416666666667
424,chiriaco summit,33.665,-115.71000000000001
425,cincinnati international,39.04888888888889,-84.66777777777779
426,cincinnati municipal airport lunken field,39.10333333333333,-84.41861111111112
427,cincinnati northern kentucky international,39.04888888888889,-84.66777777777779
428,cincinnati west,39.259166666666665,-84.77444444444444
429,cindy guntly memorial,42.81083333333333,-88.09388888888888
430,circle hot springs,65.48556,-144.61083
431,circle s farms,-0.45389,-90.26583
432,city of colorado springs municipal,38.80583333333333,-104.70083333333334
433,clare municipal,43.83444,-84.74028
434,claremont municipal,43.370555555555555,-72.36861111111111
435,claremore regional,36.29277777777778,-95.47972222222222
436,clarence e page municipal,35.48806,-97.82361
437,clarion county,41.225,-79.44222
438,clark,15.185833333333333,120.55972222222222
439,clark county,44.894999999999996,-97.71083333333334
440,clark regional,38.36555555555556,-85.73833333333333
441,clarks point,58.83361,-158.52944
442,clarksville municipal,35.470555555555556,-93.42722222222223
443,clarksville red river cty j d trissell field,33.59305555555556,-95.06361111111111
444,clay center municipal,39.38722222222222,-97.15722222222223
445,clayton county tara field,33.38916666666667,-84.33222222222221
446,clearfield lawrence,41.04917,-78.41528
447,clearwater international,27.91,-82.6875
448,cleburne regional,32.35388888888889,-97.43388888888889
449,cleveland,41.41166666666666,-81.84972222222221
450,cleveland hopkins international,41.41166666666666,-81.84972222222221
451,cleveland international,41.41166666666666,-81.84972222222221
452,clifford field,32.73361111111111,-117.18972222222223
453,clinton field,39.5025,-83.86333
454,clinton sampson county,34.975,-78.36555555555555
455,clintonville municipal,44.61333,-88.73083
456,clovis municipal,34.42527777777777,-103.07916666666667
457,coastal,38.687777777777775,-75.35833333333333
458,coastal carolina regional,35.073055555555555,-77.04305555555555
459,cobb county mc collum field,34.01305555555555,-84.59861111111111
460,cochran,33.626666666666665,-116.15972222222223
461,cochran county,33.626666666666665,-116.15972222222223
462,cochran municipal,33.626666666666665,-116.15972222222223
463,coeur d'alene municipal,47.77444444444444,-116.81944444444444
464,coffeyville municipal,37.094166666666666,-95.57194444444444
465,colby municipal,39.4275,-101.04667
466,cold bay,55.20527777777778,-162.72444444444446
467,coldfoot,67.25222,-150.20389
468,coleman a. young municipal,42.40917,-83.01
469,coleman municipal,31.84111111111111,-99.40333333333334
470,coles county memorial,39.47805555555556,-88.27916666666667
471,college park,38.980583333333335,-76.92230555555555
472,college park municipal,33.8720139,-117.9797833
473,collegedale municipal,35.043055555555554,-85.02194444444444
474,colonel james jabara,37.7475,-97.22111
475,colorado plains regional,40.175555555555555,-103.22194444444445
476,colorado spring municipal,38.80583333333333,-104.70083333333334
477,colorado springs east,38.87444,-104.41
478,columbia gorge regional the dalles municipal,45.618611111111115,-121.16722222222222
479,columbia metropolitan,33.93889,-81.11944
480,columbus county municipal,34.272777777777776,-78.715
481,columbus international,39.99805555555556,-82.89194444444445
482,columbus lowndes county,33.46527777777778,-88.38027777777778
483,columbus metropolitan,32.51638888888889,-84.9388888888889
484,colusa county,39.17916666666667,-121.99333333333334
485,comanche county city,31.92027777777778,-98.59916666666666
486,compton woodley,33.89,-118.24361111111111
487,concord municipal,43.20277777777778,-71.50222222222222
488,converse county,42.79722222222222,-105.38583333333334
489,conway horry county,33.82833333333333,-79.12194444444444
490,cook airfield inc,41.978611111111114,-87.90472222222223
491,cook county,31.13722,-83.45389
492,cooperstown municipal,47.42278,-98.10583
493,copalis state,47.14888888888889,-124.19055555555556
494,corcoran,36.10277777777778,-119.59472222222222
495,corcoran municipal,36.10277777777778,-119.59472222222222
496,corpus christi international,27.77028,-97.50111
497,corry lawrence,41.9075,-79.64111111111112
498,corvallis municipal,44.49722222222222,-123.28944444444444
499,cottage grove municipal,44.09444444444445,-121.2
500,cottage grove state,43.79984527777778,-123.02896666666666
501,cotulla la salle county,28.456666666666667,-99.21833333333333
502,council bluffs municipal,41.26,-95.75861111111111
503,county,42.212500000000006,-83.35333333333332
504,covington,39.04888888888889,-84.66777777777779
505,cox,39.90222222222222,-84.21944444444445
506,cox field,33.63666666666666,-95.45083333333334
507,cox int'l,39.90222222222222,-84.21944444444445
508,craig field,32.34389,-86.98778
509,craig municipal,30.336388888888887,-81.51444444444445
510,crandon steve conway municipal,45.5225,-88.92833333333334
511,crawford co,49.666666666666664,-116.81666666666666
512,crawfordsville municipal,39.976111111111116,-86.91916666666667
513,creve coeur,38.72666666666667,-90.50833333333334
514,crisp county cordele,31.98888888888889,-83.77388888888889
515,crookston municipal kirkwood field,47.84083,-96.62167
516,cross city,29.635555555555555,-83.10472222222222
517,cross keys,39.705555555555556,-75.03305555555555
518,crows landing,37.408055555555556,-121.10944444444443
519,crystal river,28.86722222222222,-82.57138888888889
520,culberson county,31.05777777777778,-104.78388888888888
521,culebra municipal,18.456666666666667,-66.09833333333333
522,culpeper regional,38.52556,-77.85972
523,cumberland municipal,45.50583,-91.98111
524,currituck county regional,36.39972222222222,-76.01555555555555
525,curtis field,31.179166666666667,-99.32388888888889
526,custer,41.933,-83.436
527,custer county,41.933,-83.436
528,cut bank municipal,48.6075,-112.3663
529,cuyahoga county,41.565,-81.4863888888889
530,cynthiana harrison county,38.36611,-84.28333
531,cyril e king,18.33722222222222,-64.97333333333333
532,dahio trotwood,39.76583333333333,-84.34333333333333
533,dallas executive,32.68083333333333,-96.86833333333333
534,dallas fort worth international,32.89694444444444,-97.03805555555556
535,dallas international,32.89694444444444,-97.03805555555556
536,dallas love field,32.84722222222222,-96.85166666666666
537,dambury municipal,41.37166666666667,-73.48222222222222
538,danbury municipal,41.37166666666667,-73.48222222222222
539,dane,43.13972,-89.3375
540,dane county regional truax field,43.13972,-89.3375
541,daniel,21.31861111111111,-157.92249999999999
542,daniel field,33.46638888888889,-82.03944444444444
543,danville,40.95139,-76.64278
544,danville municipal,35.08694444444445,-93.42750000000001
545,danville regional,36.57222,-79.33611
546,dare county regional,35.91888888888889,-75.69555555555556
547,darr field,33.37,-81.96444444444445
548,david jay perry,35.1550675,-97.47039388888889
549,david wayne hooks memorial,30.061944444444446,-95.55277777777778
550,davidson county,35.78111111111111,-80.30388888888889
551,daviess county,38.70056,-87.12972
552,davis field,35.657777777777774,-95.36166666666666
553,dawson community,47.13861111111111,-104.80722222222222
554,dayton,39.90222222222222,-84.21944444444445
555,dayton municipal,39.90222222222222,-84.21944444444445
556,dayton wright brothers,39.58888888888889,-84.22500000000001
557,daytona beach international,29.184722222222224,-81.06055555555555
558,daytona beach municipal,29.184722222222224,-81.06055555555555
559,de kalb county,33.87555555555556,-84.30194444444444
560,de kalb taylor municipal,41.93383425,-88.70568638888889
561,deadhorse,70.19472,-148.46528
562,dean memorial,44.080172222222224,-72.00776111111111
563,decatur,39.83444444444444,-88.86555555555555
564,decatur municipal,33.25416666666667,-97.58055555555555
565,deck,40.35212777777778,-76.32964444444444
566,decorah municipal,43.27556,-91.73944
567,deering,66.06944,-162.76639
568,deering municipal,52.184999999999995,-113.89444444444445
569,defiance memorial,41.3375,-84.42889
570,dekalb municipal,41.93383425,-88.70568638888889
571,dekalb peachtree,33.87555555555556,-84.30194444444444
572,del rio,29.374166666666667,-100.92722222222223
573,del rio international,29.374166666666667,-100.92722222222223
574,deland municipal sidney h taylor field,29.066944444444445,-81.28388888888888
575,delaware county regional,40.2425,-85.39583333333334
576,delaware municipal jim moore field,40.27991,-83.11195
577,delta county,45.72277777777778,-87.0936111111111
578,delta junction,64.05055555555555,-145.71722222222223
579,delta municipal,39.38055555555555,-112.50777777777778
580,denton municipal,33.20083,-97.19806
581,denver city,39.861666666666665,-104.67305555555556
582,denver international,39.861666666666665,-104.67305555555556
583,des moines international,41.53388888888889,-93.66305555555556
584,desert center,33.74777777777778,-115.32527777777777
585,desert rock,36.61944444444445,-116.03277777777778
586,detroit,42.212500000000006,-83.35333333333332
587,detroit international,42.212500000000006,-83.35333333333332
588,detroit metro,42.212500000000006,-83.35333333333332
589,detroit metropolitan wayne county,42.212500000000006,-83.35333333333332
590,detroit municipal,42.40917,-83.01
591,devils lake municipal,48.114444444444445,-98.90833333333335
