,acronym,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform
83,g/s,636.0,0,neg_nonalpha_abrev,,,
85,000',622.0,0,neg_nonalpha_abrev,,,
88,airport],605.0,0,neg_nonalpha_abrev,,,
91,note:,578.0,0,neg_nonalpha_abrev,,,
94,up',556.0,0,neg_nonalpha_abrev,,,
96,500',553.0,0,neg_nonalpha_abrev,,,
97,flying),550.0,0,neg_nonalpha_abrev,,,
98,'clr,546.0,0,neg_nonalpha_abrev,,,
99,5),543.0,0,neg_nonalpha_abrev,,,
101,msl),527.0,0,neg_nonalpha_abrev,,,
103,'monitor,525.0,0,neg_nonalpha_abrev,,,
105,3500',503.0,0,neg_nonalpha_abrev,,,
109,apch),488.0,0,neg_nonalpha_abrev,,,
110,'acr,488.0,0,neg_nonalpha_abrev,,,
111,'the,484.0,0,neg_nonalpha_abrev,,,
112,'yes,479.0,0,neg_nonalpha_abrev,,,
116,fo),461.0,0,neg_nonalpha_abrev,,,
117,'a',458.0,0,neg_nonalpha_abrev,,,
118,12000',448.0,0,neg_nonalpha_abrev,,,
123,'roger,440.0,0,neg_nonalpha_abrev,,,
125,ft',431.0,0,neg_nonalpha_abrev,,,
128,1500',420.0,0,neg_nonalpha_abrev,,,
129,4500',420.0,0,neg_nonalpha_abrev,,,
130,kts),419.0,0,neg_nonalpha_abrev,,,
131,'fly,418.0,0,neg_nonalpha_abrev,,,
132,'terrain,414.0,0,neg_nonalpha_abrev,,,
133,pnf),412.0,0,neg_nonalpha_abrev,,,
134,'climb,410.0,0,neg_nonalpha_abrev,,,
140,'what,388.0,0,neg_nonalpha_abrev,,,
146,'radar,357.0,0,neg_nonalpha_abrev,,,
147,mi),352.0,0,neg_nonalpha_abrev,,,
150,acft),340.0,0,neg_nonalpha_abrev,,,
151,'descend,337.0,0,neg_nonalpha_abrev,,,
153,alt),332.0,0,neg_nonalpha_abrev,,,
155,'do,325.0,0,neg_nonalpha_abrev,,,
157,spd',320.0,0,neg_nonalpha_abrev,,,
158,'in,320.0,0,neg_nonalpha_abrev,,,
161,conflict',312.0,0,neg_nonalpha_abrev,,,
162,'at,312.0,0,neg_nonalpha_abrev,,,
163,time),310.0,0,neg_nonalpha_abrev,,,
164,learned:,309.0,0,neg_nonalpha_abrev,,,
165,etc),307.0,0,neg_nonalpha_abrev,,,
166,200',305.0,0,neg_nonalpha_abrev,,,
167,s),301.0,0,neg_nonalpha_abrev,,,
168,me),301.0,0,neg_nonalpha_abrev,,,
169,'b',298.0,0,neg_nonalpha_abrev,,,
171,300',293.0,0,neg_nonalpha_abrev,,,
172,capt),291.0,0,neg_nonalpha_abrev,,,
173,14000',290.0,0,neg_nonalpha_abrev,,,
174,location:,290.0,0,neg_nonalpha_abrev,,,
177,y),283.0,0,neg_nonalpha_abrev,,,
179,13000',281.0,0,neg_nonalpha_abrev,,,
180,'negative,280.0,0,neg_nonalpha_abrev,,,
181,arpt),278.0,0,neg_nonalpha_abrev,,,
184,dme),271.0,0,neg_nonalpha_abrev,,,
185,agl),269.0,0,neg_nonalpha_abrev,,,
186,were:,266.0,0,neg_nonalpha_abrev,,,
189,[we,262.0,0,neg_nonalpha_abrev,,,
192,us),260.0,0,neg_nonalpha_abrev,,,
195,'direct,254.0,0,neg_nonalpha_abrev,,,
196,terrain',253.0,0,neg_nonalpha_abrev,,,
198,follows:,251.0,0,neg_nonalpha_abrev,,,
199,6),250.0,0,neg_nonalpha_abrev,,,
202,atc],247.0,0,neg_nonalpha_abrev,,,
203,'expect,247.0,0,neg_nonalpha_abrev,,,
205,clb',243.0,0,neg_nonalpha_abrev,,,
206,dep),240.0,0,neg_nonalpha_abrev,,,
207,b),239.0,0,neg_nonalpha_abrev,,,
208,[departure,238.0,0,neg_nonalpha_abrev,,,
213,5500',231.0,0,neg_nonalpha_abrev,,,
215,'gear,230.0,0,neg_nonalpha_abrev,,,
216,[a,229.0,0,neg_nonalpha_abrev,,,
217,'cross,229.0,0,neg_nonalpha_abrev,,,
218,'alt,227.0,0,neg_nonalpha_abrev,,,
219,actions:,226.0,0,neg_nonalpha_abrev,,,
220,vor),224.0,0,neg_nonalpha_abrev,,,
221,'acft,221.0,0,neg_nonalpha_abrev,,,
222,action:,221.0,0,neg_nonalpha_abrev,,,
224,100',220.0,0,neg_nonalpha_abrev,,,
226,6500',217.0,0,neg_nonalpha_abrev,,,
227,x),216.0,0,neg_nonalpha_abrev,,,
228,tfc',216.0,0,neg_nonalpha_abrev,,,
229,'that,215.0,0,neg_nonalpha_abrev,,,
230,s/o,213.0,0,neg_nonalpha_abrev,,,
231,c),213.0,0,neg_nonalpha_abrev,,,
232,via',213.0,0,neg_nonalpha_abrev,,,
233,'cleared,212.0,0,neg_nonalpha_abrev,,,
237,officer),206.0,0,neg_nonalpha_abrev,,,
239,atc),205.0,0,neg_nonalpha_abrev,,,
241,'on,203.0,0,neg_nonalpha_abrev,,,
242,'clb',202.0,0,neg_nonalpha_abrev,,,
244,ctlr),199.0,0,neg_nonalpha_abrev,,,
247,hdg),193.0,0,neg_nonalpha_abrev,,,
248,400',193.0,0,neg_nonalpha_abrev,,,
249,'pull,193.0,0,neg_nonalpha_abrev,,,
251,sight',191.0,0,neg_nonalpha_abrev,,,
252,'are,190.0,0,neg_nonalpha_abrev,,,
253,'low,189.0,0,neg_nonalpha_abrev,,,
254,7500',189.0,0,neg_nonalpha_abrev,,,
256,'rwy,188.0,0,neg_nonalpha_abrev,,,
257,'not,188.0,0,neg_nonalpha_abrev,,,
258,'flaps,187.0,0,neg_nonalpha_abrev,,,
261,[advised,185.0,0,neg_nonalpha_abrev,,,
262,'if,185.0,0,neg_nonalpha_abrev,,,
263,'tfc',184.0,0,neg_nonalpha_abrev,,,
264,apch',183.0,0,neg_nonalpha_abrev,,,
265,800',183.0,0,neg_nonalpha_abrev,,,
266,'a,182.0,0,neg_nonalpha_abrev,,,
267,a),182.0,0,neg_nonalpha_abrev,,,
268,turn),182.0,0,neg_nonalpha_abrev,,,
269,ta/ra,181.0,0,neg_nonalpha_abrev,,,
271,were],179.0,0,neg_nonalpha_abrev,,,
273,mins),178.0,0,neg_nonalpha_abrev,,,
274,'just,177.0,0,neg_nonalpha_abrev,,,
275,15000',177.0,0,neg_nonalpha_abrev,,,
277,area),175.0,0,neg_nonalpha_abrev,,,
278,'flt,175.0,0,neg_nonalpha_abrev,,,
279,'ok,174.0,0,neg_nonalpha_abrev,,,
281,17000',174.0,0,neg_nonalpha_abrev,,,
282,prob:,173.0,0,neg_nonalpha_abrev,,,
285,7),172.0,0,neg_nonalpha_abrev,,,
287,vfr),171.0,0,neg_nonalpha_abrev,,,
288,'it,171.0,0,neg_nonalpha_abrev,,,
289,8500',170.0,0,neg_nonalpha_abrev,,,
290,fpm),170.0,0,neg_nonalpha_abrev,,,
291,airspace),169.0,0,neg_nonalpha_abrev,,,
293,he/she,169.0,0,neg_nonalpha_abrev,,,
297,'this,167.0,0,neg_nonalpha_abrev,,,
298,out',166.0,0,neg_nonalpha_abrev,,,
300,'out,166.0,0,neg_nonalpha_abrev,,,
301,aircraft],165.0,0,neg_nonalpha_abrev,,,
302,rwy),165.0,0,neg_nonalpha_abrev,,,
303,'contact,164.0,0,neg_nonalpha_abrev,,,
306,down',164.0,0,neg_nonalpha_abrev,,,
308,[our,163.0,0,neg_nonalpha_abrev,,,
309,f/a,163.0,0,neg_nonalpha_abrev,,,
311,fail',162.0,0,neg_nonalpha_abrev,,,
312,plt),161.0,0,neg_nonalpha_abrev,,,
313,'unable,161.0,0,neg_nonalpha_abrev,,,
317,now',159.0,0,neg_nonalpha_abrev,,,
318,tfc),158.0,0,neg_nonalpha_abrev,,,
319,[aircraft,158.0,0,neg_nonalpha_abrev,,,
321,'too,157.0,0,neg_nonalpha_abrev,,,
324,altitude),156.0,0,neg_nonalpha_abrev,,,
326,'oh,155.0,0,neg_nonalpha_abrev,,,
327,ctl),154.0,0,neg_nonalpha_abrev,,,
328,'c',153.0,0,neg_nonalpha_abrev,,,
329,gps),153.0,0,neg_nonalpha_abrev,,,
331,freq),152.0,0,neg_nonalpha_abrev,,,
334,'get,151.0,0,neg_nonalpha_abrev,,,
336,'go,151.0,0,neg_nonalpha_abrev,,,
337,'level,150.0,0,neg_nonalpha_abrev,,,
338,course),150.0,0,neg_nonalpha_abrev,,,
339,'l,149.0,0,neg_nonalpha_abrev,,,
340,cause:,149.0,0,neg_nonalpha_abrev,,,
342,'affirmative,148.0,0,neg_nonalpha_abrev,,,
348,lbs),145.0,0,neg_nonalpha_abrev,,,
349,'remain,145.0,0,neg_nonalpha_abrev,,,
350,monitoring),144.0,0,neg_nonalpha_abrev,,,
351,it),144.0,0,neg_nonalpha_abrev,,,
353,faf),142.0,0,neg_nonalpha_abrev,,,
354,'he,141.0,0,neg_nonalpha_abrev,,,
355,recommendation:,140.0,0,neg_nonalpha_abrev,,,
356,nm),140.0,0,neg_nonalpha_abrev,,,
361,f/e,137.0,0,neg_nonalpha_abrev,,,
362,clrnc),137.0,0,neg_nonalpha_abrev,,,
363,'say,137.0,0,neg_nonalpha_abrev,,,
365,was:,136.0,0,neg_nonalpha_abrev,,,
366,'well,136.0,0,neg_nonalpha_abrev,,,
367,suggestions:,135.0,0,neg_nonalpha_abrev,,,
368,'dsnd',135.0,0,neg_nonalpha_abrev,,,
369,solution:,135.0,0,neg_nonalpha_abrev,,,
370,r),133.0,0,neg_nonalpha_abrev,,,
372,off',133.0,0,neg_nonalpha_abrev,,,
373,twr),132.0,0,neg_nonalpha_abrev,,,
374,pm),131.0,0,neg_nonalpha_abrev,,,
375,'as,130.0,0,neg_nonalpha_abrev,,,
377,speed',130.0,0,neg_nonalpha_abrev,,,
378,9),129.0,0,neg_nonalpha_abrev,,,
381,destination],128.0,0,neg_nonalpha_abrev,,,
382,'hdg,128.0,0,neg_nonalpha_abrev,,,
383,sid),128.0,0,neg_nonalpha_abrev,,,
384,conclusion:,128.0,0,neg_nonalpha_abrev,,,
385,vor/loc,127.0,0,neg_nonalpha_abrev,,,
386,believe),127.0,0,neg_nonalpha_abrev,,,
387,1200',127.0,0,neg_nonalpha_abrev,,,
388,'terrain',127.0,0,neg_nonalpha_abrev,,,
389,1600',127.0,0,neg_nonalpha_abrev,,,
390,600',127.0,0,neg_nonalpha_abrev,,,
391,out),127.0,0,neg_nonalpha_abrev,,,
392,'after,127.0,0,neg_nonalpha_abrev,,,
393,'hold,126.0,0,neg_nonalpha_abrev,,,
394,'vfr,126.0,0,neg_nonalpha_abrev,,,
395,apch/dep,126.0,0,neg_nonalpha_abrev,,,
399,think),125.0,0,neg_nonalpha_abrev,,,
404,ra),124.0,0,neg_nonalpha_abrev,,,
405,tcasii),124.0,0,neg_nonalpha_abrev,,,
406,flt),124.0,0,neg_nonalpha_abrev,,,
409,'traffic,123.0,0,neg_nonalpha_abrev,,,
410,1800',123.0,0,neg_nonalpha_abrev,,,
411,8),123.0,0,neg_nonalpha_abrev,,,
412,'to,123.0,0,neg_nonalpha_abrev,,,
413,clrnc:,122.0,0,neg_nonalpha_abrev,,,
414,'off',122.0,0,neg_nonalpha_abrev,,,
415,fix),122.0,0,neg_nonalpha_abrev,,,
416,700',121.0,0,neg_nonalpha_abrev,,,
418,feet),120.0,0,neg_nonalpha_abrev,,,
419,'where,120.0,0,neg_nonalpha_abrev,,,
420,re:,120.0,0,neg_nonalpha_abrev,,,
421,'r,120.0,0,neg_nonalpha_abrev,,,
422,final),120.0,0,neg_nonalpha_abrev,,,
423,'ra',119.0,0,neg_nonalpha_abrev,,,
424,on),118.0,0,neg_nonalpha_abrev,,,
425,field),117.0,0,neg_nonalpha_abrev,,,
427,'did,117.0,0,neg_nonalpha_abrev,,,
428,e),116.0,0,neg_nonalpha_abrev,,,
429,lnav/vnav,116.0,0,neg_nonalpha_abrev,,,
430,approx),116.0,0,neg_nonalpha_abrev,,,
432,'1000,115.0,0,neg_nonalpha_abrev,,,
436,9500',114.0,0,neg_nonalpha_abrev,,,
437,fuel',114.0,0,neg_nonalpha_abrev,,,
439,recommendations:,114.0,0,neg_nonalpha_abrev,,,
440,are:,114.0,0,neg_nonalpha_abrev,,,
441,this:,114.0,0,neg_nonalpha_abrev,,,
442,'clear,113.0,0,neg_nonalpha_abrev,,,
445,'reduce,112.0,0,neg_nonalpha_abrev,,,
446,'caution,112.0,0,neg_nonalpha_abrev,,,
448,'minimum,112.0,0,neg_nonalpha_abrev,,,
449,'no',111.0,0,neg_nonalpha_abrev,,,
450,'keep,111.0,0,neg_nonalpha_abrev,,,
451,seconds),110.0,0,neg_nonalpha_abrev,,,
452,off),110.0,0,neg_nonalpha_abrev,,,
453,alt',109.0,0,neg_nonalpha_abrev,,,
454,rnp),109.0,0,neg_nonalpha_abrev,,,
455,'yes',109.0,0,neg_nonalpha_abrev,,,
456,considerations:,109.0,0,neg_nonalpha_abrev,,,
457,deg),109.0,0,neg_nonalpha_abrev,,,
461,x],108.0,0,neg_nonalpha_abrev,,,
462,10500',108.0,0,neg_nonalpha_abrev,,,
463,reasons:,108.0,0,neg_nonalpha_abrev,,,
464,approach),108.0,0,neg_nonalpha_abrev,,,
465,contact',107.0,0,neg_nonalpha_abrev,,,
466,crew),107.0,0,neg_nonalpha_abrev,,,
467,'why,107.0,0,neg_nonalpha_abrev,,,
468,side),106.0,0,neg_nonalpha_abrev,,,
470,'aircraft,105.0,0,neg_nonalpha_abrev,,,
471,up),105.0,0,neg_nonalpha_abrev,,,
472,alert',105.0,0,neg_nonalpha_abrev,,,
473,go',105.0,0,neg_nonalpha_abrev,,,
475,'resume,104.0,0,neg_nonalpha_abrev,,,
477,leg),104.0,0,neg_nonalpha_abrev,,,
478,2200',104.0,0,neg_nonalpha_abrev,,,
481,t/d,103.0,0,neg_nonalpha_abrev,,,
483,clb),103.0,0,neg_nonalpha_abrev,,,
486,n),102.0,0,neg_nonalpha_abrev,,,
488,radial),101.0,0,neg_nonalpha_abrev,,,
489,point),101.0,0,neg_nonalpha_abrev,,,
491,factor:,100.0,0,neg_nonalpha_abrev,,,
492,course',100.0,0,neg_nonalpha_abrev,,,
493,hrs),100.0,0,neg_nonalpha_abrev,,,
494,'roger',100.0,0,neg_nonalpha_abrev,,,
496,proc),99.0,0,neg_nonalpha_abrev,,,
497,2300',99.0,0,neg_nonalpha_abrev,,,
498,arr),99.0,0,neg_nonalpha_abrev,,,
499,radar),99.0,0,neg_nonalpha_abrev,,,
502,'heads,97.0,0,neg_nonalpha_abrev,,,
503,assigned),97.0,0,neg_nonalpha_abrev,,,
504,approach',97.0,0,neg_nonalpha_abrev,,,
505,display),97.0,0,neg_nonalpha_abrev,,,
507,sid',96.0,0,neg_nonalpha_abrev,,,
510,myself),96.0,0,neg_nonalpha_abrev,,,
511,'one,96.0,0,neg_nonalpha_abrev,,,
512,1700',96.0,0,neg_nonalpha_abrev,,,
514,0),95.0,0,neg_nonalpha_abrev,,,
515,disagree',95.0,0,neg_nonalpha_abrev,,,
516,i),95.0,0,neg_nonalpha_abrev,,,
517,'there,95.0,0,neg_nonalpha_abrev,,,
518,'lndg,95.0,0,neg_nonalpha_abrev,,,
519,'for,95.0,0,neg_nonalpha_abrev,,,
520,'call,94.0,0,neg_nonalpha_abrev,,,
522,facility:,94.0,0,neg_nonalpha_abrev,,,
525,mva),93.0,0,neg_nonalpha_abrev,,,
526,l),93.0,0,neg_nonalpha_abrev,,,
530,pos),93.0,0,neg_nonalpha_abrev,,,
532,'on',91.0,0,neg_nonalpha_abrev,,,
533,it',91.0,0,neg_nonalpha_abrev,,,
535,2700',91.0,0,neg_nonalpha_abrev,,,
537,[i,91.0,0,neg_nonalpha_abrev,,,
538,'company,91.0,0,neg_nonalpha_abrev,,,
539,'see,91.0,0,neg_nonalpha_abrev,,,
540,performance:,90.0,0,neg_nonalpha_abrev,,,
541,ifr),90.0,0,neg_nonalpha_abrev,,,
542,day),90.0,0,neg_nonalpha_abrev,,,
544,w),90.0,0,neg_nonalpha_abrev,,,
545,conditions),90.0,0,neg_nonalpha_abrev,,,
547,'squawk,89.0,0,neg_nonalpha_abrev,,,
550,'all,89.0,0,neg_nonalpha_abrev,,,
554,'ta',88.0,0,neg_nonalpha_abrev,,,
555,'intercept,88.0,0,neg_nonalpha_abrev,,,
556,thought),88.0,0,neg_nonalpha_abrev,,,
558,atc:,87.0,0,neg_nonalpha_abrev,,,
560,'proceed,87.0,0,neg_nonalpha_abrev,,,
563,system),86.0,0,neg_nonalpha_abrev,,,
564,16000',86.0,0,neg_nonalpha_abrev,,,
565,'off,86.0,0,neg_nonalpha_abrev,,,
566,nav/com,86.0,0,neg_nonalpha_abrev,,,
567,'confirm,86.0,0,neg_nonalpha_abrev,,,
570,'chk,85.0,0,neg_nonalpha_abrev,,,
571,imc),85.0,0,neg_nonalpha_abrev,,,
572,'increase,85.0,0,neg_nonalpha_abrev,,,
573,'visual,85.0,0,neg_nonalpha_abrev,,,
574,degs',85.0,0,neg_nonalpha_abrev,,,
577,'normal',84.0,0,neg_nonalpha_abrev,,,
578,1100',84.0,0,neg_nonalpha_abrev,,,
579,2600',84.0,0,neg_nonalpha_abrev,,,
580,2400',84.0,0,neg_nonalpha_abrev,,,
582,on',83.0,0,neg_nonalpha_abrev,,,
583,turn',83.0,0,neg_nonalpha_abrev,,,
584,2800',83.0,0,neg_nonalpha_abrev,,,
585,'expect',82.0,0,neg_nonalpha_abrev,,,
587,'stay,82.0,0,neg_nonalpha_abrev,,,
588,kias),82.0,0,neg_nonalpha_abrev,,,
590,down),82.0,0,neg_nonalpha_abrev,,,
591,'stop,82.0,0,neg_nonalpha_abrev,,,
592,'when,81.0,0,neg_nonalpha_abrev,,,
595,'is,81.0,0,neg_nonalpha_abrev,,,
596,dsnd',81.0,0,neg_nonalpha_abrev,,,
597,was],81.0,0,neg_nonalpha_abrev,,,
598,'unable',81.0,0,neg_nonalpha_abrev,,,
599,intxn),81.0,0,neg_nonalpha_abrev,,,
602,filed',80.0,0,neg_nonalpha_abrev,,,
603,sum:,80.0,0,neg_nonalpha_abrev,,,
604,'who,80.0,0,neg_nonalpha_abrev,,,
605,suggestion:,80.0,0,neg_nonalpha_abrev,,,
608,'eng,79.0,0,neg_nonalpha_abrev,,,
609,'sma,79.0,0,neg_nonalpha_abrev,,,
610,around',79.0,0,neg_nonalpha_abrev,,,
612,3200',79.0,0,neg_nonalpha_abrev,,,
613,ils),78.0,0,neg_nonalpha_abrev,,,
616,'near,78.0,0,neg_nonalpha_abrev,,,
618,'good,78.0,0,neg_nonalpha_abrev,,,
621,'follow,78.0,0,neg_nonalpha_abrev,,,
623,is:,78.0,0,neg_nonalpha_abrev,,,
624,incident:,78.0,0,neg_nonalpha_abrev,,,
626,type),78.0,0,neg_nonalpha_abrev,,,
627,'verify,78.0,0,neg_nonalpha_abrev,,,
628,[another,78.0,0,neg_nonalpha_abrev,,,
629,v/s,77.0,0,neg_nonalpha_abrev,,,
630,events:,77.0,0,neg_nonalpha_abrev,,,
631,seat),77.0,0,neg_nonalpha_abrev,,,
634,base),77.0,0,neg_nonalpha_abrev,,,
635,'alt',77.0,0,neg_nonalpha_abrev,,,
636,'right,77.0,0,neg_nonalpha_abrev,,,
637,'how,76.0,0,neg_nonalpha_abrev,,,
638,did),76.0,0,neg_nonalpha_abrev,,,
639,loc),76.0,0,neg_nonalpha_abrev,,,
640,1',76.0,0,neg_nonalpha_abrev,,,
641,his/her,76.0,0,neg_nonalpha_abrev,,,
643,visual',75.0,0,neg_nonalpha_abrev,,,
645,causes:,75.0,0,neg_nonalpha_abrev,,,
649,'my,74.0,0,neg_nonalpha_abrev,,,
650,away),74.0,0,neg_nonalpha_abrev,,,
653,'yeah,73.0,0,neg_nonalpha_abrev,,,
654,captain),73.0,0,neg_nonalpha_abrev,,,
655,gs),73.0,0,neg_nonalpha_abrev,,,
656,'slam,73.0,0,neg_nonalpha_abrev,,,
657,hold',73.0,0,neg_nonalpha_abrev,,,
658,apch:,73.0,0,neg_nonalpha_abrev,,,
662,'they,72.0,0,neg_nonalpha_abrev,,,
663,'make,72.0,0,neg_nonalpha_abrev,,,
664,'clbing,72.0,0,neg_nonalpha_abrev,,,
665,dscnt',72.0,0,neg_nonalpha_abrev,,,
666,officer],72.0,0,neg_nonalpha_abrev,,,
667,sign),71.0,0,neg_nonalpha_abrev,,,
668,pic),71.0,0,neg_nonalpha_abrev,,,
670,'high,71.0,0,neg_nonalpha_abrev,,,
671,above',71.0,0,neg_nonalpha_abrev,,,
672,aircraft),71.0,0,neg_nonalpha_abrev,,,
673,not),71.0,0,neg_nonalpha_abrev,,,
674,'s',71.0,0,neg_nonalpha_abrev,,,
676,to:,71.0,0,neg_nonalpha_abrev,,,
677,lax),70.0,0,neg_nonalpha_abrev,,,
679,normal),70.0,0,neg_nonalpha_abrev,,,
681,1400',70.0,0,neg_nonalpha_abrev,,,
682,'stand,70.0,0,neg_nonalpha_abrev,,,
683,to',70.0,0,neg_nonalpha_abrev,,,
684,dest),70.0,0,neg_nonalpha_abrev,,,
685,spd),70.0,0,neg_nonalpha_abrev,,,
687,ctlr:,69.0,0,neg_nonalpha_abrev,,,
688,heading),69.0,0,neg_nonalpha_abrev,,,
689,sight),69.0,0,neg_nonalpha_abrev,,,
690,land',69.0,0,neg_nonalpha_abrev,,,
691,low),69.0,0,neg_nonalpha_abrev,,,
692,'continue,69.0,0,neg_nonalpha_abrev,,,
693,a],69.0,0,neg_nonalpha_abrev,,,
695,1900',69.0,0,neg_nonalpha_abrev,,,
696,'comply,69.0,0,neg_nonalpha_abrev,,,
701,'looking,68.0,0,neg_nonalpha_abrev,,,
702,radio),68.0,0,neg_nonalpha_abrev,,,
703,panel),67.0,0,neg_nonalpha_abrev,,,
704,pax),67.0,0,neg_nonalpha_abrev,,,
705,'0',67.0,0,neg_nonalpha_abrev,,,
706,in',67.0,0,neg_nonalpha_abrev,,,
708,hdg',67.0,0,neg_nonalpha_abrev,,,
709,1300',67.0,0,neg_nonalpha_abrev,,,
710,'ils,66.0,0,neg_nonalpha_abrev,,,
711,include:,66.0,0,neg_nonalpha_abrev,,,
712,rate',66.0,0,neg_nonalpha_abrev,,,
714,prevention:,66.0,0,neg_nonalpha_abrev,,,
715,was),66.0,0,neg_nonalpha_abrev,,,
717,'leading,66.0,0,neg_nonalpha_abrev,,,
718,lesson:,66.0,0,neg_nonalpha_abrev,,,
719,ca),66.0,0,neg_nonalpha_abrev,,,
720,'slow,66.0,0,neg_nonalpha_abrev,,,
721,event:,66.0,0,neg_nonalpha_abrev,,,
722,dep',66.0,0,neg_nonalpha_abrev,,,
723,3800',66.0,0,neg_nonalpha_abrev,,,
724,lndg),65.0,0,neg_nonalpha_abrev,,,
725,probs:,65.0,0,neg_nonalpha_abrev,,,
726,'2,65.0,0,neg_nonalpha_abrev,,,
727,'3,65.0,0,neg_nonalpha_abrev,,,
729,'apch,65.0,0,neg_nonalpha_abrev,,,
730,'fuel,65.0,0,neg_nonalpha_abrev,,,
731,arr/dep,65.0,0,neg_nonalpha_abrev,,,
732,only),65.0,0,neg_nonalpha_abrev,,,
733,separation',65.0,0,neg_nonalpha_abrev,,,
734,50',65.0,0,neg_nonalpha_abrev,,,
735,'before,65.0,0,neg_nonalpha_abrev,,,
738,red),65.0,0,neg_nonalpha_abrev,,,
739,d),65.0,0,neg_nonalpha_abrev,,,
740,thousand',64.0,0,neg_nonalpha_abrev,,,
741,one),64.0,0,neg_nonalpha_abrev,,,
742,times),64.0,0,neg_nonalpha_abrev,,,
745,altitude',64.0,0,neg_nonalpha_abrev,,,
746,'sorry,64.0,0,neg_nonalpha_abrev,,,
749,'1,64.0,0,neg_nonalpha_abrev,,,
750,'had,64.0,0,neg_nonalpha_abrev,,,
752,so),63.0,0,neg_nonalpha_abrev,,,
753,autoplt),63.0,0,neg_nonalpha_abrev,,,
754,000),63.0,0,neg_nonalpha_abrev,,,
756,degrees),63.0,0,neg_nonalpha_abrev,,,
757,atis),63.0,0,neg_nonalpha_abrev,,,
758,z),63.0,0,neg_nonalpha_abrev,,,
759,iaf),63.0,0,neg_nonalpha_abrev,,,
760,chart),63.0,0,neg_nonalpha_abrev,,,
761,'left,62.0,0,neg_nonalpha_abrev,,,
762,a/p,62.0,0,neg_nonalpha_abrev,,,
763,later),62.0,0,neg_nonalpha_abrev,,,
765,'smoke,62.0,0,neg_nonalpha_abrev,,,
768,'expedite,62.0,0,neg_nonalpha_abrev,,,
769,plts',62.0,0,neg_nonalpha_abrev,,,
770,in),62.0,0,neg_nonalpha_abrev,,,
771,feet',61.0,0,neg_nonalpha_abrev,,,
773,[flight,61.0,0,neg_nonalpha_abrev,,,
776,to),61.0,0,neg_nonalpha_abrev,,,
777,tracon),61.0,0,neg_nonalpha_abrev,,,
778,'heading,61.0,0,neg_nonalpha_abrev,,,
779,change),60.0,0,neg_nonalpha_abrev,,,
780,control],60.0,0,neg_nonalpha_abrev,,,
781,'going,60.0,0,neg_nonalpha_abrev,,,
782,[an,60.0,0,neg_nonalpha_abrev,,,
784,ta),60.0,0,neg_nonalpha_abrev,,,
785,'cabin,60.0,0,neg_nonalpha_abrev,,,
786,2100',59.0,0,neg_nonalpha_abrev,,,
788,vmc),59.0,0,neg_nonalpha_abrev,,,
790,above),59.0,0,neg_nonalpha_abrev,,,
792,climb',59.0,0,neg_nonalpha_abrev,,,
794,gnd),59.0,0,neg_nonalpha_abrev,,,
795,me:,59.0,0,neg_nonalpha_abrev,,,
796,[to,59.0,0,neg_nonalpha_abrev,,,
797,apch/lndg,59.0,0,neg_nonalpha_abrev,,,
801,lndg',58.0,0,neg_nonalpha_abrev,,,
