airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
05C,Canadian Lakes,2001,07,1,0
05C,GRIFFIN,1989,06,1,0
05C,GRIFFITH,1986,06,1,0
05C,GRIFFITH,1987,07,1,0
05C,GRIFFITH,1989,04,1,0
05C,GRIFFITH,1989,12,1,0
05C,GRIFFITH,1991,04,1,0
05C,GRIFFITH,1992,01,1,0
05C,GRIFFITH,1993,09,1,0
05C,GRIFFITH-MERRILLVILLE,1998,05,1,0
05C,GRIFFITH-MERRILLVILLE,2006,06,1,0
05C,GRIFFITH-MERRYVILLE AIRPO,2000,06,1,0
05C,Griffith-Merrillville,2001,01,1,0
05C,Griffith-Merrillville,2009,05,1,0
05C,Griffith-Merriville Airport,2017,09,1,0
05CL,Pope Valley,2012,05,1,0
05GA,BEAVER RUIN HELIPORT,1989,12,1,0
05LA,Greg's Flying Service,2015,05,1,0
05MD,Breezecroft Airport,2013,08,1,0
05S,VERNONIA,1982,11,1,0
05S,Vernonia Municipal,2004,05,1,0
06A,MOTON FIELD,1990,05,1,0
06A,MOTON FIELD MUNICIPAL,2002,10,1,0
06A,Moton Field Muncipal Airport,2017,10,1,0
06A,Moton Field Municipal Airport,2009,08,1,0
06A,TUSKEGEE,1987,01,1,0
06A,TUSKEGEE MUNICIPAL,1993,04,1,0
06A,TUSKEGEE MUNICIPAL,1993,06,1,0
06A,TUSKEGEE MUNICIPAL,1995,05,1,0
06B,Lucky Landings Marina & SPB,2009,05,1,0
06B,RANDALL,1985,06,1,0
06C,,1982,02,1,0
06C,SCHAUMBURG,1984,05,1,0
06C,SCHAUMBURG,1985,04,1,0
06C,SCHAUMBURG,1985,07,1,0
06C,SCHAUMBURG,1988,09,1,0
06C,SCHAUMBURG,1990,08,1,0
06C,SCHAUMBURG,1991,06,1,0
06C,SCHAUMBURG AIR PARK,1986,01,1,0
06C,SCHAUMBURG AIR PARK,2003,07,1,0
06C,SCHAUMBURG AIRPARK,1992,06,1,0
06C,SCHAUMBURG AIRPARK,1995,04,1,0
06C,SCHAUMBURG REGIONAL,1996,07,1,0
06C,SCHAUMBURG REGIONAL ARPT,2000,02,1,0
06C,SCHAUMBURG RGNL,2013,08,1,0
06C,SCHAUNBURG REGIONAL,1999,01,1,0
06C,SCHUAMBURG AIR PARK,1991,04,1,0
06C,Schaumburg Regional,2004,10,1,0
06C,Schaumburg Regional Airport,2003,10,1,0
06C,Schaumburg Regional Airport,2004,05,1,0
06C,Schaumburg Regional Airport,2010,09,1,0
06C,Schaumburg Regional Airport,2010,11,1,0
06C,Schaumburg Regional Airport,2018,05,1,0
06D,ROLLA,1991,01,1,0
06FA,William P. Gwynn,2017,08,1,0
06FD,GRASS ROOTS AIRPARK,2015,03,1,0
06M,BATESVILLE,1996,04,1,0
06MO,NOAH'S ARK,1983,08,1,0
06MO,NOAH'S ARK,1992,11,1,0
06MO,NOAHS ARK,1982,05,1,0
06MO,NOAHS ARK,1983,08,1,0
06MO,Noah's Ark Airport,2009,01,1,0
06MO,Noahs Ark,2007,07,1,0
06N,,1992,06,1,0
06N,RANDALL,1986,08,1,0
06N,RANDALL,1990,05,1,0
06N,RANDALL,1991,02,1,0
06N,RANDALL,2018,05,1,0
06N,Randall Airport,2006,12,1,0
06N,Randall Airport,2009,05,1,0
06N,Randall Airport,2012,12,1,0
06N,Randall Airport,2014,06,1,0
06NH,Cole Farm,2005,10,1,0
06NY,MURPHY FIELD,2018,01,1,0
06R,GRAWUNDER,1983,12,1,0
06R,GRAWUNDER,1996,04,1,0
06R,GRAWUNDER ARIPORT,1996,10,1,0
06R,Grawunder Field Airport,2012,12,1,0
06U,Franklin/Hayden Field,2001,07,1,0
06U,HAYDEN FIELD,1992,08,1,0
06U,HAYDEN FIELD,1994,03,1,0
06U,JACKPOT,1986,07,1,0
06U,JACKPOT,1989,05,1,0
06U,JACKPOT,1990,07,1,0
06U,JACKPOT,1994,09,1,0
06U,JACKPOT,1996,10,1,0
06U,JACKPOT/HAYDEN FIELD,2007,04,1,0
06U,JACKPOT/HAYDEN FIELD,2015,07,1,0
06U,JACKPOT/HAYDEN FIELD,2015,09,1,0
06U,JACKPOT/HAYDEN FLD,2000,07,1,0
06U,Jackpot,2000,07,1,0
06U,Jackpot,2006,12,1,0
06WN,Western Airpark,2012,07,1,0
07A,FRANKLIN FIELD,1991,02,1,0
07B,Blue Hill Airport,2010,05,1,0
07CL,Richvale Airport,2009,05,1,0
07F,GLADEWATER,1982,08,1,0
07F,GLADEWATER MUNICIPAL,1985,11,1,0
07F,Gladewater Municipal,2011,06,1,0
07F,Gladewater Municipal,2013,12,1,0
07F,Gladewater Municipal Airport,2011,11,1,0
07F,MUNICIPAL,1988,11,1,0
07K,Central City,2010,10,1,0
07K,Central City Muni,2007,09,1,0
07KY,Blue Lick Airport,2006,06,1,0
07MD,Baugher's Orchard Airport,2018,08,1,0
07N,BERMUDIAN VALLEY,1982,09,1,0
07N,BERMUDIAN VALLEY,1987,06,1,0
07R,BISHOP MUNICIPAL,1982,06,1,0
07R,Bishop Municipal Airport,2006,05,1,0
07S,BEAUMONT HOTEL,2016,07,1,0
07S,Beaumont Hotel,2018,12,1,0
07S,DEER PARK,1987,01,1,0
07S,DEER PARK,2002,07,1,0
07S,DEER PARK MUNICIPAL,1985,01,1,0
07TA,SALAIKA RANCH HELIPORT,1992,06,1,0
07TA,Salaika Aviation Airport,2013,07,1,0
07V,Cuchara Valley Airport,2010,01,1,0
07VA,Alpha Hotel,2019,04,1,0
08A,WETUMPKA,1983,04,1,0
08A,WETUMPKA MUNI,2017,07,1,0
08A,WETUMPKA MUNI.,1983,05,1,0
08A,WETUMPKA MUNICIPAL,1983,04,1,0
08A,WETUMPKA MUNICIPAL,1996,09,1,0
08A,Wetumpka Muni,2015,04,1,0
08AK,ATMAUTLAUK,1986,05,1,0
08AK,ATMAUTLUAK,1983,08,1,0
08AK,ATMAUTLUAK,1992,01,1,0
08AK,ATMAUTLWAK,1987,11,1,0
08B,ELIZABETH FIELD AIRPORT,1998,06,1,0
08B,MERRYMEETING FIELD,1993,09,1,0
08B,MERRYMEETING FIELD,2019,06,1,0
08C,JENISON/RIVERVIEW,1996,10,1,0
08C,Jenison Riverview,2009,08,1,0
08C,RIVERVIEW,1985,06,1,0
08C,RIVERVIEW,1987,06,1,0
08C,RIVERVIEW,1988,01,1,0
08C,RIVERVIEW,2003,06,1,0
08C,RIVERVIEW AIRPORT,1989,12,1,0
08C,Riverview Airport,2013,02,1,0
08CL,Kistler,2006,10,1,0
08D,STANLEY MUNICIPAL AIRPORT,2000,01,1,0
08D,Stanley Municipal,2009,03,1,0
08IN,Whybrew Field Airport,2016,04,1,0
08KY,Boss Airport,2013,07,1,0
08M,CARTHAGE-LEAKE CO,1986,01,1,0
08M,CARTHAGE-LEAKE COUNTY,1995,08,1,0
08M,Carthage-Leake County,2004,05,1,0
08ME,Lindbergh Airport,2008,06,1,0
08N,KELLER BROTHERS,1992,06,1,0
08N,Keller Brothers Airport,2009,11,1,0
08N,Keller Brothers Airport,2017,05,1,0
08VA,SPRINGWOOD AIRPORT,1993,04,1,0
08VA,Springwood Gliderport,2008,08,1,0
09A,BUTLER-CHOCTAW CO.,1997,08,1,0
09AK,LARSEN BAY,1987,10,1,0
09CL,Alta Sierra Airport,2004,04,1,0
09CL,Alta Sierra Skypark,2005,02,1,0
09FA,Placid Lakes,2008,06,1,0
09FA,Placid Lakes Airport,2009,02,1,0
09FD,CHERYL-LANE,1997,04,1,0
09J,JEKYLL ISLAND,1983,04,1,0
09J,JEKYLL ISLAND,1985,05,1,0
09J,JEKYLL ISLAND,2000,01,1,0
09J,Jekyll Island,2003,10,1,0
09J,Jekyll Island,2013,05,1,0
09J,Jekyll Island Airport,2010,05,1,0
09M,Charleston Municipal,2013,10,1,0
09MO,HOGUE FARM,1988,08,1,0
09N,AIRHAVEN AIRPORT,1999,10,1,0
09PA,EAGLE FIELD,2016,11,1,0
09R,TYLER COUNTY,1993,10,1,0
09R,WOODVILLE,1982,10,1,0
09S,SULLIVAN LAKE STATE,1991,09,1,0
09S,SULLIVAN LAKE STATE,1996,07,1,0
09S,SULLIVAN LAKE STATE,2013,08,1,0
09S,Sullivan Lake,2012,09,1,0
09S,Sullivan Lake State,2003,07,1,0
09S,Sullivan Lake State,2009,07,1,0
09S,Sullivan Lake State Airport,2008,07,1,0
09S,Sullivan Lake State Airport,2010,01,1,0
09W,HOGAN,1985,10,1,0
09WI,PACKWAY FARM,1989,12,1,0
09XS,Baptist Medical Center,2004,05,1,0
09Y,WIPLINE,1987,06,1,0
0A3,SMITHVILLE MUNI,1992,12,1,0
0A3,SMITHVILLE MUNICIPAL,1996,01,1,0
0A3,SMITHVILLE MUNICIPAL,1996,08,1,0
0A3,Smithville Municipal,2011,08,1,0
0A3,Smithville Municipal Airport,2018,10,1,0
0A4,JOHNSON CITY,1990,04,1,0
0A7,HENDERSONVILLE,1983,04,1,0
0A7,HENDERSONVILLE,1985,06,1,0
0A7,HENDERSONVILLE,1985,09,1,0
0A7,HENDERSONVILLE,1988,09,1,0
0A7,HENDERSONVILLE,1992,07,1,0
0A7,HENDERSONVILLE,1994,05,1,0
0A7,HENDERSONVILLE,1997,10,1,0
0A7,HENDERSONVILLE,2003,02,1,0
0A7,HENDERSONVILLE,2004,10,1,0
0A7,Hendersonville,2004,10,1,0
0A7,Hendersonville,2007,10,1,0
0A7,Hendersonville Airport,2007,12,1,0
0A7,JOHNSON AIRFIELD,1989,08,1,0
0A8,BIBB COUNTY,1994,01,1,0
0A9,ELIZABETHON MUNICIPAL,1993,04,1,0
0A9,ELIZABETHTON,1988,05,1,0
0A9,ELIZABETHTON MUNI,1988,03,0,1
0A9,ELIZABETHTON MUNI,2014,03,1,0
0A9,ELIZABETHTON MUNICIPAL,1994,04,1,0
0A9,ELIZABETHTON MUNICIPAL,1994,11,1,0
0A9,ELIZABETHTON MUNICIPAL,1998,09,1,0
0A9,Elizabethton Muni,2019,08,1,0
0A9,Elizabethton Municipal,2011,10,1,0
0A9,Elizabethton Municipal Airport,2007,09,1,0
0AA7,KALIFONSKY MEADOWS,2018,05,1,0
0AK1,ANDERSON LAKE,2014,02,1,0
0AK1,ANDERSON LAKE,2018,06,1,0
0AK1,ANDERSON LAKE STRIP,1996,04,1,0
0AK1,ANDERSON LAKE STRIP,1997,09,1,0
0AK1,ANDERSON LAKE STRIP,2000,05,1,0
0AK1,ANDERSON LAKE STRIP,2001,05,1,0
0AK1,Anderson Lake,2019,07,1,0
0AK2,YENTNA BEND STRIP,2017,12,1,0
0AL1,RESORT,2017,08,1,0
0AR3,TAYLORS AIRSTRIP,1999,08,1,0
0AZ2,Western Sky Airport,2003,06,1,0
0B1,BETHEL RGNL,2014,04,1,0
0B1,Bethel Regional Airport,2006,06,1,0
0B1,Bethel Regional Airport,2013,04,1,0
0B1,COLONEL DYKE FIELD,1992,09,1,0
0B1,COLONEL DYKE FIELD,1994,11,1,0
0B2,BREWER,1992,03,1,0
0B2,BREWER,1993,02,1,0
0B2,Brewer Airport,2001,05,1,0
0B4,HUNTER MT.,1983,07,1,0
0B5,TURNER FALLS,1993,05,1,0
0B5,Turners Falls Airport,2011,12,1,0
0B5,Turners Falls Airport,2017,11,1,0
0B7,WARREN SUGARBUSH,1995,07,1,0
0B7,WARREN SUGARBUSH AIRPORT,1998,10,2,0
0B7,WARREN-SUGARBUSH,1983,06,1,0
0B7,WARREN-SUGARBUSH,2014,05,0,1
0B7,WARREN-SUGARBUSH,2014,10,2,0
0B7,Warren Sugerbush,2001,09,1,0
0B7,Warren-Sugarbush,2004,05,1,0
0B7,Warren-Sugarbush Airport,2008,06,1,0
0B7,Warren-Sugarbush Airport,2010,10,1,0
0B8,ELIZABETH,1983,09,1,0
0B8,ELIZABETH FIELD,1983,08,1,0
0B8,ELIZABETH FIELD,1986,10,2,0
0B8,Elizabeth Field,2008,06,1,0
0C0,DACY,1992,05,1,0
0C0,DACY,1992,07,1,0
0C0,DACY,1992,09,1,0
0C0,DACY,2007,05,1,0
0C0,Dacy,2003,08,1,0
0C0,Dacy Airport,2002,06,1,0
0C0,Dacy Airport,2017,11,1,0
0C1,PONTIAC MUNICIPAL,1987,04,1,0
0C2,HINCKLEY,1993,08,1,0
0C2,HINCKLEY,1997,08,1,0
0C2,Hinckley,2014,10,1,0
0C4,GREATER KANKAKEE,1982,08,1,0
0C5,Canadian Lakes,2019,03,1,0
0C7,GANDPA'S FARM,1985,08,1,0
0C7,GRANDPA'S FARM,1988,03,1,0
0C8,,2010,06,1,0
0C8,CUSHING,1991,02,1,0
0C8,CUSHING FIELD,1989,09,2,0
0C8,CUSHING FIELD,1990,01,1,0
0C8,CUSHING FIELD,1991,08,1,0
0C8,CUSHING FIELD,1991,09,1,0
0C8,CUSHING FIELD,1993,06,1,0
0C8,CUSHING FIELD,2007,05,1,0
0C8,CUSHING FIELD LTD,2016,09,1,0
0C8,Cushing Field,2008,04,1,0
0C8,Cushing Field Airport,2008,07,1,0
0C8,Cushing Field LTD airport,2016,07,1,0
0C8,Cushing Field Ltd Airport,2009,05,1,0
0C8,Cushing Field Ltd Airport,2014,09,1,0
0CA1,NORTHSIDE AIRPARK,1982,05,1,0
0CL1,KREY FIELD,1995,12,1,0
0CL1,KREY FIELD,1996,05,1,0
0CL1,Krey Field,2001,05,1,0
0CL1,Krey Field,2010,08,1,0
0CL1,Krey Field Airport,2011,07,1,0
0CL3,John Nichol's Field,2012,09,1,0
0CL3,John Nichol's Field Airport,2012,08,1,0
0CO2,Buckhorn Ranch,2001,12,1,0
0CO2,Crested Butte,2007,07,1,0
0CO5,MACK MESA,1999,08,1,0
0CO6,Private,2001,08,1,0
0CO9,VAN TREESE,2014,07,1,0
0D7,ADA,1986,11,1,0
0E0,MORIARITY AIRPORT,1994,07,1,0
0E0,MORIARTY,1982,10,1,0
0E0,MORIARTY,1995,09,1,0
0E0,MORIARTY,1998,05,1,0
0E0,MORIARTY,2000,09,1,0
0E0,MORIARTY,2005,09,1,0
0E0,MORIARTY,2007,09,1,0
0E0,MORIARTY,2008,07,1,0
0E0,MORIARTY,2014,07,1,0
0E0,MORIARTY,2018,06,1,0
0E0,MORIARTY MUNI,2018,12,1,0
0E0,MORIARTY MUNI,2019,06,1,0
0E0,Moriarty,2003,06,1,0
0E0,Moriarty Airport,2005,07,1,0
0E0,Moriarty Airport,2005,12,1,0
0E0,Moriarty Airport,2007,03,1,0
0E0,Moriarty Airport,2011,10,1,0
0E0,Moriarty Muni,2019,06,1,0
0E0,Moriarty Municipal Airport,2018,07,1,0
0E8,CROWNPOINT,2015,05,1,0
0F2,BOWIE MUNI,1993,02,1,0
0F2,BOWIE MUNI,2014,08,1,0
0F2,BOWIE MUNICIPAL,1998,12,1,0
0F2,Bowie Municipal Airport,2006,07,1,0
0F7,FOUNTAINHEAD,1992,06,1,0
0F9,Tishomingo Airpark,2008,06,1,0
0FD1,Panhandle Helicopter Heliport,2008,12,1,0
0FD2,Dolphin Stadium Helipad,2014,12,1,0
0FD3,Dugger Field Airport,2005,08,1,0
0FL6,Stanchester,2006,12,1,0
0G0,NORTH BUFFALO SUBURBAN,1991,12,1,0
0G0,NORTH BUFFALO SUBURBAN,1992,06,1,0
0G0,NORTH BUFFALO SUBURBAN,1998,03,1,0
0G0,North Buffalo Suburban Airport,2008,08,1,0
0G5,Cook County Sea Plane,1999,09,1,0
0G6,WILLIAMS COUNTY,1983,06,1,0
0G7,Finger Lakes Regional Airport,2012,10,1,0
0G7,SENECA FALLS,1982,05,1,0
0G7,SENECA FALLS,1984,01,1,0
0GA2,"AIRNAUTIQUE, INC.",2015,04,1,0
0GA9,ROBERTA INDUSTRIAL,1998,05,1,0
0GE3,Lookout Mountain,2010,10,1,0
0GE3,Lookout Mountain,2012,05,1,0
0GE3,Lookout Mountain Ultralight,2002,06,1,0
0GE5,MOUNTAIN AIRPARK,2016,07,1,0
0GE5,Mountain Air Park,2013,06,2,0
0GE5,Mountain Airpark,2004,05,1,0
0GE5,Mountain Airpark,2008,07,1,0
0GE5,Mountain Airpark,2008,08,1,0
0GE5,Mountain Airpark,2008,09,1,0
0GE5,Mountain Airpark,2011,09,1,0
0GE5,Mountain Airpark,2013,05,1,0
0H7,Kahoka Municipal,2002,04,1,0
0I2,BRAZIL CLAY COUNTY,2003,06,1,0
0I2,CLAY COUNTY,1989,04,1,0
0I8,CYNTHIANA-HARRISON CO.,1993,10,1,0
0I8,CYNTHIANA-HARRISON COUNTY,2004,08,1,0
0ID8,Pinnacle,2009,11,1,0
0IN1,Snider Field,2007,12,1,0
0IN1,Snider Field Airport,2011,07,1,0
0IN2,The Lazy K Airport,2003,08,1,0
0IS3,Cady Aerial Airport,2003,08,1,0
0IS8,Blessing Hospital 11th St.,2001,01,1,0
0J0,Abbeville Municipal Airport,2017,03,1,0
0J4,FLORALA,1983,06,1,0
0J4,FLORALA,1983,08,1,0
0J4,FLORALA MUNICIPAL AIRPORT,1982,08,1,0
0J6,HEADLAND MUNICIPAL,1992,09,1,0
0J6,HEADLAND MUNICIPAL,1992,10,1,0
0J6,HEADLAND MUNICIPAL,1994,08,1,0
0J6,Headland Muni,2002,04,1,0
0J6,Headland Municipal Airport,2001,07,1,0
0J8,FLYING TEN,1983,01,1,0
0J8,Flying Ten Airport,2001,02,1,0
0J8,Flying Ten Airport,2010,04,1,0
0K7,HUMBOLDT MUNICIPAL APT,1997,10,1,0
0KY0,Owen Air Park,2012,06,1,0
0KY8,SKY AIRPORT,1997,06,1,0
0L5,GOLDFIELD,2002,06,1,0
0L7,JEAN,1990,05,1,0
0L7,JEAN,1995,02,1,0
0L7,JEAN,1996,04,1,0
0L7,JEAN,1997,06,3,0
0L7,JEAN,1998,06,1,0
0L7,JEAN,1999,01,1,0
0L7,JEAN,1999,10,3,0
0L7,JEAN,2003,01,2,0
0L7,JEAN,2007,03,1,0
0L7,JEAN,2017,04,1,0
0L7,JEAN AIRPORT,1994,06,1,0
0L7,Jean,2003,10,1,0
0L7,Jean,2004,12,1,0
0L7,Jean,2007,02,1,0
0L7,Jean,2007,08,1,0
0L7,Jean,2018,09,1,0
0L7,Jean Airport,2004,12,1,0
0L7,Jean Airport,2005,05,1,0
0L7,Jean Airport,2005,06,1,0
0L7,Jean Airport,2006,06,1,0
0L7,Jean Airport,2009,06,1,0
0L7,Jean Airport,2012,03,1,0
0L9,ECHO BAY,2014,06,1,0
0LA4,ST. JOHN,1992,07,1,0
0M0,BILLY FREE,1991,09,1,0
0M0,Billy Free Memorial Airport,2013,08,1,0
0M3,BAKER,1982,06,1,0
0M3,JOHN A BAKER FIELD,1993,11,1,0
0M4,BENTON COUNTY,1991,08,1,0
0M4,Benton County Airport,2012,06,1,0
0M5,HUMPHREYS COUNTY,1987,04,1,0
0M5,Humphreys County Airport,2001,11,1,0
0M8,BYERLEY,1996,06,1,0
0MI7,AL MEYERS,2001,04,1,0
0MU0,Eagle Field Airport,2000,09,1,0
0N0,ROOSTERVILLE,2014,04,1,0
0N4,CHANDELLE AIRPORT,1997,10,1,0
0N4,CHANDELLE ESTATES,1998,07,1,0
0N4,CHANDELLE ESTATES,1999,07,1,0
0N4,Chandelle Estates Airport,2005,05,1,0
0NJ6,Dix Field,2011,06,1,0
0NY0,Bennetta Airport,2004,07,1,0
0O2,BAKER,1998,07,1,0
0O4,CORNING MUNICIPAL,1993,02,1,0
0O9,WARD FIELD,1988,09,1,0
0O9,WARD FIELD,1994,04,1,0
0O9,Ward Field,2006,08,1,0
0OH4,ZURIK,1992,10,1,0
0OK3,McKinley Ranch Airport,2012,09,1,0
0OK7,HASKELL,1989,06,1,0
0OK7,HASKELL,1994,11,1,0
0OK7,HASKELL MUNI,1992,07,1,0
0OK8,Cades Airport,2013,06,1,0
0P2,Shoestring Aviation Airfield,2018,07,1,0
0PA0,PHILADELPHIA GLIDERPORT,1998,10,1,0
0PA0,Philadelphia Gliderport,2002,08,1,0
0PA0,Philadelphia Gliderport,2012,07,1,0
0PA2,HAUNSTEIN ULTRALIGHT PARK,1998,07,1,0
0PS7,Harmen Airport,2009,08,1,0
0Q3,SCHELLVILLE,1982,07,1,0
0Q3,SCHELLVILLE,1990,03,1,0
0Q3,SONOMA,1984,10,1,0
0Q3,SONOMA VALLEY,1985,10,1,0
0Q3,SONOMA VALLEY,1986,06,1,0
0Q3,SONOMA VALLEY,1988,05,1,0
0Q3,SONOMA VALLEY,1989,10,1,0
0Q3,SONOMA VALLEY,1993,09,1,0
0Q3,SONOMA VALLEY,1999,08,1,0
0Q3,SONOMA VALLEY,2001,05,1,0
0Q3,Sonoma Valley,2006,06,1,0
0Q3,Sonoma Valley Airport,2005,05,1,0
0Q3,Sonoma Valley Airport,2007,09,1,0
0Q4,SELMA,1984,01,1,0
0Q4,SELMA,1985,09,1,0
0Q4,SELMA,1993,07,1,0
0Q4,SELMA,1994,03,1,0
0Q4,SELMA,2000,02,1,0
0Q4,SELMA,2000,11,1,0
0Q4,SELMA,2004,03,1,0
0Q4,Selma,2015,08,1,0
0Q5,SHELTER COVE,1985,04,1,0
0Q5,SHELTER COVE,1994,09,1,0
0Q5,SHELTER COVE,1999,03,1,0
0Q5,SHELTER COVE,2005,08,1,0
0Q5,Shelter Cove Airport,2006,08,1,0
0Q9,SONOMA SKY PARK,1998,03,1,0
0Q9,SONOMA SKYPARK,1985,07,1,0
0Q9,SONOMA SKYPARK,1994,05,1,0
0Q9,SONOMA SKYPARK,1998,08,1,0
0Q9,SONOMA SKYPARK,2001,09,1,0
0Q9,SONOMA SKYPARK,2017,07,1,0
0Q9,SONOMA SKYPARK AIRPORT,2002,03,1,0
0Q9,Sonoma Skypark,2009,04,1,0
0Q9,Sonoma Skypark,2013,08,1,0
0Q9,Sonoma Skypark,2019,05,1,0
0Q9,Sonoma Skypark Airport,2007,05,1,0
0Q9,Sonoma Skypark Airport,2010,11,1,0
0Q9,Sonoma Skypark Airport,2013,03,1,0
0R0,Columbia-Marion County Airport,2009,03,1,0
0R0,Columbia-Marion County Airport,2011,10,1,0
