airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
03LA,Damien Heliport,1986,01,1,0
03ME,Maple Ridge Airport,2010,08,1,0
03NC,Pilots Ridge Airport,2010,06,1,0
03S,Sandy River Airport,1993,10,1,0
03S,Sandy River Airport,2000,07,1,0
03S,Sandy River Airport,2007,10,1,0
03S,Sandy River Airport,2009,08,1,0
03S,Sandy River Airport,2012,07,1,0
03TN,Eagles Landing Heliport,2007,04,1,0
03WA,Spangle Field,1982,07,0,1
03XS,Creekside Airport,1983,12,1,0
04FA,Richards Field,2005,04,1,0
04FA,Richards Field,2008,05,1,0
04FA,Richards Field,2008,06,1,0
04FA,Richards Field,2011,10,1,0
04IL,Schertz Aerial Service - Hudson Airport,2003,08,1,0
04KS,Robinson Industries Heliport,1985,08,1,0
04KS,Robinson Industries Heliport,1985,10,1,0
04LA,St James Heliport,1996,06,1,0
04NJ,Emmanuel Airport,2000,09,1,0
04NV,Kingston Ranch Airport,2013,04,1,0
04SC,Emergency Helipad,1984,01,1,0
04SD,Cheyenne River Health Center Heliport,1982,09,1,0
04SD,Cheyenne River Health Center Heliport,1983,06,1,0
04SD,Cheyenne River Health Center Heliport,1983,09,1,0
04SD,Cheyenne River Health Center Heliport,1985,09,1,0
04SD,Cheyenne River Health Center Heliport,1986,05,1,0
04SD,Cheyenne River Health Center Heliport,1987,04,1,0
04SD,Cheyenne River Health Center Heliport,1987,09,1,0
04SD,Cheyenne River Health Center Heliport,1989,09,2,0
04SD,Cheyenne River Health Center Heliport,1990,01,1,0
04SD,Cheyenne River Health Center Heliport,1990,03,1,0
04SD,Cheyenne River Health Center Heliport,1991,09,1,0
04SD,Cheyenne River Health Center Heliport,1991,10,1,0
04SD,Cheyenne River Health Center Heliport,1992,10,1,0
04SD,Cheyenne River Health Center Heliport,1993,09,1,0
04SD,Cheyenne River Health Center Heliport,1994,09,3,0
04SD,Cheyenne River Health Center Heliport,1996,05,1,0
04SD,Cheyenne River Health Center Heliport,1996,09,2,0
04SD,Cheyenne River Health Center Heliport,1997,10,1,0
04SD,Cheyenne River Health Center Heliport,1998,09,3,0
04SD,Cheyenne River Health Center Heliport,1999,05,1,0
04SD,Cheyenne River Health Center Heliport,1999,09,1,0
04SD,Cheyenne River Health Center Heliport,2000,04,1,0
04SD,Cheyenne River Health Center Heliport,2001,05,1,0
04SD,Cheyenne River Health Center Heliport,2001,08,1,0
04SD,Cheyenne River Health Center Heliport,2002,05,2,0
04SD,Cheyenne River Health Center Heliport,2002,09,1,0
04SD,Cheyenne River Health Center Heliport,2003,05,1,0
04SD,Cheyenne River Health Center Heliport,2004,03,2,0
04SD,Cheyenne River Health Center Heliport,2005,08,1,0
04SD,Cheyenne River Health Center Heliport,2006,04,1,0
04SD,Cheyenne River Health Center Heliport,2006,10,1,0
04SD,Cheyenne River Health Center Heliport,2007,04,1,0
04SD,Cheyenne River Health Center Heliport,2007,09,5,0
04SD,Cheyenne River Health Center Heliport,2007,11,1,0
04SD,Cheyenne River Health Center Heliport,2008,08,2,0
04SD,Cheyenne River Health Center Heliport,2008,09,1,0
04SD,Cheyenne River Health Center Heliport,2009,02,1,0
04SD,Cheyenne River Health Center Heliport,2011,06,1,0
04TN,Hensley Airpark,2008,05,1,0
04TN,Hensley Airpark,2012,10,1,0
04TX,Pocock Airport,1985,06,1,0
04V,Saguache Municipal Airport,2011,08,1,0
04WI,Dutch Gap Airstrip,2007,01,1,0
05CL,Pope Valley Airport,2012,05,1,0
05FA,Melanie's Airport,1985,07,1,0
05FA,Melanie's Airport,1997,04,1,0
05FA,Melanie's Airport,2002,09,1,0
05GA,Raju Airport,1989,12,1,0
05IA,Spotts Field,1986,10,1,0
05LA,Greg's Flying Service Airport,2015,05,1,0
05MD,Breezecroft Airport,2013,08,1,0
05OI,Dorlon Airpark,1983,11,1,0
05S,Vernonia Airfield,1982,11,1,0
05S,Vernonia Airfield,2004,05,1,0
05TE,Hilde-Griff Field,1986,07,1,0
06B,Lucky Landing Marina and Seaplane Base,1985,06,1,0
06B,Lucky Landing Marina and Seaplane Base,2009,05,1,0
06FA,William P Gwinn Airport,2017,08,1,0
06FD,Grass Roots Airpark,2015,03,1,0
06GA,Smith Heliport,1983,06,1,0
06MD,Bayview Heliport,1993,03,1,0
06MO,Noahs Ark Airport,1982,05,1,0
06MO,Noahs Ark Airport,1983,08,2,0
06MO,Noahs Ark Airport,1987,07,1,0
06MO,Noahs Ark Airport,1992,11,1,0
06MO,Noahs Ark Airport,2007,07,1,0
06MO,Noahs Ark Airport,2009,01,1,0
06N,Randall Airport,1986,08,1,0
06N,Randall Airport,1990,05,1,0
06N,Randall Airport,1991,02,1,0
06N,Randall Airport,1992,06,1,0
06N,Randall Airport,2006,12,1,0
06N,Randall Airport,2009,05,1,0
06N,Randall Airport,2012,12,1,0
06N,Randall Airport,2014,06,1,0
06N,Randall Airport,2018,05,1,0
06NH,Cole Farm Airport,2005,10,1,0
06NY,Murphy Field,2018,01,1,0
06R,Grawunder Field,1983,12,1,0
06R,Grawunder Field,1996,04,1,0
06R,Grawunder Field,1996,10,1,0
06R,Grawunder Field,2012,12,1,0
06WN,Western Airpark,2012,07,1,0
07AL,Tac X Stagefield Army Heliport,1988,06,1,0
07B,Blue Hill Airport,2010,05,1,0
07CA,West Side Hospital Heliport,1988,08,1,0
07CA,West Side Hospital Heliport,1989,08,1,0
07CA,West Side Hospital Heliport,1990,05,1,0
07CA,West Side Hospital Heliport,1995,08,1,0
07CA,West Side Hospital Heliport,1997,07,1,0
07CL,Richvale Airport,2009,05,1,0
07FL,Southwest Florida Regional Medical Center Heliport,1983,01,1,0
07GA,Alcovy Airport,1983,07,1,0
07GA,Alcovy Airport,1988,05,1,0
07GA,Alcovy Airport,1992,06,1,0
07GA,Alcovy Airport,1994,03,1,0
07GA,Alcovy Airport,1996,05,1,0
07GA,Alcovy Airport,1997,10,1,0
07K,Central City Municipal - Larry Reineke Field,2007,09,1,0
07K,Central City Municipal - Larry Reineke Field,2010,10,1,0
07KY,Blue Lick Airport,2006,06,1,0
07MD,Baugher's Orchard Airport,2018,08,1,0
07N,Bermudian Valley Airpark,1982,09,1,0
07N,Bermudian Valley Airpark,1987,06,1,0
07SN,Churchill Airport,1985,01,1,0
07SN,Churchill Airport,1987,01,1,0
07SN,Churchill Airport,2002,07,1,0
07SN,Churchill Airport,2016,07,1,0
07SN,Churchill Airport,2018,12,1,0
07TA,Salaika Aviation Airport,1992,06,1,0
07TA,Salaika Aviation Airport,2013,07,1,0
07VA,Alpha Hotel Airport,2019,04,1,0
08AK,Fisher Airport,1983,08,1,0
08AK,Fisher Airport,1986,05,1,0
08AK,Fisher Airport,1987,11,1,0
08AK,Fisher Airport,1992,01,1,0
08B,Merrymeeting Field,1993,09,1,0
08B,Merrymeeting Field,1998,06,1,0
08B,Merrymeeting Field,2019,06,1,0
08CL,Kistler Ranch Airport,2006,10,1,0
08IN,Winona Lake Seaplane Base,2016,04,1,0
08KY,Boss Airport,2013,07,1,0
08ME,Lindbergh Airport,2008,06,1,0
08N,Keller Brothers Airport,1992,06,1,0
08N,Keller Brothers Airport,2009,11,1,0
08N,Keller Brothers Airport,2017,05,1,0
08NC,Whiteheart Farm Airport,2005,07,1,0
08VA,Springwood Airstrip,1986,09,1,0
08VA,Springwood Airstrip,1989,10,0,1
08VA,Springwood Airstrip,1993,04,1,0
08VA,Springwood Airstrip,2008,08,1,0
08WA,Manchester Laboratory Heliport,2012,05,1,0
08WA,Manchester Laboratory Heliport,2012,08,1,0
08XA,Knolle Ranch Airport,1984,10,1,0
09AK,West Beaver Airport,1987,10,1,0
09CA,Mee Memorial Hospital Heliport,1983,10,1,0
09CA,Mee Memorial Hospital Heliport,1996,06,1,0
09CA,Mee Memorial Hospital Heliport,1997,06,1,0
09CL,Alta Sierra Airport,2004,04,1,0
09CL,Alta Sierra Airport,2005,02,1,0
09FA,Placid Lakes Airport,2008,06,1,0
09FA,Placid Lakes Airport,2009,02,1,0
09FD,Cheryl-Lane Landings Airport,1997,04,1,0
09FL,Sunnybreeze Airport,1983,07,1,0
09GA,Sunbelt Strip,1990,10,1,0
09GA,Sunbelt Strip,1993,03,1,0
09MO,Hogue Farm Airport,1988,08,1,0
09N,Airhaven Airport,1999,10,1,0
09PA,Eagle Field,2016,11,1,0
09S,Sullivan Lake State Airport,1991,09,1,0
09S,Sullivan Lake State Airport,1996,07,1,0
09S,Sullivan Lake State Airport,2003,07,1,0
09S,Sullivan Lake State Airport,2008,07,1,0
09S,Sullivan Lake State Airport,2009,07,1,0
09S,Sullivan Lake State Airport,2010,01,1,0
09S,Sullivan Lake State Airport,2012,09,1,0
09S,Sullivan Lake State Airport,2013,08,1,0
09VA,Alum Ridge STOLport,1990,07,1,0
09W,South Capitol Street Heliport,1985,10,1,0
09WI,Parkway Farm Strip,1989,12,1,0
09XS,Baptist Medical Center Heliport,2004,05,1,0
09Y,Wipline Seaplane Base,1987,06,1,0
0AA7,Kalifonsky Meadows Airport,2018,05,1,0
0AK1,Anderson Lake Airport,1996,04,1,0
0AK1,Anderson Lake Airport,1997,09,1,0
0AK1,Anderson Lake Airport,2000,05,1,0
0AK1,Anderson Lake Airport,2001,05,1,0
0AK1,Anderson Lake Airport,2014,02,1,0
0AK1,Anderson Lake Airport,2018,06,1,0
0AK1,Anderson Lake Airport,2019,07,1,0
0AK2,Yentna Bend Strip,2017,12,1,0
0AK7,Bradley Lake Hydroelectri Project Airstrip,2009,09,1,0
0AK7,Bradley Lake Hydroelectri Project Airstrip,2012,09,1,0
0AK7,Bradley Lake Hydroelectri Project Airstrip,2018,06,1,0
0AL1,Resort Airport,2017,08,1,0
0AR3,Taylor's Air Strip,1986,09,1,0
0AR3,Taylor's Air Strip,1999,08,1,0
0AZ2,Western Sky Airport,2003,06,1,0
0B2,Brewer Airport,1992,03,1,0
0B2,Brewer Airport,1993,02,1,0
0B2,Brewer Airport,2001,05,1,0
0B7,Warren-Sugarbush Airport,1983,06,1,0
0B7,Warren-Sugarbush Airport,1995,07,1,0
0B7,Warren-Sugarbush Airport,1998,10,2,0
0B7,Warren-Sugarbush Airport,2001,09,1,0
0B7,Warren-Sugarbush Airport,2004,05,1,0
0B7,Warren-Sugarbush Airport,2008,06,1,0
0B7,Warren-Sugarbush Airport,2010,10,1,0
0B7,Warren-Sugarbush Airport,2014,05,0,1
0B7,Warren-Sugarbush Airport,2014,10,2,0
0C1,Triple R Airport,1987,04,1,0
0C2,Hinckley Airport,1993,08,1,0
0C2,Hinckley Airport,1997,08,1,0
0C2,Hinckley Airport,2014,10,1,0
0C5,Canadian Lakes Airport,2019,03,1,0
0C7,Grandpas' Farm Mendota Airport,1985,08,1,0
0C7,Grandpas' Farm Mendota Airport,1988,03,1,0
0C8,Cushing Field Ltd Airport,1989,09,2,0
0C8,Cushing Field Ltd Airport,1990,01,1,0
0C8,Cushing Field Ltd Airport,1991,02,1,0
0C8,Cushing Field Ltd Airport,1991,08,1,0
0C8,Cushing Field Ltd Airport,1991,09,1,0
0C8,Cushing Field Ltd Airport,1993,06,1,0
0C8,Cushing Field Ltd Airport,2007,05,1,0
0C8,Cushing Field Ltd Airport,2008,04,1,0
0C8,Cushing Field Ltd Airport,2008,07,1,0
0C8,Cushing Field Ltd Airport,2009,05,1,0
0C8,Cushing Field Ltd Airport,2010,06,1,0
0C8,Cushing Field Ltd Airport,2014,09,1,0
0C8,Cushing Field Ltd Airport,2016,07,1,0
0C8,Cushing Field Ltd Airport,2016,09,1,0
0CA1,Northside Airpark,1982,05,1,0
0CL1,Krey Field Airport,1995,12,1,0
0CL1,Krey Field Airport,1996,05,1,0
0CL1,Krey Field Airport,2001,05,1,0
0CL1,Krey Field Airport,2010,08,1,0
0CL1,Krey Field Airport,2011,07,1,0
0CL3,John Nichol's Field Airport,2011,01,1,0
0CL3,John Nichol's Field Airport,2012,08,1,0
0CL3,John Nichol's Field Airport,2012,09,1,0
0CO1,Dave's Airport,1997,10,1,0
0CO1,Dave's Airport,2002,11,1,0
0CO1,Dave's Airport,2005,07,1,0
0CO2,Crested Butte Airpark,1984,07,1,0
0CO2,Crested Butte Airpark,1985,05,1,0
0CO2,Crested Butte Airpark,2001,12,1,0
0CO2,Crested Butte Airpark,2007,07,1,0
0CO4,Geo-Seis Helicopters Heliport,1985,07,1,0
0CO4,Geo-Seis Helicopters Heliport,1991,08,1,0
0CO5,Chenoweth Airport,1984,09,1,0
0CO5,Chenoweth Airport,1999,08,1,0
0CO6,Flying M & M Ranch Airport,2001,08,1,0
0CO9,Van Treese Airport,2014,07,1,0
0D7,Ada Airport,1986,11,1,0
0FA1,Ott's Landing Airport,1989,06,1,0
0FD1,Panhandle Helicopter Llc Heliport,2008,12,1,0
0FD2,Dolphin Stadium Heliport,2014,12,1,0
0FD3,Dugger Field,2005,08,1,0
0FL6,Stanchester Airport,2006,12,1,0
0G0,North Buffalo Suburban Airport,1991,12,1,0
0G0,North Buffalo Suburban Airport,1992,06,1,0
0G0,North Buffalo Suburban Airport,1998,03,1,0
0G0,North Buffalo Suburban Airport,2008,08,1,0
0G5,Grand Marais/Cook County Seaplane Base,1999,09,1,0
0GA1,Mustang Field,1984,09,1,0
0GA2,"Airnautique, Inc. Airport",2015,04,1,0
0GA9,Roberta Industrial Park Airport,1998,05,1,0
0GA9,Roberta Industrial Park Airport,2000,05,1,0
0GE3,Lookout Mountain Airport,2002,06,1,0
0GE3,Lookout Mountain Airport,2010,10,1,0
0GE3,Lookout Mountain Airport,2012,05,1,0
0GE5,Mountain Airpark,2004,05,1,0
0GE5,Mountain Airpark,2008,07,1,0
0GE5,Mountain Airpark,2008,08,1,0
0GE5,Mountain Airpark,2008,09,1,0
0GE5,Mountain Airpark,2011,09,1,0
0GE5,Mountain Airpark,2013,05,1,0
0GE5,Mountain Airpark,2013,06,2,0
0GE5,Mountain Airpark,2016,07,1,0
0H7,Kahoka Municipal Airport,2002,04,1,0
0I2,Brazil Clay County Airport,1989,04,1,0
0I2,Brazil Clay County Airport,2003,06,1,0
0IA1,St Anthony Regional Hospital Heliport,1990,10,1,0
0ID2,Flying Joseph Ranch Airport,1982,08,1,0
0ID2,Flying Joseph Ranch Airport,1985,06,1,0
0ID2,Flying Joseph Ranch Airport,1990,07,1,0
0ID8,Pinnacle Airport,2009,11,1,0
0IL8,Walter Airport,1986,09,1,0
0IL9,Jack W. Watson Airport,1990,08,1,0
0IN1,Snider Field,2007,12,1,0
0IN1,Snider Field,2011,07,1,0
0IN2,The Lazy K Airport,2003,08,1,0
0IN7,Roto-Whirl/Holiday Heliport,1987,10,1,0
0IS0,Trinity Medical Center West Heliport,1991,04,1,0
0IS3,Cady Aerial RLA Restricted Landing Area,2003,08,1,0
0IS8,Blessing Hospital At 11th St Heliport,2001,01,1,0
0J0,Abbeville Municipal Airport,2017,03,1,0
0J8,Flying Ten Airport,1983,01,1,0
0J8,Flying Ten Airport,2001,02,1,0
0J8,Flying Ten Airport,2010,04,1,0
0KS8,Pearce Field,1990,10,1,0
0KY0,Owen Air Park,2012,06,1,0
0KY8,Sky Airport,1997,06,1,0
0L5,Goldfield Airport,2002,06,1,0
0LA4,North Caddo Medical Center Heliport,1992,07,1,0
0MI7,Four Star Heliport,2001,04,1,0
0MI8,Twin Lakes Airport,2008,05,1,0
0MI9,Henry Ford Hospital Heliport,1983,07,1,0
0MO1,Flying G Airport,2001,11,1,0
0MO1,Flying G Airport,2002,11,1,0
0MO1,Flying G Airport,2018,09,1,0
0MO3,Arvin Ranch Airport,2005,01,1,0
0MO3,Arvin Ranch Airport,2007,09,1,0
0MO4,Bert Walter Berkowitz Heliport,1993,09,1,0
0MO6,Hall Airport,1987,07,1,0
0MO8,Sloan's Airport,2001,10,1,0
0MO8,Sloan's Airport,2008,06,1,0
0MO8,Sloan's Airport,2011,04,1,0
0MO8,Sloan's Airport,2015,08,1,0
0MO9,Emerson Heliport,2016,08,1,0
0MS0,Topton Air Estates Airport,1990,07,1,0
0MS9,Shenandoah Valley Farms Airport,2017,12,1,0
0MU0,Eagle Field,2000,09,1,0
0N0,Roosterville Airport,2014,04,1,0
0N4,Chandelle Airport,1997,10,1,0
0N4,Chandelle Airport,1998,07,1,0
0N4,Chandelle Airport,1999,07,1,0
0N4,Chandelle Airport,2005,05,1,0
0NC2,Moore Regional Hospital Heliport,2014,04,1,0
0NJ6,Dix Field,2011,06,1,0
0NY0,Bennetts Airport,2000,07,1,0
0NY0,Bennetts Airport,2004,07,1,0
0NY0,Bennetts Airport,2008,07,1,0
0O4,Corning Municipal Airport,1993,02,1,0
0O9,Ward Field,1988,09,1,0
0O9,Ward Field,1994,04,1,0
0O9,Ward Field,2006,08,1,0
0OH4,Upper Valley Medical Center Heliport,1992,10,1,0
0OK3,Mckinley Ranch Airport,2012,09,1,0
0OK5,Chappell Airport,1987,09,1,0
0OK5,Chappell Airport,1990,06,1,0
0OK7,Shattuck Hospital Heliport,1989,06,1,0
0OK7,Shattuck Hospital Heliport,1992,07,1,0
0OK7,Shattuck Hospital Heliport,1994,11,1,0
0OK8,Cade's Airport,2013,06,1,0
0OR3,Long Ranch Airport,1989,06,1,0
0OR7,Marr Field,1985,01,1,0
0OR7,Marr Field,1985,08,1,0
0OR9,Hanel Field,1984,11,1,0
0OR9,Hanel Field,1989,12,1,0
0OR9,Hanel Field,1990,01,1,0
0OR9,Hanel Field,2019,06,1,0
0P2,Shoestring Aviation Airfield,2018,07,1,0
0PA0,Philadelphia Gliderport,1998,10,1,0
0PA0,Philadelphia Gliderport,2002,08,1,0
0PA0,Philadelphia Gliderport,2012,07,1,0
0PA2,Haunstein Ultralightport,1998,07,1,0
0PS7,Harman Airport,2009,08,1,0
0Q3,Sonoma Valley Airport,1982,07,1,0
0Q3,Sonoma Valley Airport,1984,10,1,0
0Q3,Sonoma Valley Airport,1985,10,1,0
0Q3,Sonoma Valley Airport,1986,06,1,0
0Q3,Sonoma Valley Airport,1988,05,1,0
0Q3,Sonoma Valley Airport,1989,10,1,0
0Q3,Sonoma Valley Airport,1990,03,1,0
0Q3,Sonoma Valley Airport,1993,09,1,0
0Q3,Sonoma Valley Airport,1999,08,1,0
0Q3,Sonoma Valley Airport,2001,05,1,0
0Q3,Sonoma Valley Airport,2005,05,1,0
0Q3,Sonoma Valley Airport,2006,06,1,0
0Q3,Sonoma Valley Airport,2007,09,1,0
0Q4,Selma Airport,1984,01,1,0
0Q4,Selma Airport,1985,09,1,0
0Q4,Selma Airport,1993,07,1,0
0Q4,Selma Airport,1994,03,1,0
0Q4,Selma Airport,2000,02,1,0
0Q4,Selma Airport,2000,11,1,0
0Q4,Selma Airport,2004,03,1,0
0Q4,Selma Airport,2015,08,1,0
0Q9,Sonoma Skypark Airport,1985,07,1,0
0Q9,Sonoma Skypark Airport,1994,05,1,0
0Q9,Sonoma Skypark Airport,1998,03,1,0
0Q9,Sonoma Skypark Airport,1998,08,1,0
0Q9,Sonoma Skypark Airport,2001,09,1,0
0Q9,Sonoma Skypark Airport,2002,03,1,0
0Q9,Sonoma Skypark Airport,2007,05,1,0
0Q9,Sonoma Skypark Airport,2009,04,1,0
0Q9,Sonoma Skypark Airport,2010,11,1,0
0Q9,Sonoma Skypark Airport,2013,03,1,0
0Q9,Sonoma Skypark Airport,2013,08,1,0
0Q9,Sonoma Skypark Airport,2017,07,1,0
0Q9,Sonoma Skypark Airport,2019,05,1,0
0R2,Lincoln Municipal Airport,2019,07,1,0
0R7,The Red River Airport,1982,09,1,0
0R7,The Red River Airport,1999,08,1,0
0S1,Meadow Creek Usfs Airport,2013,09,1,0
0S1,Meadow Creek Usfs Airport,2014,09,1,0
0S1,Meadow Creek Usfs Airport,2018,04,1,0
0TE4,Hilltop Lakes Airport,2007,05,1,0
0TE4,Hilltop Lakes Airport,2009,09,1,0
0TS0,Flower Mound Airport,1988,11,1,0
0TX1,Pecan Plantation Airport,2004,12,1,0
0TX1,Pecan Plantation Airport,2007,02,1,0
0TX1,Pecan Plantation Airport,2009,05,1,0
0TX1,Pecan Plantation Airport,2010,05,1,0
0TX6,Elm Creek Airpark,1995,10,1,0
0TX6,Elm Creek Airpark,1998,01,1,0
0TX6,Elm Creek Airpark,2010,10,1,0
0U1,Warm Springs Creek Airport,2008,08,1,0
0U1,Warm Springs Creek Airport,2011,12,1,0
0U1,Warm Springs Creek Airport,2017,08,1,0
0U1,Warm Springs Creek Airport,2018,01,1,0
0U3,Mahoney Creek US Forest Service Airport,1986,01,1,0
0U8,May Airport,2009,08,1,0
0U8,May Airport,2010,06,1,0
0U9,Lee Williams Memorial Airport,1997,10,1,0
0WA2,Curtis Airport,1991,09,1,0
0WN0,Rucilla's Roost Airport,2010,06,1,0
0WY1,Dorsey Creek Ranch Airport,2007,07,1,0
0Y6,Lake Mills Municipal Airport,1992,05,1,0
0Z3,Shannons Pond Seaplane Base,1987,03,1,0
0Z3,Shannons Pond Seaplane Base,1992,09,1,0
0Z3,Shannons Pond Seaplane Base,1999,09,1,0
0Z3,Shannons Pond Seaplane Base,2010,09,2,0
0Z3,Shannons Pond Seaplane Base,2015,07,1,0
10AK,Hunt Strip,1983,02,1,0
10AK,Hunt Strip,1983,11,2,0
10AK,Hunt Strip,1985,01,1,0
10AK,Hunt Strip,1992,08,1,0
10CO,Silkman Farms Inc. Airport,2013,09,1,0
10CO,Silkman Farms Inc. Airport,2016,05,1,0
10CO,Silkman Farms Inc. Airport,2019,09,1,0
10D,Winsted Municipal Airport,2003,07,1,0
10D,Winsted Municipal Airport,2009,05,1,0
10D,Winsted Municipal Airport,2013,03,1,0
10D,Winsted Municipal Airport,2013,11,1,0
10FA,Flying Baron Estates Airport,2005,02,1,0
10GA,Beaverbrook Aerodrome,2009,03,1,0
10KS,University of Kansas Hospital Heliport,1992,04,1,0
10MA,Beaver Lake Seaplane Base,1993,08,1,0
10MA,Beaver Lake Seaplane Base,1995,06,1,0
10NC,Johnston Farm Airport,1991,04,1,0
10SD,Wanblee Health Center Heliport,1996,05,1,0
11CA,Turner Field,1982,01,1,0
11IL,Presence St Mary's Hospital - Kankakee Heliport,1992,07,1,0
11KS,Sheller's Airport,2001,04,1,0
11LL,Thacker Airport,2001,07,1,0
11N,Candlelight Farms Airport,1983,11,1,0
11N,Candlelight Farms Airport,1985,07,1,0
11N,Candlelight Farms Airport,1987,04,1,0
11N,Candlelight Farms Airport,1987,10,1,0
11N,Candlelight Farms Airport,1992,06,1,0
11N,Candlelight Farms Airport,2001,05,1,0
11N,Candlelight Farms Airport,2015,08,1,0
11N,Candlelight Farms Airport,2017,08,1,0
11S,Sekiu Airport,1983,07,1,0
11S,Sekiu Airport,1989,01,1,0
11XS,Speed Shore Company Headquarters Heliport,1983,12,1,0
11XS,Speed Shore Company Headquarters Heliport,1987,06,1,0
11XS,Speed Shore Company Headquarters Heliport,1987,10,1,0
11XS,Speed Shore Company Headquarters Heliport,1998,02,1,0
12A,Arkavalley Airport,2009,07,1,0
12A,Arkavalley Airport,2013,04,1,0
12CA,Faber Vineyards Airport,1994,11,1,0
12CA,Faber Vineyards Airport,1997,05,1,0
12CN,Richter Airport,2018,04,1,0
12ID,Flying B Ranch Landing Strip,2002,09,1,0
12ID,Flying B Ranch Landing Strip,2005,09,1,0
12ID,Flying B Ranch Landing Strip,2013,06,1,0
12ID,Flying B Ranch Landing Strip,2019,07,1,0
12IN,J & S Field,2006,06,1,0
12S,Monument Municipal Airport,2010,05,1,0
12TN,Riley Creek Airport,2010,05,1,0
12TN,Riley Creek Airport,2016,01,1,0
12WA,Fowlers Nw 40 Airport,1982,07,1,0
12WA,Fowlers Nw 40 Airport,2018,09,1,0
13FA,Earle Airpark,2003,05,1,0
13FA,Earle Airpark,2019,07,1,0
13IN,Gage Airport,2005,09,1,0
