"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20190106000119I","06-JAN-19","FALLSTON","MD","FALLSTON","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA32","260","","","GENERAL OPERATING RULES","","3618W","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","612","37","37",""
"20190106007319I","06-JAN-19","MELBOURNE","FL","MELBOURNE INTL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","87BR","0","0","LYCOMI","IO-540 SER","","","PRIVATE PILOT","495","21","17",""
"20190108007329I","08-JAN-19","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","76","NO SERIES EXISTS","ARI BEN AVIATOR","","PILOT SCHOOLS","","650TH","0","0","","","","2","","","","",""
"20190108007339I","08-JAN-19","SAINT PETERSBURG","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","LEARJET","31","A","ELITE AIR INC","","GENERAL OPERATING RULES","","929JH","0","0","AIRESE","TFE731 SER","","2","AIRLINE TRANSPORT","2730","241","80",""
"20190108007349I","08-JAN-19","SAINT PETERSBURG","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA28","181","","","GENERAL OPERATING RULES","","659A","0","0","LYCOMI","O-360-A4M","","","STUDENT","","","",""
"20190108007359I","08-JAN-19","MELBOURNE","FL","MELBOURNE INTL","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA28","161","F I T AVIATION INC LLC","","PILOT SCHOOLS","","639FT","0","0","LYCOMI","O-320-D3G","","","PRIVATE PILOT","213","140","26",""
"20190109007369I","09-JAN-19","NEPHI","UT","NEPHI MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","","","","","","GENERAL OPERATING RULES","","117PV","0","0","ROTAX","914UL","","","PRIVATE PILOT","","25","14",""
"20190109007379I","09-JAN-19","ABILENE","TX","ABILENE RGNL","INCIDENT","NONE","DESCENT","PIPER","PA28R","200","","","GENERAL OPERATING RULES","","2759R","0","0","LYCOMI","I0360 SER","","","AIRLINE TRANSPORT","11000","691","12",""
"20190110007399I","10-JAN-19","CONWAY","AR","","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA24","250","","","GENERAL OPERATING RULES","","7084P","0","0","LYCOMI","0-540 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","6100","50","25",""
"20190111009459I","11-JAN-19","BELLINGHAM","WA","BELLINGHAM INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA30","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","518CM","0","0","LYCOMI","IO-320 SERIES","","","","","","",""
"20190112007569I","12-JAN-19","TEXARKANA","AR","TEXARKANA RGNL-WEBB FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20C","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6872U","0","0","LYCOMI","O-360-A1D","","1","AIRLINE TRANSPORT","8962","409","117",""
"20190112010909I","12-JAN-19","","TX","ELLINGTON","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20F","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6919V","0","0","LYCOMI","I0360 SER","IO360","1","","","","",""
"20190114007589I","14-JAN-19","ORO VALLEY","AZ","LA CHOLLA AIRPARK","INCIDENT","MINOR","TAXI","BEECH","35","V35B","","","GENERAL OPERATING RULES","","9487Q","0","0","CONT M","IO 520 SERIES","","1","COMMERCIAL PILOT","5000","2000","10",""
"20190115007609I","15-JAN-19","KENDALL","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","LANDING: APPROACH","MOONEY","M20M","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","225KT","0","0","LYCOMI","TI0-540","AF1A","1","","","","",""
"20190115007629I","15-JAN-19","MILWAUKEE","WI","GENERAL MITCHELL INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","99","A","FREIGHT RUNNERS EXPRESS INC","","GENERAL OPERATING RULES","","899CZ","0","0","","","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","12000","7000","100",""
"20190116007649I","16-JAN-19","GUYMON","OK","GUYMON MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","T240","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","468PA","0","0","CONT M","TSIO-550-C","","1","PRIVATE PILOT","100","20","70",""
"20190117007659I","17-JAN-19","GAYLORD","MI","GAYLORD RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","310","R","NORTH COUNTRY AVIATION INC","","GENERAL OPERATING RULES","","71NC","0","0","CONT M","IO 520 SERIES","","2","","","","",""
"20190117007669I","17-JAN-19","OPA LOCKA","FL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","172","S","","","PILOT SCHOOLS","","1333E","0","0","LYCOMI","IO-360-L2A","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","5500","4000","255",""
"20190117007679I","17-JAN-19","TALLAHASSEE","FL","TALLAHASSEE RGNL","INCIDENT","MINOR","GROUND-RAMP","PIPER","PA28","160","","","GENERAL OPERATING RULES","","5973W","0","0","LYCOMI","0-320 SERIES","UNKNOW","","COMMERCIAL PILOT","435","23","23",""
"20190118008189I","18-JAN-19","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","MINOR","LANDING: ROLLOUT","BOEING","737","8H4","SOUTHWEST AIRLINES CO","","AIR CARRIER/COMMERCIAL","","8687A","0","0","CFM IN","CFM56-7B/3","864159","","AIRLINE TRANSPORT","14343","14344","108",""
"20190120009349I","20-JAN-19","NORTH LAS VEGAS","NV","","INCIDENT","MINOR","MANEUVER","PIPER","PA38","112","","","GENERAL OPERATING RULES","","25410","0","0","LYCOMI","0-235 SERIES","","","PRIVATE PILOT FLIGHT INSTRUCTOR","","1038","30",""
"20190121009469I","21-JAN-19","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","MINOR","LANDING: ROLLOUT","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","35EL","0","0","LYCOMI","I0360 SER A&C","","1","","","","",""
"20190121009479I","21-JAN-19","MCALLEN","TX","MC ALLEN MILLER INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA24","250","","","GENERAL OPERATING RULES","","5755P","0","0","","","","","PRIVATE PILOT","422","55","9",""
"20190121009489I","21-JAN-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","CESSNA","172","R","WINTER HAVEN AIR SERVICES","","PILOT SCHOOLS","","2221R","0","0","LYCOMI","I0360 SER","","1","COMMERCIAL PILOT","1015","","",""
"20190123011379I","23-JAN-19","VANCOUVER","WA","PEARSON FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","1863Q","0","0","LYCOMI","IO-360-A1B6D","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","4000","","50",""
"20190124009519I","24-JAN-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","NONE","LANDING: APPROACH","CESSNA","172","S","AIR EXPRESS INC","","PILOT SCHOOLS","","5523V","0","0","LYCOMI","IO-360-L2A","","1","","","","",""
"20190125000369I","25-JAN-19","MORRISVILLE","NC","RALEIGH-DURHAM INTL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","181","","","GENERAL OPERATING RULES","","2846G","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","121","121","6",""
"20190125009539I","25-JAN-19","HENDERSON","NV","HENDERSON EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","486K","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","1170","38","36",""
"20190125009549I","25-JAN-19","MINDEN","NV","MINDEN-TAHOE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","6514W","0","0","LYCOMI","0-320 SERIES","E2A","","STUDENT","17","17","9",""
"20190125009559I","25-JAN-19","WINTER HAVEN","FL","WINTER HAVEN'S GILBERT","INCIDENT","NONE","LANDING: ROLLOUT","UNITED CONSULTANT","UC1","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","65NE","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4809","394","108",""
"20190126000429I","26-JAN-19","DOVER","DE","DELAWARE AIRPARK","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA34","200","","","PILOT SCHOOLS","","401DS","0","0","LYCOMI","I0360 SER","","","","","","",""
"20190126009569I","26-JAN-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA11","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","275DL","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT FLIGHT INSTRUCTOR","3600","150","",""
"20190126009579I","26-JAN-19","MINDEN","NV","MINDEN-TAHOE","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28","140","","","GENERAL OPERATING RULES","","4566R","0","0","LYCOMI","0-320","E2A","","STUDENT","40","38","7",""
"20190126009589I","26-JAN-19","CECIL","FL","CECIL","INCIDENT","NONE","LANDING: TOUCHDOWN","PIPER","J3C","65","","","GENERAL OPERATING RULES","","71017","0","0","CONT M","A&C65 SERIES","","","STUDENT","40","40","",""
"20190127009599I","27-JAN-19","ARDMORE","OK","ARDMORE MUNI","INCIDENT","MINOR","TAKEOFF: ROTATION","CESSNA","172","M","","","PILOT SCHOOLS","","5082R","0","0","LYCOMI","0-320 SERIES","","1","","","","",""
"20190128000029I","28-JAN-19","PETALUMA","CA","PETALUMA MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","182","R","","","GENERAL OPERATING RULES","","3177C","0","0","LYCOMI","0-540 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","9010","2300","",""
"20190128009619I","28-JAN-19","BRYANT","AR","SALINE COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","33","35 33","","","GENERAL OPERATING RULES","","808R","0","0","CONT M","I0-470 SERIES","","","PRIVATE PILOT","220","112","23",""
"20190128009629I","28-JAN-19","ROCK SPRINGS","WY","ROCK SPRINGS-SWEETWATER COUNTY","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","PIPER","PA28","180","","","GENERAL OPERATING RULES","","43449","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT","103","31","36",""
"20190128009639I","28-JAN-19","YAKIMA","WA","YAKIMA AIR TERMINAL/MCALLISTER FIELD","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","172","M","","","GENERAL OPERATING RULES","","20618","0","0","","","","1","STUDENT","25","25","14",""
"20190129009659I","29-JAN-19","BISMARCK","ND","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CIRRUS","SR22","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","111TT","0","0","CONT M","IO-550 SERIES","IO-550","1","PRIVATE PILOT","816","127","20",""
"20190129009829I","29-JAN-19","FORT MYERS","FL","PAGE FIELD","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","6065L","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT","","","",""
"20190130009749I","30-JAN-19","CLEWISTON","FL","AIRGLADES","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","399SP","0","0","LYCOMI","IO-540 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","","",""
"20190201008989I","01-FEB-19","PORTSMOUTH","NH","PORTSMOUTH INTL AT PEASE","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","180","","","PILOT SCHOOLS","","5710W","0","0","","","","","STUDENT","20","","",""
"20190202010889I","02-FEB-19","TETERBORO","NJ","TETERBORO","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","36","A36","","","GENERAL OPERATING RULES","","3079W","0","0","CONT M","IO-550 SERIES","B","1","","","","",""
"20190204009409I","04-FEB-19","","AK","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","1900","C","","","AIR TAXI/COMMUTER","","974EA","0","0","P&W CA","PT6A-65B","","2","AIRLINE TRANSPORT","13500","","",""
"20190204016499I","04-FEB-19","TUPELO","MS","TUPELO RGNL","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA42","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","821DK","0","0","P&W CA","PT6A-60A","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","7800","2600","58",""
"20190205009759I","05-FEB-19","MANKATO","MN","MANKATO RGNL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","BEECH","300","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","6812W","0","0","P&W CA","PT6A","60A","","PRIVATE PILOT FLIGHT INSTRUCTOR","2100","35","68",""
"20190205009919I","05-FEB-19","BARABOO","WI","BARABOO WISCONSIN DELLS","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","99","A","FREIGHT RUNNERS EXPRESS INC","","AIR TAXI/COMMUTER","","999CZ","0","0","P&W CA","PT6A-27","","2","COMMERCIAL PILOT","1504","423","76",""
"20190206009939I","06-FEB-19","DELAND","FL","DELAND MUNI-SIDNEY H TAYLOR FIELD","INCIDENT","NONE","LANDING: APPROACH","","","","","","PARACHUTE JUMPING","","NONE","0","1","","","","","","","","",""
"20190207009969I","07-FEB-19","MESA","AZ","FALCON FLD","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA28","180","","","GENERAL OPERATING RULES","","9366J","0","0","LYCOMI","O&VO-360 SER","","","STUDENT","25","25","25",""
"20190207009979I","07-FEB-19","WASHINGTON","PA","WASHINGTON COUNTY","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","550","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","308GL","0","0","P&W CA","JT15D-4B","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","14858","325","11",""
"20190208010009I","08-FEB-19","NORTH LAS VEGAS","NV","NORTH LAS VEGAS","INCIDENT","MINOR","LANDING: TOUCHDOWN","BAC","167","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","167BA","0","0","ROLLS-","VIPER 535","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3600","290","29",""
"20190208010029I","08-FEB-19","ORMOND BEACH","FL","ORMOND BEACH MUNI","INCIDENT","NONE","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","79RW","0","0","LYCOMI","IO-360-B1E","","","PRIVATE PILOT","1015","200","",""
"20190209010039I","09-FEB-19","MIAMISBURG","OH","DAYTON-WRIGHT BROTHERS","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","172RG","NO SERIES EXISTS","AVIATION SALES INCORPORATED","","PILOT SCHOOLS","","937AS","0","0","LYCOMI","0-360-A1D","","1","","","","",""
"20190209010059I","09-FEB-19","ABILENE","TX","ABILENE RGNL","INCIDENT","MINOR","TAXI","BELLANCA","1730","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","4888V","0","0","CONT M","IO 520 SERIES","","","PRIVATE PILOT","200","5","5",""
"20190209019659I","09-FEB-19","FORT PIERCE","FL","ST LUCIE COUNTY INTL","INCIDENT","NONE","LANDING: TOUCHDOWN","CESSNA","172","R","","","PILOT SCHOOLS","","828CF","0","0","LYCOMI","I0360 SER A&C","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","","","",""
"20190210010099I","10-FEB-19","ALTON BAY","NH","ALTON BAY","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA28R","201","","","GENERAL OPERATING RULES","","6256C","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT","192","190","7",""
"20190210010119I","10-FEB-19","LEESBURG","VA","LEESBURG EXECUTIVE","INCIDENT","MINOR","TAXI","CHAMPION","8KCAB","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","878AC","0","0","LYCOMI","AEIO-360- H1B","L-2945","1","","","","",""
"20190210016339I","10-FEB-19","OWENSBORO","KY","OWENSBORO-DAVIESS COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5620Z","0","0","CONT M","TSIO-360 SER","","1","PRIVATE PILOT","733","219","6",""
"20190212009061I","12-FEB-19","KOTZEBUE","AK","RALPH WIEN MEMORIAL","INCIDENT","MINOR","GROUND-RAMP","BOEING","737","790","ALASKA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","644AS","0","0","CFM IN","CFM56 SERIES","7B24","","AIRLINE TRANSPORT","14706","5839","76",""
"20190212010149I","12-FEB-19","SHERMAN","TX","SHERMAN MUNI","INCIDENT","MINOR","LANDING: APPROACH","MOONEY","M20R","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","346PS","0","0","CONT M","IO-550 SERIES","","1","PRIVATE PILOT","2503","463","4",""
"20190212010189I","12-FEB-19","TALKEETNA","AK","CARL'S LANDING","INCIDENT","SUBSTANTIAL","TAXI","PIPER","PA14","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5119H","0","1","","","","","PRIVATE PILOT","11500","","",""
"20190213010199I","13-FEB-19","PANAMA CITY","FL","NORTHWEST FLORIDA BEACHES INTL","INCIDENT","MINOR","TAXI","CESSNA","421","C","","","GENERAL OPERATING RULES","","421WT","0","0","CONT M","GTSI0-520-F-K","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","18000","77","60",""
"20190213010259I","13-FEB-19","PAGOSA SPRINGS","CO","STEVENS FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","180","","","GENERAL OPERATING RULES","","7754N","0","0","LYCOMI","O&VO-360 SER","","","STUDENT","46","46","4",""
"20190214010289I","14-FEB-19","HEBER CITY","UT","HEBER CITY MUNI - RUSS MCDONALD FIELD","INCIDENT","MINOR","TAKEOFF: DEPARTURE","","","","","","GENERAL OPERATING RULES","","233PM","0","0","ROTAX","914UL2-01","","","PRIVATE PILOT","87","4","23",""
"20190215010309I","15-FEB-19","CLARKSVILLE","VA","LAKE COUNTRY REGIONAL","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA46","310P","","","GENERAL OPERATING RULES","","4372B","0","0","CONT M","TSIO-520 SER","100146","","","","","",""
"20190215016869I","15-FEB-19","LONGMONT","CO","VANCE BRAND","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","3SY","0","0","LYCOMI","I0360 SER","","1","COMMERCIAL PILOT","1020","900","24",""
"20190216010339I","16-FEB-19","PERRY","FL","PERRY-FOLEY","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","180","J","","","GENERAL OPERATING RULES","","601RF","0","0","CONT M","O-470 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3530","1500","70",""
"20190216010349I","16-FEB-19","JACKSONVILLE","FL","JACKSONVILLE EXECUTIVE AT CRAIG","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA32RT","300T","","","GENERAL OPERATING RULES","","31920","0","0","LYCOMI","TI0-540 SER","","","","","","",""
"20190217011019I","17-FEB-19","TITUSVILLE","FL","ARTHUR DUNN AIR PARK","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","90","B90","","","GENERAL OPERATING RULES","","321DZ","0","0","U/A CA","PT6 SER 578HP","PTGA-1","2","PRIVATE PILOT","1545","20","70",""
"20190217011029I","17-FEB-19","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","493GC","0","0","LYCOMI","IO-360","","","PRIVATE PILOT","350","270","5",""
"20190217011039I","17-FEB-19","MUNCIE","IN","DELAWARE COUNTY RGNL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","201T","","","GENERAL OPERATING RULES","","99DC","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","2850","750","10",""
"20190218005809I","18-FEB-19","VAN NUYS","CA","VAN NUYS","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6098Q","0","0","LYCOMI","I0360 SER","","1","STUDENT","","","",""
"20190218011049I","18-FEB-19","FORT MYERS","FL","PAGE FIELD","INCIDENT","MINOR","GROUND-RAMP","PIPER","PA28","161","","","GENERAL OPERATING RULES","","43899","0","0","LYCOMI","0-320 SERIES","N/A","","COMMERCIAL PILOT","1170","29","200",""
"20190219010369I","19-FEB-19","MIAMI","FL","MIAMI INTL","INCIDENT","MINOR","TAKEOFF: ROTATION","IAI","GULFSTREAM200","NO SERIES EXISTS","A-OK JETS","","AIR TAXI/COMMUTER","","403SL","0","0","P&W CA","PW306A","","","AIRLINE TRANSPORT","","","",""
"20190220010399I","20-FEB-19","MIAMI","FL","KENDALL-TAMIAMI EXECUTIVE","INCIDENT","MINOR","TAKEOFF: ROTATION","","","","","","GENERAL OPERATING RULES","","117CX","0","0","AMA/EX","UNKNOWN ENG","","","COMMERCIAL PILOT","","","",""
"20190220010409I","20-FEB-19","ENGLEWOOD","CO","CENTENNIAL","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA24","250","","","GENERAL OPERATING RULES","","78PW","0","0","LYCOMI","0-540 SERIES","","","PRIVATE PILOT","2812","1517","",""
"20190220011369I","20-FEB-19","ENGLEWOOD","CO","CENTENNIAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","320","F","","","GENERAL OPERATING RULES","","320CE","0","0","CONT M","IO 520 SERIES","","2","COMMERCIAL PILOT","1554","182","16",""
"20190221010429I","21-FEB-19","JACKSON","WY","JACKSON HOLE","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","560","XL","","","GENERAL OPERATING RULES","","427MM","0","0","P&W CA","PW545C","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","9200","545","73",""
"20190221015969I","21-FEB-19","LIVERMORE","CA","LIVERMORE MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","N","","","GENERAL OPERATING RULES","","1203F","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","288","283","7",""
"20190222010459I","22-FEB-19","DAYTONA BEACH","FL","DAYTONA BEACH INTL","INCIDENT","NONE","LANDING: TOUCHDOWN","CESSNA","172","S","","","PILOT SCHOOLS","","463ER","0","0","LYCOMI","IO-360-L2A","","1","","","","",""
"20190222016579I","22-FEB-19","BRIGHAM CITY","UT","BRIGHAM CITY","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20C","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","6274U","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","310","12","26",""
"20190223010489I","23-FEB-19","JACKSON","TN","MC KELLAR-SIPES RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","SOCATA","TBM700","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","897TF","0","0","P&W CA","PT6A66D","","","","","","",""
