eventairport,Freq
AMERICAN LEGION-VILLAGE OF CENTERTOWN,2
AMERY MUNI,1
AMES MUNI,25
AMMON,1
AMMONS,1
AMSTERDAM AIRFIELD,1
AN ARBOR MUNI,1
ANACORTES,3
ANACORTES MUNI,1
ANADARKO MUNI,3
ANAKTUVUK PASS,3
ANDERSEN FARMS,1
ANDERSON,7
ANDERSON FIELD,2
ANDERSON LAKE,4
ANDERSON MUNI-DARLINGTON FIELD,22
ANDERSON PRIVATE,1
ANDERSON RGNL,23
ANDREWS,1
ANDREWS AFB,6
ANDREWS COUNTY,4
ANDREWS UNIVERSITY AIRPARK,2
ANDY BARNHART MEMORIAL,5
ANGEL FIRE,7
ANGEL FIRE MUNI,1
ANGELINA COUNTY,34
ANGIER MUNI,1
ANGOLA AIRSTRIP,1
ANGOLA MUNI,2
ANGUILLA MUNI,1
ANGWIN MUNI,1
ANGWIN-PARRETT FIELD,5
ANIAK,5
ANIAK MUNI,2
ANIMAS AIR PARK,6
ANITA MUNI,2
ANKENY RGNL,12
ANN ARBOR MUNI,64
ANNETTE ISLAND,2
ANNISTON MUNI,1
ANNISTON RGNL,6
ANO,1
ANOKA COUNTY AIRPORT,1
ANOKA COUNTY-BLAINE ARPT(JANES FIELD),72
ANSONIA MUNI,1
ANTELOPE COUNTY,1
ANTHONSON,2
ANTHONY MUNI,1
ANTHONY PRIVATE,1
ANTIOCH MUNI,4
ANTIQUE AERODROME,1
ANTIQUERS AERODROME,2
ANTLERS MUNI,1
ANTONIO RIVERA RODRIGUEZ,9
ANTONIO/NERY/JUARBE POL,9
ANTRIM COUNTY,14
ANVIK,1
APACHE MUNI,1
APALACHICOLA REGIONAL,5
APEX,1
APEX AIRPARK,2
APPLE,1
APPLE VALLEY,37
APPLE VALLEY MUNI,1
APPLEGATE,1
AQUIA CREEK MUNI,1
ARANSAS CO,10
ARANT,1
ARAPAHOE,15
ARAPAHOE MUNI,1
ARCADE MUNI,1
ARCADE TRI-COUNTY,1
ARCADIA MUNI,6
ARCADIA-BIENVILLE PARISH,1
ARCATA,11
ARCH,2
ARCHER CITY MUNI,1
ARCO-BUTTE COUNTY,2
ARCTIC VILLAGE,2
ARDMORE,2
ARDMORE DOWNTOWN EXECUTIVE,21
ARDMORE MUNI,23
ARECIBO MUNI,3
ARENS FIELD,4
ARGYLE MUNI,1
ARKADELPHIA MUNI,2
ARKAVALLEY,1
ARLINGTON MUNI,97
ARNETT MUNI,1
ARNOLD FIELD,1
ARNOLD PALMER RGNL,48
ARROW,1
ARROWHEAD,1
ARTESIA MUNI,2
ARTHUR DUNN AIR PARK,19
ARTHUR MUNI,1
ARTHUR N NEU,2
ASHE COUNTY,2
ASHEBORO MUNI,1
ASHEBORO RGNL,4
ASHEVILLE MUNI,4
ASHEVILLE RGNL,53
ASHLAND COUNTY,7
ASHLAND MUNI,1
ASHLAND MUNI-SUMNER PARKER FIELD,5
ASHLAND RGNL,11
ASHLAND/LINEVILLE,2
ASHLEY,1
ASHLEY MUNI,1
ASHTABULA COUNTY,11
ASHTABULA COUNTY MEDICAL CENTER CTR,1
ASPEN VALLEY HOSPITAL,3
ASPEN-PITKIN CO/SARDY FIELD,49
ASPEN/PITKIN COUNTY,1
ASPLUNDH,1
ASTORIA,1
ASTORIA RGNL,3
ASTRONAUT KENT ROMINGER,2
ATHENS MUNI,10
ATHENS/BEN EPPS,35
ATKA,1
ATKINSON MUNI,10
ATLANTA,5
ATLANTA HARTSFIELD,1
ATLANTA INTL,6
ATLANTA MUNI,2
ATLANTA RGNL FALCON FIELD,22
ATLANTA SOUTH RGNL,6
ATLANTIC CITY,1
ATLANTIC CITY INTL,67
ATLANTIC CITY MUNI/BADER FIELD,36
ATLANTIC MUNI,5
ATMAUTLUAK,1
ATMORE MUNI,2
ATOKA MUNI,3
ATOMIC CITY MUNI,1
ATQASUK EDWARD BURNELL SR MEMORIAL,3
ATWATER MUNI,2
ATWOOD MUNI,1
ATWOOD-RAWLINS COUNTY CITY-COUNTY,1
AU GRES MUNI,1
AUBERRY MUNI,1
AUBURN,2
AUBURN ACADEMY,1
AUBURN MUNI,62
AUBURN UNIVERSITY RGNL,14
AUBURN/LEWISTON MUNI,14
AUDUBON COUNTY,3
AUGUST ACRES,3
AUGUSTA,3
AUGUSTA MUNI,23
AUGUSTA RGNL AT BUSH FIELD,34
AUGUSTA STATE,32
AURORA,2
AURORA INTL,1
AURORA MEDICAL CENTER,1
AURORA MUNI,79
AURORA STATE,26
AUSTIN,2
AUSTIN EXECUTIVE,4
AUSTIN MUNI,6
AUSTIN STRAUBEL INTL,70
AUSTIN-BERGSTROM INTL,171
AVENAL,1
AVENGER FIELD,6
AVERY COUNTY/MORRISON FIELD/,3
AVI SUQUILLA,13
AVOCA,1
AVON PARK EXECUTIVE,11
AZTEC MUNI,2
BACKACHERS RANCH,1
BACKUS MUNI,1
BACON COUNTY,8
BAGDAD,1
BAILES,2
BAKER,3
BAKER CITY MUNI,8
BAKER MUNI,8
BAKERS ACRES,1
BAKERSFIELD MUNI,11
BALDWIN,5
BALDWIN BASE,1
BALDWIN COUNTY,4
BALDWIN MUNI,1
BALL,7
BALTIMORE INTL,22
BALTIMORE MUNI,2
BALTIMORE/WASHINGTON INTL THURGOOD MARSHAL,176
BAMBERG COUNTY,2
BANDEL,3
BANDERA STATE,1
BANDON STATE,1
BANGOR INTL,106
BANGOR MUNI,4
BANNER THUNDERBIRD MEDICAL CENTER,1
BANNING MUNI,13
BARABOO MUNI,1
BARABOO WISCONSIN DELLS,10
BARBER,3
BARBERVILLE MUNI,1
BARBOUR ISLAND,1
BARKER MUNI,1
BARKLEY REGIONAL,1
BARKLEY RGNL,42
BARKSDALE AFB,3
BARNES,1
BARNES COUNTY MUNI,1
BARNES MUNI,53
BARNESVILLE-BRADFIELD,3
BARNSTABLE MUNI-BOARDMAN/POLANDO FIELD,106
BARNWELL RGNL,7
BARRETT FIELD,1
BARRON AVIATION,1
BARRON MUNI,1
BARROW COUNTY,14
BARSTOW-DAGGETT,21
BARTER ISLAND LRRS,1
BARTLESVILLE MUNI,10
BARTLETT COVE,1
BARTON,3
BARTOW MUNI,17
BARWICK LAFAYETTE,5
BASIN HARBOR,4
BASIN HARBOR MUNI,1
BASS FIELD,1
BATAVIA MUNI,1
BATES COUNTY HOSPITAL,1
BATES FIELD,1
BATESVILLE,1
BATESVILLE MUNI,2
BATESVILLE RGNL,7
BATON ROUGE,3
BATON ROUGE GENERAL HOSPITAL,1
"BATON ROUGE METROPOLITAN, RYAN FIELD",98
BATTLE CREEK,1
BATTLE CREEK MUNI,2
BATTLE FIELD,1
BATTLE LAKE MUNI,1
BATTLE MOUNTAIN,6
BAUBLITZ COMMERCIAL,4
BAUDETTE FLYING SERVICE,1
BAUDETTE INTL,3
BAUGH FLIGHT PARK,1
BAXLEY MUNI,4
BAXTER COUNTY,9
BAY BRIDGE,21
BAY CITY MUNI,10
BAY MINETTE MUNI,4
BAYPORT AERODROME,6
BAYTOWN,20
BAYVIEW,1
BAYVIEW FARMS,1
BB AIRPARK,4
BEACH CITY,4
BEACH CITY MUNI,1
BEACH RANCH,1
BEAGLE SKY RANCH,2
BEALE AFB,2
BEAR CREEK MUNI,1
BEAR LAKE COUNTY,4
BEARCE,7
BEATRICE MUNI,13
BEATTY,7
BEAUFORT COUNTY,21
BEAUFORT MCAS /MERRITT FIELD/,1
BEAUFORT MUNI,1
BEAUMONT HOTEL,3
BEAUMONT MUNI,8
BEAUREGARD RGNL,1
BEAVER,2
BEAVER COUNTY,31
BEAVER ISLAND,3
BEAVER MARSH STATE,1
BEAVERHEAD AIRSTRIP,1
BECKER PERSONAL,1
BECKS GROVE,1
BECKWORTH MUNI,1
BEDFORD COUNTY,4
BEDFORD MUNI,2
BEECH FACTORY,11
BEECH RIVER RGNL,3
BEEF ISLAND,4
BEEF ISLAND MUNI,1
BEEVILLE MUNI,7
BELFAST MUNI,5
BELL HELICOPTER HURST,2
BELLE FOURCHE MUNI,6
BELLE GLADE STATE MUNI,4
BELLEFONTAINE MUNI,1
BELLEFONTAINE RGNL,8
BELLEFONTE,7
BELLEVILLE,2
BELLEVILLE MUNI,4
BELLEVUE MUNI,5
BELLINGHAM INTL,33
BELLINGHAM MUNI,3
BELMOND MUNI,1
BELOIT,6
BELOIT MUNI,2
BELTSVILLE SHOP,1
BELTZVILLE,2
BELTZVILLE MUNI,1
BELUGA,5
BELVIDERE MUNI,1
BELZONI MUNI,2
BEMIDJI MUNI,1
BEMIDJI RGNL,19
BEND MUNI,13
BENDIGO,2
BENJAMIN FRANKLIN,1
BENJAMIN RIVERA NORIEGA,10
BENJAMIN TAISACAN MANGIONA INTL,1
BENNETT,2
BENNETT FIELD,1
BENNETTSVILLE MUNI,1
BENOIT,1
BENSON,5
BENSON MUNI,2
BENTON,1
BENTON COUNTY,2
BENTON FIELD,14
BENTON MUNI,3
BENTONVILLE MUNI/LOUISE M THADEN FIELD,7
BERG FIELD,2
BERGSETH FIELD,1
BERKELEY COUNTY,6
BERLIN,1
BERLIN FIELD,1
BERLIN INTL,1
BERLIN RGNL,4
BERMUDA DUNES,28
BERMUDA DUNES MUNI,3
BERMUDA HIGH,1
BERMUDIAN VALLEY AIRPARK,4
BERRIEN CO,2
BERRY,1
BERRY HILL,6
BERT MOONEY,20
BERZ MACOMB,7
BESSEMER,32
BESSEMER MUNI,2
BEST LOCK CORP AIRSTRIP,1
BETHANY MEMORIAL,1
BETHEL,83
BETHEL MUNI,5
BETHEL RGNL,2
BETHPAGE MUNI,1
BETTLES,7
BETTLES MUNI,1
BETZ,3
BEULAH,1
BEVERLY,1
BEVERLY MUNI,58
BIDDEFORD MUNI,6
BIG BEAR CITY,55
BIG BEAR CITY MUNI,4
BIG BEND,1
BIG CREEK,6
BIG DARBY ISLAN MUNI,1
BIG DUKE'S PLACE,1
BIG FOOT AIRFIELD,1
BIG LAKE,18
BIG LAKE MUNI,1
BIG SANDY,2
BIG SANDY RGNL,1
BIG SPRING MC MAHON-WRINKLE,8
BIG SPRINGS RANCH,1
BIG TIMBER,3
BIGFORK MUNI,1
BIGGIN HILL,3
BIGGS AAF (FORT BLISS),5
BILL AND HILLARY CLINTON NATIONAL/ADAMS FI,55
BILL PUGH FIELD,3
BILLINGS INTL,6
BILLINGS LOGAN INTL,252
BILLY FREE MUNI,2
BILLY G RAY FIELD,1
BILLY MITCHELL,7
BIMINI MUNI,2
BINGHAMTON MUNI,2
BIRCHWATER,1
BIRCHWOOD,34
BIRCHWOOD MUNI,1
BIRD FIELD,1
BIRD NR 2,1
BIRD'S NEST,1
BIRDS NEST,3
BIRDWIN,1
BIRMARCK MUNI,1
BIRMINGHAM-SHUTTLESWORTH INTL,132
BISBEE DOUGLAS INTL,9
BISBEE MUNI,8
BISHOP,1
BISHOP INTL,83
BISHOP MUNI,5
BISHOP'S LANDING,1
BISMARCK MUNI,50
BISON MUNI,2
BLACK HILLS-CLYDE ICE FIELD,14
BLACK ROCK,4
BLACK ROCK CITY,3
BLACKHAWK AIRFIELD,5
BLACKINTON,1
BLACKSTONE MUNI,1
BLACKWATER AIRSTRIP,1
BLACKWELL FIELD,17
BLACKWELL-TONKAWA MUNI,5
BLACKWOOD AIRPARK,1
BLAINE MUNI,3
BLAIR,2
BLAIR LAKE,1
BLAIR MUNI,4
BLAIRSTOWN,17
BLAIRSTOWN MUNI,1
BLAIRSVILLE,5
BLAIRSVILLE MUNI,1
BLAKE FIELD,3
BLAKELY ISLAND,4
BLAKELY ISLAND MUNI,1
BLANCA,1
BLANDING MUNI,5
BLOCK ISLAND MUNI,1
BLOCK ISLAND STATE,31
BLODGET LAKE,1
BLOOMER MUNI,1
BLOOMFIELD MUNI,2
BLOOMSBURG HOSPITAL,1
BLOOMSBURG MUNI,5
BLOSSER MUNI,3
BLOYER FIELD,1
BLUE ASH MUNI,4
BLUE GRASS,104
BLUE KNOB VALLEY,1
BLUE LICK,1
BLUE MOUND MUNI,1
BLUE RIDGE,7
BLUE RIDGE FLIGHTPARK,1
BLUEBIRD AIRPARK,2
BLUEGRASS,14
BLUFF,2
BLUFFTON,5
BLUFFTON MUNI,2
BLYTHE,31
BLYTHEVILLE MUNI,5
BOARDMAN,1
BOB BAKER MEMORIAL,4
BOB HOPE,85
BOB LEE FLIGHT STRIP,4
BOB SIKES,14
BOB WALBERG FIELD,1
BOB WHITE FIELD,4
BOB WILEY FIELD,2
BOCA RATON,58
BOCA RATON MUNI,7
BOEING,19
BOEING FIELD/KING COUNTY INTL,115
BOERNE STAGE FIELD,9
BOGGS FIELD,1
BOIRE FIELD,49
BOISE AIR TERMINAL,1
BOISE AIR TERMINAL/GOWEN FLD,138
BOISE MUNI,24
BOLD,1
BOLINDER FIELD-TOOELE VALLEY,17
BOLINGBROOK'S CLOW INTL,17
BOLIVAR MUNI,3
BOLTON FIELD,17
BOMAR FIELD-SHELBYVILLE MUNI,7
BONDAIR,2
BONGKONG SARAWA MUNI,1
BONNY DOON VILLAGE,1
BOONE COUNTY,27
BOONE INC,12
BOONE MUNI,5
BOONE NATIONAL GUARD,9
BOONEVILLE/BALDWYN,3
BOONVILLE,5
BOONVILLE MUNI,1
BOOTHVILLE,1
BOQUET,1
BORDNER,3
BORGES - CLARKSBURG,4
BORREGO AIR RANCH,1
BORREGO MUNI,1
BORREGO VALLEY,10
BOSCOBEL,2
BOSTON INTL,18
BOSTRUP'S LANDING,1
BOSWELL BAY,1
BOULDER CITY MUNI,42
BOULDER MUNI,35
BOUNDARY COUNTY,1
BOUNTIFUL MUNI,1
BOURLAND FIELD,7
BOWBELLS MUNI,1
BOWERMAN,9
BOWERS FIELD,14
BOWIE MUNI,1
BOWLES,1
BOWLING GREEN MUNI,5
BOWLING GREEN-WARREN COUNTY RGNL,33
BOWMAN,25
BOWMAN FIELD,103
BOYCEVILLE MUNI,1
BOYD FIELD,1
BOYD'S HAWKS CREEK,1
BOYER,1
BOYNE CITY MUNI,4
BOYNE MOUNTAIN,5
BOZEMAN YELLOWSTONE INTL,45
BRACKETT FIELD,66
BRACKETT MUNI,1
BRADEN AIRPARK,19
BRADFORD COUNTY,6
BRADFORD FLD,3
BRADFORD RGNL,10
BRADLEY,24
BRADLEY FIELD,1
BRADLEY INTERNATIONAL AIRPORT,1
BRADLEY INTL,130
BRADLEY SKY-RANCH,12
BRAINERD LAKES RGNL,21
BRANCH COUNTY MEMORIAL,7
BRANDON,2
BRANDT,1
BRANDYWINE,17
BRANHAMS,3
BRANSON,2
BRANSON WEST MUNI - EMERSON FIELD,1
BRAWLEY MUNI,7
BRAXTON COUNTY,5
BRAZIL CLAY COUNTY,2
BREAKAWAY PARK,2
BRECKENRIDGE,3
BREDLOW FARM,4
BREEZY POINT,1
BREEZY POINT MUNI,1
BREMERTON NATIONAL,33
BRENHAM MUNI,8
BRENNAND,7
BRENNER FIELD,3
BREVIG MISSION,3
BREWER,1
BREWER MUNI,3
BREWTON MUNI,3
BRIAN RANCH,1
BRIDGEPORT INTL,1
BRIDGEPORT MUNI,19
BRIDGEPORT-CAHILL FIELD,5
BRIDGER MUNI,1
BRIDGEWATER AIR PARK,4
BRIGHAM & WOMEN'S HOSPITAL,1
BRIGHAM CITY,19
BRIGHAM CITY MUNI,1
BRIGHTON,4
BRIGHTON VAN-AIRE ESTATES,1
BRISTOW (INTRACOASTAL CITY),2
BRISTOW U.S. LLC,1
BRISTOW US LLC,2
BRITTON MUNI,2
BROADUS,1
BROADUS MUNI,1
BROCKER LAKE,1
BRODHEAD,4
BRODHEAD MUNI,1
BROKEN BOW MUNI,1
BROKEN BOW MUNI/KEITH GLAZE FLD,2
BROKENSTRAW,2
BRONSON,1
BROOKERIDGE AIR PARK,3
BROOKHAVEN,29
BROOKHAVEN MUNI,2
BROOKHAVEN-LINCOLN COUNTY,3
BROOKINGS,3
BROOKINGS MUNI,2
BROOKINGS RGNL,16
BROOKLINE,2
BROOKNEAL/CAMPBELL COUNTY,4
BROOKS,7
BROOKS COUNTY,3
BROOKS FIELD,7
BROOKVILLE AIR-PARK,3
BROOKVILLE MUNI,2
BROOMFIELD MUNI,1
BROOTEN MUNI,1
BROTHERS MUNI,1
BROWN,26
BROWN COUNTY,4
BROWN FIELD MUNI,61
BROWN'S LAKESIDE LANDINGS,3
BROWNS,2
BROWNSBURG MUNI,1
BROWNSVILLE,2
BROWNSVILLE INTL,6
BROWNSVILLE/SOUTH PADRE ISLAND INTL,48
BROWNWOOD RGNL,8
BRUCE CAMPBELL FIELD,15
BRUCE FIELD,1
BRUNDIDGE MUNI,1
BRUNSWICK EXECUTIVE,1
BRUNSWICK GOLDEN ISLES,18
BRUNSWICK NAS,2
BRYAN,4
BRYANT AAF,1
BRYANT AHP,2
BRYCE CANYON,3
BRYCE CANYON MUNI,2
BUCHAN,2
BUCHANAN FIELD,126
BUCKEYE,1
BUCKEYE MUNI,21
BUCKHORN RANCH,1
BUCKLAND,1
BUCKLAND MUNI,1
BUCKLEY AFB,6
BUCKS,2
BUD DRYDEN,5
BUELAH MUNI,1
BUENA,1
BUENA MUNI,1
BUFFALO,4
BUFFALO AIRFIELD,10
BUFFALO CREEK,1
BUFFALO INTL,64
BUFFALO MUNI,23
BUFFALO NIAGARA INTL,340
BUFFALO-LANCASTER RGNL,2
BUHL MUNI,3
BULLFROG BASIN,4
BULLHEAD CITY MUNI,4
BULT FIELD,5
BULVERDE AIRPARK,5
BUNKIE MUNI,2
BURBANK MUNI,13
BURKE,3
BURKE COUNTY,1
BURKE LAKEFRONT,58
BURLEY MUNI,22
BURLILNGTON MUNI,1
BURLINGTON INTL,64
BURLINGTON MUNI,26
BURLINGTON-ALAMANCE RGNL,7
BURNET MUNI KATE CRADDOCK FIELD,11
BURNETT COUNTY,3
BURNS MUNI,4
BURRS STRIP,1
BUSBOOM RLA,1
BUTLER AVIATION,1
BUTLER CO RGNL,17
BUTLER COUNTY/K W SCHOLTER FIELD,24
BUTLER FARM SHOW,5
BUTLER MEMORIAL,8
BUTTE MUNI,3
BUTTS AAF (FORT CARSON),2
BUZZ FIELD,1
BYBEE FIELD,3
BYERLEY,4
BYRAM RANCH,1
BYRON,31
C A M P,1
C DAVID CAMPBELL FIELD-CORSICANA MUNI,8
C E 'RUSTY' WILLIAMS,3
C.E.F.,1
CA INTL,1
CABANISS FIELD,1
CABIN CREEK USFS,2
CABLE,37
CABLE UNION,1
CADDO MILLS MUNI,1
CAESAR CREEK,2
CAGNEY,2
CAIN,3
CAIRO MUNI,1
CAIRO-GRADY COUNTY,1
CAL BLACK MEMORIAL,1
CALAVERAS CO-MAURY RASMUSSEN FIELD,9
CALDWELL INDUSTRIAL,26
CALDWELL MUNI,4
CALEDONIA COUNTY,4
CALEXICO INTL,14
CALEXICO MUNI,2
CALGARY INTL,1
CALHAN,2
CALHAN MUNI,1
CALHOUN,4
CALHOUN COUNTY,3
CALICO FIELD,1
CALIFORNIA CITY MUNI,20
CALISTOGA,1
CALKINS FIELD,1
CALVADA MEADOWS,4
CALVERTON EXECUTIVE AIRPARK,1
CAMANO ISLAND AIRFIELD,3
CAMARILLO,110
CAMARILLO MUNI,11
CAMAS COUNTY,2
CAMBRIA,2
CAMBRIDGE MUNI,9
CAMBRIDGE-DORCHESTER,15
CAMDEN COUNTY,3
CAMDENTON MEMORIAL,12
CAMERON,4
CAMERON AIRPARK,21
CAMERON FIELD,1
CAMERON MEMORIAL,4
CAMERON MUNI AIRPARK,3
CAMILLA-MITCHELL COUNTY,1
CAMILLUS,1
CAMP BULLIS,1
CAMP CHIPPEWA,1
CAMP GUERNSEY,3
CAMP LAKE,2
CAMP PEARY LNDG STRIP,2
CAMP PENDLETON MCAS (MUNN FIELD),5
CAMPBELL,15
CAMPBELL AAF (FORT CAMPBELL),2
CAMPBELL AIRSTRIP,1
CAMPBELL COUNTY,2
CAMPBELL LAKE SPB,3
CAMPBELL MUNI,1
CAMPBELL'S,1
CANADIAN LAKES,1
CANANDAIGUA,4
CANAPITSIT,1
CANCUN MUNI,1
CANDLELIGHT FARMS,1
CANNON AFB,3
CANNON CREEK AIRPARK,2
CANON,1
CANTON MUNI,3
CANTON-HACKNEY,2
CANTON-PLYMOUTH-METTETAL,28
CANTWELL,2
CANYON LAKE,2
CANYONLANDS FIELD,9
CAPE COD,4
CAPE COD COAST GUARD AIR STATION,4
CAPE FEAR RGNL JETPORT/HOWIE FRANKLIN FLD,8
CAPE GIRARDEAU RGNL,37
CAPE HAITIAN INTL,1
CAPE MAY COUNTY,15
CAPE MAY MUNI,1
CAPITAL CITY,99
CAPITAL REGION INTL,95
CAPITOL,11
CAPOZZOLI,1
CAPTAIN JACK THOMAS/EL DORADO,12
CARBON COUNTY RGNL/BUCK DAVIS FIELD,12
CARDIFF BROTHERS,1
CAREY,1
CARIBOU,1
CARIBOU MUNI,2
CARL FOLSOM,2
CARL R KELLER FIELD,17
CARL'S LANDING,1
CARLIN BAY,1
CARLISLE,8
CARLISLE MUNI,10
CARMI MUNI,6
CARO MUNI,3
CARRABELLE-THOMPSON,2
CARRINGTON MUNI,4
CARRIZOZO MUNI,2
CARROLL COUNTY,7
CARROLL COUNTY RGNL/JACK B POAGE FIELD,36
CARROLL COUNTY-TOLSON,6
CARROLL MUNI,1
CARROLLTON MEMORIAL,2
CARSON,27
CARSON CITY MUNI,3
CARTER,1
CARTERSVILLE,5
CARTERSVILLE MUNI,1
CARTHAGE-LEAKE COUNTY,1
CARUTHERSVILLE MEMORIAL,2
CASA DE AERO PARK,3
CASA GRANDE MUNI,23
CASCADE,4
CASCADE LOCKS STATE,2
CASEY MUNI,2
CASHMERE-DRYDEN,4
CASPER MUNI,1
CASPER/NATRONA COUNTY INTL,67
CASS,1
CASSVILLE MUNI,2
CASTLE,20
CASTROVILLE MUNI,8
CASWELL,2
CATALINA,27
CATALINA ISLAND MUNI,2
CATTARAUGUS COUNTY-OLEAN,6
CAUSEY,7
CAVALIER MUNI,1
CAVANAUGH,1
CAVANAUGH BAY,4
CAVERN CITY AIR TRML,18
CAYUSE CREEK USFS,1
CCHCC,1
CECIL,8
CECIL COUNTY,5
CEDAR CITY RGNL,46
CEDAR ISLAND,1
CEDAR KEY MUNI,1
CEDAR MILLS,1
CEDAR RIDGE,3
CEDAR VALLEY,3
CENTENNIAL,276
CENTER ISLAND,2
CENTER MUNI,7
CENTERVILLE MUNI,6
CENTRAL CITY MUNI - LARRY REINEKE FIELD,2
CENTRAL COLORADO RGNL,5
CENTRAL COUNTY,2
CENTRAL FARMERS COOP,2
CENTRAL IL RGNL ARPT AT BLOOMINGTON-NORMAL,74
CENTRAL INDUSTRIES,1
CENTRAL JERSEY RGNL,18
CENTRAL MAINE ARPT OF NORRIDGEWOCK,2
CENTRAL NEBRASKA RGNL,69
CENTRAL WISCONSIN,21
CENTRALIA MUNI,9
CENTRE AIRPARK,1
CENTRE-PIEDMONT-CHEROKEE COUNTY RGNL,1
CHADRON MUNI,11
CHADWICK,1
CHAGRIN FALLS MUNI,1
CHALET SUZANNE AIR STRIP,5
CHALLIS,1
CHAMA LAND & CATTLE CO.,1
CHAMBERLAIN MUNI,4
CHAMBERS,1
CHAMBERS COUNTY,3
CHAMBERS COUNTY-WINNIE STOWELL,6
CHAMBERSBURG MUNI,2
CHAMP FIELD,1
CHAN GURNEY MUNI,7
CHANDALAR LAKE,1
CHANDALAR STATI MUNI,1
CHANDELLE,3
CHANDELLE ESTATES,4
CHANDLER,1
CHANDLER FIELD,19
CHANDLER MUNI,64
CHANUTE MARTIN JOHNSON,6
CHAPIN,2
CHAPPELL MUNI,1
CHARDON MUNI,1
CHARITON MUNI,2
