,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1994 To 12/1998,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, 
A11 ,AK,05/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"9,450","4,042","1,590","1,850","16,932",0,2,37,6,45,109,"3,584","7,585",370,"11,648",4,103,526,27,660,"29,285"
A11 ,AK,06/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"10,467","4,777","1,497","3,336","20,077",3,5,75,11,94,71,"4,636","10,244",494,"15,445",2,137,926,52,"1,117","36,733"
A11 ,AK,07/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"11,037","5,817","2,183","3,475","22,512",1,2,59,7,69,77,"4,246","10,075",355,"14,753",3,93,525,13,634,"37,968"
A11 ,AK,08/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"10,915","5,346","1,766","2,252","20,279",9,2,59,6,76,46,"4,435","8,785",355,"13,621",0,125,601,20,746,"34,722"
A11 ,AK,09/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"9,802","4,858","1,596","2,689","18,945",2,1,41,8,52,36,"3,660","7,603",382,"11,681",0,88,530,61,679,"31,357"
A11 ,AK,10/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"9,475","4,961","1,603","2,110","18,149",2,0,22,5,29,38,"1,965","4,146",339,"6,488",0,46,215,26,287,"24,953"
A11 ,AK,11/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"8,871","4,987","1,487","1,783","17,128",7,8,34,2,51,25,"1,331","2,268",172,"3,796",1,39,120,8,168,"21,143"
A11 ,AK,12/1997,WE,"TRACON, RAPCON, or CERAP",AAL,"8,765","5,131","1,611","2,054","17,561",3,6,22,10,41,10,897,"1,476",226,"2,609",13,16,43,14,86,"20,297"
A11 ,AK,01/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"8,381","4,487","1,317","1,970","16,155",1,2,25,14,42,56,"1,461","2,837",316,"4,670",0,48,136,50,234,"21,101"
A11 ,AK,02/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"7,501","3,652","1,709","1,855","14,717",0,0,24,7,31,36,"1,559","3,971",296,"5,862",3,42,186,36,267,"20,877"
A11 ,AK,03/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"8,728","3,863","1,617","2,169","16,377",3,3,25,4,35,82,"1,933","4,982",475,"7,472",1,59,268,52,380,"24,264"
A11 ,AK,04/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"8,668","4,208","1,692","1,898","16,466",3,3,34,5,45,68,"1,750","4,687",347,"6,852",0,43,191,33,267,"23,630"
A11 ,AK,05/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"9,628","4,839","1,770","2,722","18,959",3,9,52,5,69,45,"2,423","6,767",466,"9,701",0,91,479,42,612,"29,341"
A11 ,AK,06/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"10,609","5,232","2,218","3,171","21,230",2,0,62,16,80,68,"3,186","9,482",496,"13,232",1,166,844,108,"1,119","35,661"
A11 ,AK,07/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"11,395","5,690","2,404","3,084","22,573",13,2,52,9,76,43,"3,592","10,462",533,"14,630",1,96,637,74,808,"38,087"
A11 ,AK,08/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"11,167","4,861","2,345","3,007","21,380",1,1,76,4,82,77,"3,398","9,030",421,"12,926",0,128,633,32,793,"35,181"
A11 ,AK,09/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"9,928","3,793","2,003","2,322","18,046",0,3,53,6,62,63,"3,064","7,492",438,"11,057",0,96,533,53,682,"29,847"
A11 ,AK,10/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"9,302","3,450","2,205","2,489","17,446",1,0,11,8,20,22,"2,173","5,945",386,"8,526",0,29,236,61,326,"26,318"
A11 ,AK,11/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"8,723","3,818","1,584","1,968","16,093",4,1,50,35,90,36,"1,199","3,102",326,"4,663",0,37,188,44,269,"21,115"
A11 ,AK,12/1998,WE,"TRACON, RAPCON, or CERAP",AAL,"8,551","3,908","1,782","1,828","16,069",0,6,32,8,46,21,"1,087","2,404",300,"3,812",0,30,147,30,207,"20,134"
A90 ,NH,01/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"19,090","14,093","3,453",447,"37,083",27,203,"1,623",105,"1,958",0,0,0,0,0,0,0,0,0,0,"39,041"
A90 ,NH,02/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"18,071","14,454","3,743",479,"36,747",16,250,"2,168",94,"2,528",0,0,0,0,0,0,0,0,0,0,"39,275"
A90 ,NH,03/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"21,455","16,156","5,337",600,"43,548",17,233,"2,840",137,"3,227",0,0,0,0,0,0,0,0,0,0,"46,775"
A90 ,NH,04/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"21,381","15,696","6,038",709,"43,824",27,242,"4,023",187,"4,479",0,0,0,0,0,0,0,0,0,0,"48,303"
A90 ,NH,05/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"21,015","16,566","6,462",615,"44,658",23,245,"4,588",156,"5,012",0,0,0,0,0,0,0,0,0,0,"49,670"
A90 ,NH,06/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"20,713","17,219","6,956",662,"45,550",18,284,"4,270",208,"4,780",0,0,0,0,0,0,0,0,0,0,"50,330"
A90 ,NH,07/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"21,180","17,417","8,155",766,"47,518",38,238,"4,303",189,"4,768",0,0,0,0,0,0,0,0,0,0,"52,286"
A90 ,NH,08/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"21,723","18,451","7,499",688,"48,361",27,339,"5,170",203,"5,739",0,0,0,0,0,0,0,0,0,0,"54,100"
A90 ,NH,09/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"20,686","17,237","6,832",734,"45,489",28,309,"4,096",246,"4,679",0,0,0,0,0,0,0,0,0,0,"50,168"
A90 ,NH,10/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"21,301","14,708","5,827",604,"42,440",30,68,287,67,452,0,"2,024",624,26,"2,674",0,235,"5,400",130,"5,765","51,331"
A90 ,NH,11/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"20,289","12,863","4,988",537,"38,677",21,67,201,49,338,0,"1,401",640,5,"2,046",0,173,"3,714",90,"3,977","45,038"
A90 ,NH,12/1994,EN,"TRACON, RAPCON, or CERAP",ANE,"21,436","12,392","3,974",440,"38,242",44,94,157,28,323,0,"1,424","1,011",18,"2,453",0,141,"3,018",69,"3,228","44,246"
A90 ,NH,01/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"21,267","13,231","3,828",453,"38,779",22,103,159,43,327,0,873,"1,122",10,"2,005",0,98,"1,743",50,"1,891","43,002"
A90 ,NH,02/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"18,466","11,696","3,420",472,"34,054",22,85,95,35,237,0,"1,225","1,075",2,"2,302",0,126,"2,259",65,"2,450","39,043"
A90 ,NH,03/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"20,725","14,057","5,047",607,"40,436",20,106,224,44,394,0,769,"1,490",26,"2,285",0,75,"2,496",61,"2,632","45,747"
A90 ,NH,04/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"19,756","13,249","5,311",663,"38,979",24,95,220,29,368,0,"1,311","1,582",22,"2,915",0,135,"3,340",104,"3,579","45,841"
A90 ,NH,05/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"19,210","16,179","6,108",692,"42,189",22,57,263,45,387,0,"1,268","2,061",10,"3,339",0,108,"3,749",119,"3,976","49,891"
A90 ,NH,06/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"19,532","16,365","5,834",762,"42,493",26,74,337,65,502,0,"1,634","2,682",30,"4,346",0,99,"4,861",187,"5,147","52,488"
A90 ,NH,07/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"20,233","18,533","7,003",668,"46,437",31,54,542,56,683,0,"1,512","1,382",28,"2,922",0,167,"4,634",147,"4,948","54,990"
A90 ,NH,08/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"20,633","18,960","6,477",811,"46,881",23,56,449,70,598,0,"3,008",735,18,"3,761",0,219,"6,644",199,"7,062","58,302"
A90 ,NH,09/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"19,548","17,656","6,395",622,"44,221",18,48,337,68,471,0,"1,886",541,12,"2,439",0,181,"5,055",132,"5,368","52,499"
A90 ,NH,10/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"20,428","18,102","6,033",638,"45,201",19,61,255,41,376,0,"1,948",474,23,"2,445",0,108,"4,017",112,"4,237","52,259"
A90 ,NH,11/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"18,957","14,573","4,996",556,"39,082",27,49,167,31,274,0,970,291,16,"1,277",0,99,"2,629",51,"2,779","43,412"
A90 ,NH,12/1995,EN,"TRACON, RAPCON, or CERAP",ANE,"18,593","13,250","3,840",428,"36,111",20,48,135,36,239,0,985,272,17,"1,274",0,81,"2,425",62,"2,568","40,192"
A90 ,NH,01/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"16,712","11,728","3,580",414,"32,434",25,57,118,31,231,0,440,216,1,657,0,51,"1,491",54,"1,596","34,918"
A90 ,NH,02/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"18,330","13,367","4,232",492,"36,421",37,61,127,37,262,0,469,201,2,672,0,49,"1,729",72,"1,850","39,205"
A90 ,NH,03/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"19,906","13,585","4,855",606,"38,952",22,58,167,47,294,0,821,362,2,"1,185",0,108,"3,451",91,"3,650","44,081"
A90 ,NH,04/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"20,746","15,448","5,536",551,"42,281",34,58,230,32,354,0,599,320,5,924,0,96,"2,865",106,"3,067","46,626"
A90 ,NH,05/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"21,618","18,154","7,393",826,"47,991",28,69,327,56,480,0,863,565,22,"1,450",0,166,"4,386",152,"4,704","54,625"
A90 ,NH,06/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"18,513","17,631","6,950",641,"43,735",29,68,391,42,530,0,770,376,8,"1,154",0,112,"3,916",137,"4,165","49,584"
A90 ,NH,07/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"19,292","19,566","6,659",582,"46,099",30,79,447,41,597,0,"1,303",606,13,"1,922",0,180,"4,915",137,"5,232","53,850"
A90 ,NH,08/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"19,718","20,446","7,752",532,"48,448",37,64,570,60,731,0,"1,149",655,12,"1,816",0,176,"4,982",153,"5,311","56,306"
A90 ,NH,09/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"18,403","17,509","6,512",411,"42,835",37,77,338,39,491,0,796,409,27,"1,232",0,153,"3,719",130,"4,002","48,560"
A90 ,NH,10/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"19,819","18,354","6,474",453,"45,100",36,67,296,40,439,0,797,669,25,"1,491",0,162,"4,715",104,"4,981","52,011"
A90 ,NH,11/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"18,867","15,692","5,259",348,"40,166",40,57,185,36,318,0,537,433,10,980,0,119,"3,760",111,"3,990","45,454"
A90 ,NH,12/1996,EN,"TRACON, RAPCON, or CERAP",ANE,"19,071","15,653","4,531",303,"39,558",29,54,135,28,246,0,372,198,5,575,0,91,"1,669",45,"1,805","42,184"
A90 ,NH,01/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"20,319","16,139","4,257",272,"40,987",35,55,150,19,259,0,407,390,9,806,0,87,"1,897",71,"2,055","44,107"
A90 ,NH,02/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"18,773","15,412","5,017",292,"39,494",18,50,168,27,263,0,320,274,6,600,0,108,"2,683",76,"2,867","43,224"
A90 ,NH,03/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"20,793","16,428","5,131",298,"42,650",24,53,138,26,241,0,376,258,3,637,0,91,"2,392",57,"2,540","46,068"
A90 ,NH,04/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"20,426","16,670","6,163",304,"43,563",20,69,165,27,281,0,516,449,9,974,0,103,"3,989",88,"4,180","48,998"
A90 ,NH,05/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"21,394","18,426","6,942",382,"47,144",9,73,239,40,361,0,865,476,4,"1,345",0,110,"3,916",118,"4,144","52,994"
A90 ,NH,06/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"20,062","18,826","6,895",482,"46,265",29,62,263,25,379,0,936,612,12,"1,560",0,130,"5,711",183,"6,024","54,228"
A90 ,NH,07/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"20,808","20,734","6,743",527,"48,812",29,71,447,47,594,0,"1,422",719,12,"2,153",0,196,"6,018",189,"6,403","57,962"
A90 ,NH,08/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"21,049","20,825","7,229",492,"49,595",25,64,563,40,692,0,"1,312",668,8,"1,988",0,173,"5,705",157,"6,035","58,310"
A90 ,NH,09/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"20,474","19,577","7,250",431,"47,732",22,70,372,23,487,0,811,491,1,"1,303",0,135,"3,965",121,"4,221","53,743"
A90 ,NH,10/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"21,289","19,753","7,419",442,"48,903",15,77,334,35,461,0,878,529,8,"1,415",0,139,"4,545",143,"4,827","55,606"
A90 ,NH,11/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"17,136","19,032","5,345",324,"41,837",20,70,154,20,264,0,500,360,2,862,0,93,"2,463",97,"2,653","45,616"
A90 ,NH,12/1997,EN,"TRACON, RAPCON, or CERAP",ANE,"21,268","16,410","4,920",271,"42,869",77,46,121,32,276,0,463,327,7,797,0,105,"2,761",119,"2,985","46,927"
A90 ,NH,01/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"20,888","15,068","4,489",291,"40,736",43,44,146,33,266,0,235,167,1,403,0,58,"1,827",48,"1,933","43,338"
A90 ,NH,02/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"19,701","15,175","5,085",358,"40,319",34,47,160,29,270,0,260,346,8,614,0,83,"3,112",92,"3,287","44,490"
A90 ,NH,03/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"21,620","17,167","6,168",344,"45,299",34,38,172,41,285,0,340,269,5,614,0,86,"2,573",84,"2,743","48,941"
A90 ,NH,04/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"21,804","18,655","7,634",434,"48,527",33,59,213,48,353,0,551,432,4,987,0,124,"3,675",122,"3,921","53,788"
A90 ,NH,05/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"20,691","18,085","7,355",401,"46,532",46,59,299,28,432,0,712,354,8,"1,074",0,108,"3,763",150,"4,021","52,059"
A90 ,NH,06/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"21,090","19,276","8,571",492,"49,429",43,82,355,38,518,0,576,209,4,789,0,97,"2,275",101,"2,473","53,209"
A90 ,NH,07/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"22,205","21,238","7,903",597,"51,943",44,56,485,39,624,0,"1,758",679,16,"2,453",0,238,"6,226",159,"6,623","61,643"
A90 ,NH,08/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"22,377","21,076","8,061",595,"52,109",49,57,557,42,705,0,"1,755",601,9,"2,365",0,200,"5,580",133,"5,913","61,092"
A90 ,NH,09/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"21,028","19,479","7,554",457,"48,518",50,52,395,40,537,0,"1,467",514,9,"1,990",0,164,"5,061",125,"5,350","56,395"
A90 ,NH,10/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"22,852","18,970","7,787",388,"49,997",62,87,306,35,490,0,"1,058",476,5,"1,539",0,170,"3,941",96,"4,207","56,233"
A90 ,NH,11/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"21,648","16,148","6,983",290,"45,069",150,83,244,28,505,0,719,587,7,"1,313",0,93,"3,947",94,"4,134","51,021"
A90 ,NH,12/1998,EN,"TRACON, RAPCON, or CERAP",ANE,"22,142","16,856","5,800",274,"45,072",115,85,160,27,387,0,582,363,6,951,0,111,"3,235",68,"3,414","49,824"
ABE ,PA,01/1994,EN,Towers with Radar,AEA,"1,307","1,711","2,489",55,"5,562",228,"2,407","2,079",81,"4,795",0,0,0,0,0,0,0,0,0,0,"10,357"
ABE ,PA,02/1994,EN,Towers with Radar,AEA,"1,227","1,493","3,321",183,"6,224",157,"2,256","2,815",197,"5,425",0,0,0,0,0,0,0,0,0,0,"11,649"
ABE ,PA,03/1994,EN,Towers with Radar,AEA,"1,389","1,956","4,404",206,"7,955",172,"2,698","3,728",284,"6,882",0,0,0,0,0,0,0,0,0,0,"14,837"
ABE ,PA,04/1994,EN,Towers with Radar,AEA,"1,375","1,999","5,821",128,"9,323",176,"2,673","4,802",246,"7,897",0,0,0,0,0,0,0,0,0,0,"17,220"
ABE ,PA,05/1994,EN,Towers with Radar,AEA,"1,449","2,050","6,267",177,"9,943",169,"2,837","5,237",259,"8,502",0,0,0,0,0,0,0,0,0,0,"18,445"
ABE ,PA,06/1994,EN,Towers with Radar,AEA,"1,436","1,927","5,925",142,"9,430",131,"2,833","5,134",222,"8,320",0,0,0,0,0,0,0,0,0,0,"17,750"
ABE ,PA,07/1994,EN,Towers with Radar,AEA,"1,451","1,613","5,702",120,"8,886",135,"2,889","5,351",234,"8,609",0,0,0,0,0,0,0,0,0,0,"17,495"
ABE ,PA,08/1994,EN,Towers with Radar,AEA,"1,460","1,681","6,032",189,"9,362",128,"3,003","5,477",228,"8,836",0,0,0,0,0,0,0,0,0,0,"18,198"
ABE ,PA,09/1994,EN,Towers with Radar,AEA,"1,445","1,947","6,029",267,"9,688",121,"2,959","5,189",175,"8,444",0,0,0,0,0,0,0,0,0,0,"18,132"
ABE ,PA,10/1994,EN,Towers with Radar,AEA,"1,565","1,656","2,631",234,"6,086",96,"2,527","2,394",184,"5,201",0,64,"4,041",9,"4,114",1,182,"3,452",33,"3,668","19,069"
ABE ,PA,11/1994,EN,Towers with Radar,AEA,"1,662","1,379","2,558",181,"5,780",217,"2,493","2,094",154,"4,958",61,105,"2,979",22,"3,167",3,276,"2,453",66,"2,798","16,703"
ABE ,PA,12/1994,EN,Towers with Radar,AEA,"1,870","1,260","2,392",250,"5,772",230,"2,341","1,761",154,"4,486",0,35,"2,589",14,"2,638",0,154,"2,131",55,"2,340","15,236"
ABE ,PA,01/1995,EN,Towers with Radar,AEA,"1,818","1,057","2,279",147,"5,301",212,"2,330","1,659",178,"4,379",0,20,"1,890",18,"1,928",0,75,"1,269",33,"1,377","12,985"
