acronym,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform,nasa_fullform,hand_fullform
would,41709.0,0,neg_word,,,,,
did,40384.0,0,pos_stopword,,Direct Inward Dial,,,
about,39793.0,0,neg_stopword,,,,,
alt,38859.0,1,pos_handcoded_abrev,Altitude,,Alenquer Airport,Altitude ,
or,38225.0,0,neg_stopword,,,,,
out,37566.0,0,pos_stopword,,,Bousso Airport,,
aircraft,36320.0,0,neg_word,,,,,
dep,35359.0,1,pos_nonword,"Depart, Departure, Departed, Departing, Departure Message",Departure,Daporijo Airport,Departure ,
told,35338.0,0,neg_word,,,,,
they,34967.0,0,neg_stopword,,,,,
if,34413.0,0,pos_stopword,Instrument Flight,Intermediate Fix,,,
off,33949.0,0,pos_stopword,,,Offutt Air Force Base,,
which,31593.0,0,neg_stopword,,,,,
been,31463.0,0,neg_stopword,,,,,
up,30615.0,0,neg_stopword,,,,,
rwy,30294.0,1,pos_nonword,,,,Runway,Runway
back,30262.0,0,neg_word,,,,,
asked,30110.0,0,neg_word,,,,,
hdg,30079.0,1,pos_nonword,Heading,,Handan Airport,Heading ,
said,29959.0,0,neg_word,,,,,
there,29835.0,0,neg_stopword,,,,,
approach,28216.0,0,neg_word,,,,,
so,27586.0,0,pos_stopword,,,,Second Officer ,
',26472.0,0,neg_nonalpha_abrev,,,,,
could,26453.0,0,neg_word,,,,,
mi,26339.0,0,neg_word,,,,,
2,26224.0,0,neg_word,,,,,
all,25346.0,0,pos_stopword,,,Albenga Airport,,
while,25061.0,0,neg_stopword,,,,,
called,24088.0,0,neg_word,,,,,
into,23826.0,0,neg_stopword,,,,,
other,23423.0,0,neg_stopword,,,,,
ctl,23002.0,1,pos_nonword,Control,,Charleville Airport,Control ,
should,22781.0,0,neg_stopword,,,,,
flying,22180.0,0,neg_word,,,,,
capt,21991.0,0,neg_word,,,,,
1,21825.0,0,neg_word,,,,,
also,21309.0,0,neg_word,,,,,
visual,21090.0,0,neg_word,,,,,
him,20777.0,0,pos_stopword,,,Hingurakgoda Airport ,,
during,20769.0,0,neg_stopword,,,,,
ctlr,20369.5,1,pos_nonword,,,,Controller ,Computer and telecommunication law review
x,20189.0,0,neg_word,,,,,
what,20141.0,0,neg_stopword,,,,,
are,19435.0,0,pos_stopword,,,Antonio ,,
advised,19404.0,0,neg_word,,,,,
over,19359.0,0,neg_stopword,,,,,
approx,19308.0,0,neg_word,,,,,
final,18519.0,0,neg_word,,,,,
his,18440.0,0,neg_stopword,,,,,
made,18387.0,0,neg_word,,,,,
given,18326.0,0,neg_word,,,,,
deg,18159.0,1,pos_handcoded_abrev,Degrees,,,Degree ,
just,18146.0,0,neg_stopword,,,,,
ils,18136.0,1,pos_nonword,Instrument Landing System,Instrument Landing System,,,
through,18053.0,0,neg_stopword,,,,,
3,18053.0,0,neg_word,,,,,
down,18027.0,0,neg_stopword,,,,,
both,17956.0,0,neg_stopword,,,,,
msl,17603.0,1,pos_nonword,Mean Sea Level,Mean Sea Level,Northwest Alabama Regional Airport,,
very,17159.0,0,neg_stopword,,,,,
000,17107.0,0,neg_word,,,,,
because,17037.0,0,neg_stopword,,,,,
first,16856.0,0,neg_word,,,,,
turned,16844.0,0,neg_word,,,,,
contact,16775.0,0,neg_word,,,,,
course,16767.0,0,neg_word,,,,,
airspace,16743.0,0,neg_word,,,,,
twr,16618.666666666668,1,pos_nonword,,controlled),,Tower ,Tower
r,16476.0,0,pos_word,,,,Right,
before,16322.0,0,neg_stopword,,,,,
freq,16318.0,1,pos_handcoded_abrev,Frequency,,,Frequency ,
flight,16198.0,0,neg_word,,,,,
radar,15918.0,0,neg_word,,,,,
more,15902.0,0,neg_stopword,,,,,
any,15889.0,0,pos_stopword,,,Anthony Municipal Airport,,
5,15833.0,0,neg_word,,,,,
being,15742.0,0,neg_stopword,,,,,
than,15712.0,0,neg_stopword,,,,,
call,15665.0,0,neg_word,,,,,
area,15594.0,0,neg_word,,,,,
immediately,15374.0,0,neg_word,,,,,
l,15343.0,1,pos_handcoded_abrev,Left (runway identification),,,Left,
fuel,15285.0,0,neg_word,,,,,
due,15229.0,0,pos_iata_only_words,,,Dundo Airport,,
received,14987.0,0,neg_word,,,,,
ifr,14954.0,1,pos_nonword,Instrument flight rules,Instrument Flight Rules,,,
maintain,14849.0,0,neg_word,,,,,
assigned,14840.0,0,neg_word,,,,,
get,14595.0,0,pos_iata_only_words,,,Geraldton Airport,,
point,14485.0,0,neg_word,,,,,
tcasii,14284.0,1,neg_nonword,,,,,
them,14240.0,0,neg_stopword,,,,,
below,14200.0,0,neg_stopword,,,,,
runway,14196.0,0,neg_word,,,,,
only,13923.0,0,neg_stopword,,,,,
clred,13896.0,1,pos_nonword,,,,Cleared,Clear
prob,13869.0,0,pos_word,,,,Problem ,
one,13852.0,0,pos_iata_only_words,,,Onepusu Airport,,
normal,13743.0,0,neg_word,,,,,
do,13699.0,0,neg_stopword,,,,,
until,13604.0,0,neg_stopword,,,,,
altitude,13551.0,0,neg_word,,,,,
still,13409.0,0,neg_word,,,,,
info,13404.0,1,pos_handcoded_abrev,Information,,,,
continued,13287.0,0,neg_word,,,,,
heading,13247.0,0,neg_word,,,,,
gave,13230.0,0,neg_word,,,,,
plt,13145.0,1,pos_nonword,,,Plato Airport,Pilot ,
acr,13071.0,1,pos_nonword,,,Araracuara Airport,,
kts,13051.0,1,pos_nonword,,,Brevig Mission Airport,Knots,
right,13043.0,0,neg_word,,,,,
again,12916.0,0,neg_stopword,,,,,
got,12552.0,0,pos_iata_only_words,,,G÷teborg Landvetter Airport,,
same,12543.0,0,pos_stopword,,,Gov. Francisco Gabrielli International Airport ,,
pos,12409.0,1,pos_nonword,,,Piarco International Airport,,
y,12409.0,0,neg_stopword,,,,,
fly,12305.0,0,pos_word,"Fly, Flying",,Finley Airport,,
loc,12271.0,1,pos_nonword,"Locally, Location, Located, Local",Localizer,Lock Airport,,
10,12238.0,0,neg_word,,,,,
gear,12212.0,0,neg_word,,,,,
another,12149.0,0,neg_word,,,,,
without,12057.0,0,neg_word,,,,,
clb,12033.5,1,pos_nonword,,,,Climb ,climb
4,12014.0,0,neg_word,,,,,
degs,11998.0,1,pos_nonword,,,,Degrees,Degrees
level,11967.0,0,neg_word,,,,,
arr,11911.0,1,pos_handcoded_abrev,"Arrive, Arrival",,Alto Rφo Senguer Airport,,
crew,11900.0,0,neg_word,,,,,
started,11773.0,0,neg_word,,,,,
new,11765.0,0,pos_iata_only_words,,,Lakefront Airport,,
saw,11589.0,0,pos_iata_only_words,,,Sabiha G÷kτen International Airport,,
left,11580.0,0,neg_word,,,,,
arpt,11515.5,1,pos_nonword,,,,Airport ,Airport
3000,11430.0,0,neg_word,,,,,
eng,11420.0,1,pos_nonword,Engine,,,,
following,11399.0,0,neg_word,,,,,
see,11375.0,0,pos_iata_only_words,,,Gillespie Field,,
feet,11336.0,0,neg_word,,,,,
direct,11242.0,0,neg_word,,,,,
above,11212.0,0,neg_stopword,,,,,
incident,11152.0,0,neg_word,,,,,
you,11110.0,0,neg_stopword,,,,,
since,11029.0,0,neg_word,,,,,
issued,11017.0,0,neg_word,,,,,
departure,10989.0,0,neg_word,,,,,
sight,10964.0,0,neg_word,,,,,
noticed,10742.0,0,neg_word,,,,,
radio,10714.0,0,neg_word,,,,,
landed,10705.0,0,neg_word,,,,,
upon,10676.0,0,neg_word,,,,,
vectors,10652.0,0,neg_word,,,,,
began,10591.0,0,neg_word,,,,,
going,10550.0,0,neg_word,,,,,
stated,10457.0,0,neg_word,,,,,
prior,10372.0,0,neg_word,,,,,
controller,10331.0,0,neg_word,,,,,
never,10321.0,0,neg_word,,,,,
4000,10299.0,0,neg_word,,,,,
will,10264.0,0,pos_stopword,,,Radin Inten II Airport,,
high,10242.0,0,neg_word,,,,,
set,10226.0,0,neg_word,,,,,
make,10213.0,0,neg_word,,,,,
traffic,10210.0,0,neg_word,,,,,
further,10145.0,0,neg_stopword,,,,,
believe,10085.0,0,neg_word,,,,,
around,10037.0,0,neg_word,,,,,
some,10032.0,0,neg_stopword,,,,,
requested,10030.0,0,neg_word,,,,,
has,10026.0,0,pos_stopword,,,Ha'il Regional Airport,,
later,9990.0,0,neg_word,,,,,
change,9950.0,0,neg_word,,,,,
class,9853.0,0,neg_word,,,,,
vfr,9788.0,1,pos_nonword,,Visual Flight Rules,,,Visual flight rules
landing,9782.0,0,neg_word,,,,,
intercept,9704.0,0,neg_word,,,,,
pilot,9615.0,0,neg_word,,,,,
informed,9596.0,0,neg_word,,,,,
5000,9594.0,0,neg_word,,,,,
went,9593.0,0,neg_word,,,,,
thought,9556.0,0,neg_word,,,,,
plan,9510.0,0,neg_word,,,,,
light,9470.0,0,neg_word,,,,,
now,9466.0,0,neg_stopword,,,,,
conditions,9367.0,0,neg_word,,,,,
land,9356.0,0,neg_word,,,,,
climb,9151.0,0,neg_word,,,,,
separation,9108.0,0,neg_word,,,,,
spd,9036.0,1,pos_nonword,,,Saidpur Airport,Speed ,
o'clock,8964.0,0,neg_word,,,,,
took,8865.0,0,neg_word,,,,,
their,8816.0,0,neg_stopword,,,,,
gnd,8706.0,1,pos_nonword,Ground,,Maurice Bishop International Airport,Ground ,
low,8669.0,0,pos_iata_only_words,,,Louisa County Airport ,,
vectored,8653.0,0,neg_word,,,,,
close,8648.0,0,neg_word,,,,,
10000,8612.0,0,neg_word,,,,,
too,8573.0,0,pos_stopword,,,San Vito de Java Airport,,
airport,8566.0,0,neg_word,,,,,
go,8558.0,0,neg_word,,,,,
didn't,8554.0,0,neg_stopword,,,,,
well,8479.0,0,neg_word,,,,,
clbing,8453.0,1,pos_nonword,,,,Climbing,
autoplt,8332.0,1,neg_nonword,,,,,
dme,8286.0,1,pos_nonword,Distance Measuring Equipment,Distance Measuring Equipment,Domodedovo International Airport,,
cleared,8237.0,0,neg_word,,,,,
missed,8191.0,0,neg_word,,,,,
conflict,8182.0,0,neg_word,,,,,
know,8171.0,0,neg_word,,,,,
clr,8149.0,1,pos_nonword,"Clear, Cleared to... Clearance",,Cliff Hatfield Memorial Airport,Clear ,
flaps,8121.0,0,neg_word,,,,,
departed,8118.0,0,neg_word,,,,,
where,8069.0,0,neg_stopword,,,,,
however,8034.0,0,neg_word,,,,,
vector,7936.0,0,neg_word,,,,,
who,7902.0,0,pos_stopword,,,Franz Josef Glacier Aerodrome,,
b,7841.0,1,pos_handcoded_abrev,Blue,,,,
day,7839.0,0,pos_iata_only_words,,,Dayton International Airport,,
air,7838.0,0,pos_iata_only_words,,,Aripuanπ Airport,,
arrival,7820.0,0,neg_word,,,,,
2000,7756.0,0,neg_word,,,,,
company,7628.0,0,neg_word,,,,,
even,7590.0,0,neg_word,,,,,
situation,7508.0,0,neg_word,,,,,
contacted,7498.0,0,neg_word,,,,,
warning,7477.0,0,neg_word,,,,,
airplane,7466.0,0,neg_word,,,,,
6000,7390.0,0,neg_word,,,,,
may,7378.0,0,pos_iata_only_words,,,Clarence A. Bain Airport,,
heard,7315.0,0,neg_word,,,,,
clearance,7246.0,0,neg_word,,,,,
instructed,7235.0,0,neg_word,,,,,
vor,7182.5,1,pos_nonword,,VHF Omnidirectional Range,,,VHF omnidirectional radio range
several,7182.0,0,neg_word,,,,,
busy,7181.0,0,neg_word,,,,,
500,7179.0,0,neg_word,,,,,
dsnding,7179.0,1,pos_nonword,,,,Descending,
once,7175.0,0,neg_stopword,,,,,
instructions,7125.0,0,neg_word,,,,,
looked,7125.0,0,neg_word,,,,,
next,7125.0,0,neg_word,,,,,
sid,7090.0,1,pos_nonword,,Station Identifier,Amφlcar Cabral International Airport,,
--,7048.0,0,neg_nonalpha_abrev,,,,,
came,7024.0,0,neg_word,,,,,
read,7018.0,0,neg_word,,,,,
able,6914.0,0,neg_word,,,,,
fms,6908.0,1,pos_nonword,Flight Management System,Flight management System,Fort Madison Municipal Airport ,,
use,6898.0,0,neg_word,,,,,
6,6887.0,0,neg_word,,,,,
s,6863.0,0,pos_stopword,,,,South,
field,6835.0,0,neg_word,,,,,
avoid,6808.0,0,neg_word,,,,,
tower,6800.0,0,neg_word,,,,,
pax,6776.0,1,pos_nonword,,,Port-de-Paix Airport,,
n,6758.0,1,pos_handcoded_abrev,"North, North Latitude",,,North,
cockpit,6758.0,0,neg_word,,,,,
way,6756.0,0,pos_iata_only_words,,,Greene County Airport,,
working,6747.0,0,neg_word,,,,,
like,6721.0,0,neg_word,,,,,
think,6676.0,0,neg_word,,,,,
initial,6620.0,0,neg_word,,,,,
w,6608.0,0,pos_word,,,,West,
maint,6603.0,1,pos_nonword,Maintenance,,,,
passed,6573.0,0,neg_word,,,,,
descent,6552.0,0,neg_word,,,,,
nm,6549.0,1,pos_handcoded_abrev,Nautical Miles,Nautical Mile,,,
flew,6517.0,0,neg_word,,,,,
7000,6508.0,0,neg_word,,,,,
return,6502.0,0,neg_word,,,,,
action,6489.0,0,neg_word,,,,,
zzz,6486.0,1,neg_nonword,,,,,
sys,6478.0,0,pos_iata_only_words,,,Saskylakh Airport,,
can,6465.0,0,pos_stopword,,,Guangzhou Baiyun International Airport,,
under,6449.0,0,neg_stopword,,,,,
fix,6438.0,0,pos_word,Fault Isolation Manual,,,,
wx,6409.5,1,pos_nonword,,Weather,,,Weather
am,6406.0,0,neg_stopword,,,,,
correct,6400.0,0,neg_word,,,,,
alert,6394.0,0,neg_word,,,,,
30,6369.0,0,neg_word,,,,,
within,6359.0,0,neg_word,,,,,
realized,6357.0,0,neg_word,,,,,
control,6350.0,0,neg_word,,,,,
required,6348.0,0,neg_word,,,,,
captain,6307.0,0,neg_word,,,,,
base,6307.0,0,pos_word,Cloud Base (met),,,,
sure,6304.0,0,neg_word,,,,,
sit,6272.0,0,pos_iata_only_words,,,Sitka Rocky Gutierrez Airport,,
using,6228.0,0,neg_word,,,,,
followed,6215.0,0,neg_word,,,,,
appeared,6206.0,0,neg_word,,,,,
terrain,6150.0,0,neg_word,,,,,
event,6132.0,0,neg_word,,,,,
mode,6108.0,0,neg_word,,,,,
via,6104.0,0,pos_iata_only_words,,,┬ngelo Ponzoni Municipal Airport,,
times,6064.0,0,neg_word,,,,,
occurred,6044.0,0,neg_word,,,,,
miles,6044.0,0,neg_word,,,,,
tkof,5974.0,1,pos_nonword,,,,Takeoff ,Take off
responded,5972.0,0,neg_word,,,,,
e,5957.0,1,pos_handcoded_abrev,"East, East Longitude",,,East,
indicated,5951.0,0,neg_word,,,,,
radial,5951.0,0,neg_word,,,,,
behind,5942.0,0,neg_word,,,,,
8,5931.0,0,neg_word,,,,,
8000,5931.0,0,neg_word,,,,,
second,5906.0,0,neg_word,,,,,
error,5874.0,0,neg_word,,,,,
away,5874.0,0,neg_word,,,,,
gate,5871.0,0,neg_word,,,,,
these,5871.0,0,neg_stopword,,,,,
possible,5849.0,0,neg_word,,,,,
passing,5841.0,0,neg_word,,,,,
side,5829.0,0,neg_word,,,,,
turning,5828.0,0,neg_word,,,,,
put,5813.0,0,pos_iata_only_words,,,Sri Sathya Sai Airport,,
speed,5805.0,0,neg_word,,,,,
15,5718.0,0,neg_word,,,,,
switched,5718.0,0,neg_word,,,,,
much,5706.0,0,neg_word,,,,,
nav,5680.0,1,pos_nonword,Navigation,,Nev?ehir Kapadokya Airport,Navigate,
good,5675.0,0,neg_word,,,,,
how,5658.0,0,neg_stopword,,,,,
chklist,5632.0,1,neg_nonword,,,,,
needed,5630.0,0,neg_word,,,,,
having,5612.0,0,neg_stopword,,,,,
downwind,5606.0,0,neg_word,,,,,
caused,5605.0,0,neg_word,,,,,
few,5601.0,0,pos_stopword,Few (cloud descriptor),,,,
pf,5595.0,0,neg_word,,,,,
engine,5584.0,0,neg_word,,,,,
conversation,5577.0,0,neg_word,,,,,
continue,5563.0,0,neg_word,,,,,
shortly,5545.0,0,neg_word,,,,,
lost,5538.0,0,neg_word,,,,,
rate,5526.0,0,neg_word,,,,,
used,5525.0,0,neg_word,,,,,
visibility,5471.0,0,neg_word,,,,,
take,5453.0,0,neg_word,,,,,
need,5450.0,0,neg_word,,,,,
dsnded,5425.0,1,pos_nonword,,,,Descended,
failed,5410.0,0,neg_word,,,,,
12,5403.0,0,neg_word,,,,,
trying,5401.0,0,neg_word,,,,,
clouds,5374.0,0,neg_word,,,,,
20,5367.0,0,neg_word,,,,,
wanted,5366.0,0,neg_word,,,,,
hold,5355.0,0,neg_word,,,,,
atis,5314.0,1,pos_nonword,Automatic terminal information service,Automated Terminal Information Service,,,
don't,5301.0,0,neg_stopword,,,,,
decided,5288.0,0,neg_word,,,,,
less,5270.0,0,neg_word,,,,,
wrong,5262.0,0,neg_word,,,,,
why,5260.0,0,neg_stopword,,,,,
pwr,5256.0,1,pos_nonword,,,Port Walter Seaplane Base,,
uneventful,5256.0,0,neg_word,,,,,
unable,5221.0,0,neg_word,,,,,
250,5213.0,0,neg_word,,,,,
plane,5208.0,0,neg_word,,,,,
problem,5204.0,0,neg_word,,,,,
last,5185.0,0,neg_word,,,,,
found,5177.0,0,neg_word,,,,,
slow,5161.0,0,neg_word,,,,,
failure,5137.0,0,neg_word,,,,,
7,5132.0,0,neg_word,,,,,
11000,5129.0,0,neg_word,,,,,
short,5109.0,0,neg_word,,,,,
showed,5109.0,0,neg_word,,,,,
officer,5098.0,0,neg_word,,,,,
revealed,5077.0,0,neg_word,,,,,
leg,5066.0,0,pos_iata_only_words,,,Aleg Airport,,
returned,5058.0,0,neg_word,,,,,
changed,5021.0,0,neg_word,,,,,
instead,5019.0,0,neg_word,,,,,
line,5012.0,0,neg_word,,,,,
full,4995.0,0,neg_word,,,,,
lax,4974.0,0,pos_iata_only_words,,,Los Angeles International Airport,,
feel,4965.0,0,neg_word,,,,,
already,4921.0,0,neg_word,,,,,
getting,4908.0,0,neg_word,,,,,
seconds,4905.0,0,neg_word,,,,,
she,4885.0,0,pos_stopword,,,Shenyang Taoxian International Airport,,
proceeded,4882.0,0,neg_word,,,,,
chart,4881.0,0,neg_word,,,,,
felt,4879.0,0,neg_word,,,,,
com,4870.0,1,pos_handcoded_abrev,Communications,,Coleman Municipal Airport,Communication ,
safety,4850.0,0,neg_word,,,,,
replied,4845.0,0,neg_word,,,,,
chk,4836.0,1,pos_nonword,,,Chickasha Municipal Airport,Check ,
looking,4833.0,0,neg_word,,,,,
inbound,4813.0,0,neg_word,,,,,
selected,4799.0,0,neg_word,,,,,
handed,4791.0,0,neg_word,,,,,
filed,4785.0,0,neg_word,,,,,
cabin,4759.0,0,neg_word,,,,,
completed,4745.0,0,neg_word,,,,,
tca,4744.0,1,pos_nonword,,Traffic Control Airport or Tower Control Airport,Tennant Creek Airport,,
issue,4737.0,0,neg_word,,,,,
declared,4729.0,0,neg_word,,,,,
departing,4727.0,0,neg_word,,,,,
better,4723.0,0,neg_word,,,,,
number,4707.0,0,neg_word,,,,,
1000,4693.0,0,neg_word,,,,,
cross,4671.0,0,neg_word,,,,,
altimeter,4665.0,0,neg_word,,,,,
approximately,4658.0,0,neg_word,,,,,
near,4653.0,0,neg_word,,,,,
fact,4649.0,0,pos_iata_only_words,,,Cape Town International Airport,,
leveled,4605.0,0,neg_word,,,,,
happened,4588.0,0,neg_word,,,,,
doing,4577.0,0,neg_stopword,,,,,
briefed,4552.0,0,neg_word,,,,,
callback,4549.0,0,neg_word,,,,,
acn,4542.0,1,pos_nonword,Aircraft classification number,,Ciudad Acu±a International Airport,,
notified,4531.0,0,neg_word,,,,,
imc,4529.0,1,pos_nonword,Instrument meteorological conditions (other than VMC),Instrument Meteorological Conditions,,,
two,4519.0,0,neg_word,,,,,
ahead,4516.0,0,neg_word,,,,,
dsnd,4493.5,1,pos_nonword,,,,Descend ,Descend
supplemental,4492.0,0,neg_word,,,,,
tracon,4489.0,1,pos_nonword,,Terminal Radar Approach Control Facility,,,
expect,4487.0,0,neg_word,,,,,
c,4462.0,1,pos_handcoded_abrev,Degrees Celsius (Centigrade),,,,
training,4449.0,0,neg_word,,,,,
1500,4439.0,0,neg_word,,,,,
sma,4438.0,1,pos_nonword,,,Santa Maria Airport,,
data,4436.0,0,neg_word,,,,,
gs,4434.0,1,pos_handcoded_abrev,Groundspeed,Glide Slope Indicator,,,
outside,4434.0,0,neg_word,,,,,
position,4415.0,0,neg_word,,,,,
#1,4404.0,0,neg_nonalpha_abrev,,,,,
tried,4398.0,0,neg_word,,,,,
entered,4392.0,0,neg_word,,,,,
part,4383.0,0,neg_word,,,,,
emer,4373.0,1,pos_nonword,,,,Emergency ,Emergency
300,4369.0,0,neg_word,,,,,
nose,4365.0,0,neg_word,,,,,
180,4351.0,0,neg_word,,,,,
rte,4346.0,0,neg_word,,,,,
lights,4333.0,0,neg_word,,,,,
dispatch,4331.0,0,neg_word,,,,,
different,4318.0,0,neg_word,,,,,
fire,4311.0,0,pos_word,,Fire Station,,,
autopilot,4309.0,0,neg_word,,,,,
observed,4303.0,0,neg_word,,,,,
target,4300.0,0,neg_word,,,,,
9000,4288.0,0,neg_word,,,,,
flown,4286.0,0,neg_word,,,,,
mins,4278.0,1,pos_nonword,,,,Minutes,Micro INS
200,4248.0,0,neg_word,,,,,
9,4247.0,0,neg_word,,,,,
normally,4246.0,0,neg_word,,,,,
path,4235.0,0,neg_word,,,,,
lower,4196.0,0,neg_word,,,,,
work,4193.0,0,neg_word,,,,,
request,4187.0,0,neg_word,,,,,
aware,4175.0,0,neg_word,,,,,
code,4170.0,0,neg_word,,,,,
taxi,4168.0,0,neg_word,,,,,
myself,4168.0,0,neg_stopword,,,,,
either,4160.0,0,neg_word,,,,,
hand,4156.0,0,neg_word,,,,,
seemed,4146.0,0,neg_word,,,,,
factors,4137.0,0,neg_word,,,,,
toward,4129.0,0,neg_word,,,,,
done,4125.0,0,neg_word,,,,,
many,4117.0,0,neg_word,,,,,
2500,4117.0,0,neg_word,,,,,
keep,4114.0,0,neg_word,,,,,
quickly,4107.0,0,neg_word,,,,,
long,4097.0,0,pos_word,Longitude,,,,
switch,4093.0,0,neg_word,,,,,
weather,4089.0,0,neg_word,,,,,
enough,4087.0,0,neg_word,,,,,
#2,4084.0,0,neg_nonalpha_abrev,,,,,
night,4081.0,0,neg_word,,,,,
though,4067.0,0,neg_word,,,,,
frequency,4054.0,0,neg_word,,,,,
noted,4047.0,0,neg_word,,,,,
initiated,4006.0,0,neg_word,,,,,
established,4006.0,0,neg_word,,,,,
although,3987.0,0,neg_word,,,,,
ta,3984.0,1,neg_nonword,,,,,
follow,3975.0,0,neg_word,,,,,
setting,3965.0,0,neg_word,,,,,
became,3936.0,0,neg_word,,,,,
gps,3927.0,1,pos_nonword,Global positioning system (see GNSS),Global Positioning System,Seymour Airport,,
something,3912.0,0,neg_word,,,,,
immediate,3908.0,0,neg_word,,,,,
visually,3904.0,0,neg_word,,,,,
such,3887.0,0,neg_stopword,,,,,
loss,3879.0,0,neg_word,,,,,
talking,3871.0,0,neg_word,,,,,
hrs,3869.0,0,pos_iata_only_words,,,Harrismith Airport,Hours,
little,3865.0,0,neg_word,,,,,
acknowledged,3853.0,0,neg_word,,,,,
front,3849.0,0,pos_word,Front (relating to weather),,,,
direction,3830.0,0,neg_word,,,,,
each,3794.0,0,neg_stopword,,,,,
sector,3779.0,0,neg_word,,,,,
faa,3779.0,1,pos_nonword,Federal Aviation Administration of the USA,Federal Aviation Administration,Faranah Airport,,
must,3770.0,0,neg_word,,,,,
12000,3761.0,0,neg_word,,,,,
response,3760.0,0,neg_word,,,,,
confirmed,3751.0,0,neg_word,,,,,
agl,3705.0,1,pos_nonword,Above Ground Level,Above Ground Level,Wanigela Airport,,
xponder,3700.0,1,neg_nonword,,,,,
give,3675.0,0,neg_word,,,,,
per,3665.0,0,pos_iata_only_words,,,Perth Airport,,
knew,3659.0,0,pos_iata_only_words,,,Lakefront Airport,,
stopped,3659.0,0,neg_word,,,,,
door,3655.0,0,neg_word,,,,,
making,3640.0,0,neg_word,,,,,
emergency,3639.0,0,neg_word,,,,,
holding,3626.0,0,neg_word,,,,,
descend,3625.0,0,neg_word,,,,,
checklist,3615.0,0,neg_word,,,,,
center,3614.0,0,neg_word,,,,,
phone,3613.0,0,neg_word,,,,,
factor,3611.0,0,neg_word,,,,,
11,3598.0,0,neg_word,,,,,
smoke,3597.0,0,neg_word,,,,,
pressure,3596.0,0,neg_word,,,,,
help,3586.0,0,neg_word,,,,,
flap,3578.0,0,neg_word,,,,,
transition,3578.0,0,neg_word,,,,,
briefing,3545.0,0,neg_word,,,,,
confusion,3543.0,0,neg_word,,,,,
most,3543.0,0,neg_stopword,,,,,
f,3537.0,1,pos_handcoded_abrev,Fixed (chart symbol),,,,
apching,3530.0,1,neg_nonword,,,,,
soon,3521.0,0,neg_word,,,,,
finally,3507.0,0,neg_word,,,,,
case,3494.0,0,neg_word,,,,,
proc,3479.5,1,pos_nonword,,,,Procedure ,Proceed
previous,3462.0,0,neg_word,,,,,
directly,3454.0,0,neg_word,,,,,
squawk,3428.0,0,neg_word,,,,,
say,3427.0,0,pos_iata_only_words,,,SienaûAmpugnano Airport,,
mistake,3422.0,0,neg_word,,,,,
coplt,3420.0,1,neg_nonword,,,,,
probably,3408.0,0,neg_word,,,,,
pattern,3408.0,0,neg_word,,,,,
climbing,3392.0,0,neg_word,,,,,
1/2,3386.0,0,neg_nonalpha_abrev,,,,,
might,3382.0,0,neg_word,,,,,
future,3381.0,0,neg_word,,,,,
attendant,3380.0,0,neg_word,,,,,
clear,3378.0,0,neg_word,,,,,
attn,3377.0,1,pos_handcoded_abrev,Attention,,,,
