tracon_month,pos_nonword_ct,pos_nonword_unique_ct,all_abrevs_no_overcount_ct,all_abrevs_no_overcount_unique_ct,casa_ct,casa_unique_ct,faa_ct,faa_unique_ct,iata_ct,iata_unique_ct,nasa_ct,nasa_unique_ct,hand_ct,hand_unique_ct
A11 2001/8,211,53,248,70,101,29,73,16,80,20,120,30,110,27
A11 2002/1,35,15,43,21,27,7,21,5,19,7,26,11,10,8
A11 2002/12,39,22,51,28,25,14,16,7,16,8,18,11,20,11
A11 2002/3,10,7,12,9,8,5,7,4,2,2,2,2,4,4
A11 2002/8,29,15,45,21,21,8,6,2,11,5,18,9,16,9
A11 2002/9,7,6,11,9,5,4,2,2,3,3,4,4,5,4
A11 2003/10,127,45,173,59,89,29,38,11,65,23,72,23,64,17
A11 2003/11,24,14,33,19,23,10,8,4,11,7,5,4,8,7
A11 2003/12,32,20,41,26,15,9,9,5,13,8,21,14,18,10
A11 2003/6,22,16,27,19,12,7,8,4,12,7,12,7,8,6
A11 2003/7,14,6,16,7,6,3,4,2,4,2,6,3,10,4
A11 2003/8,10,8,17,13,7,6,1,1,5,4,11,9,8,6
A11 2004/1,18,8,26,12,16,7,2,1,6,3,8,4,4,2
A11 2004/12,38,14,44,20,7,7,1,1,28,8,14,9,10,6
A11 2004/3,25,18,41,30,16,13,6,4,13,9,13,10,9,8
A11 2004/5,13,6,14,7,6,2,0,0,0,0,2,2,8,5
A11 2004/7,151,41,197,55,102,18,50,6,48,11,102,24,67,23
A11 2005/11,90,26,111,40,43,14,22,4,23,12,57,21,45,11
A11 2005/4,21,10,23,12,9,4,7,2,2,2,12,6,13,7
A11 2006/1,48,27,63,37,25,13,9,3,20,9,25,14,17,11
A11 2006/10,35,15,41,18,25,8,14,2,10,5,14,9,6,5
A11 2006/12,90,39,120,57,48,21,31,15,46,19,28,17,34,17
A11 2006/2,151,53,193,80,101,25,62,12,62,22,51,24,50,24
A11 2006/4,50,19,63,27,28,12,21,6,16,8,26,11,27,11
A11 2006/7,9,4,12,5,6,2,3,1,4,1,0,0,2,2
A11 2007/2,32,15,41,21,27,9,21,6,8,4,12,8,11,9
A11 2007/3,43,21,52,29,28,12,22,7,14,9,10,8,13,9
A11 2007/5,52,27,71,36,34,13,3,2,15,9,25,16,23,15
A11 2007/6,28,14,43,22,29,15,17,5,16,8,13,10,11,5
A11 2007/7,22,13,28,16,15,6,9,4,4,3,4,3,9,7
A11 2007/9,10,8,15,10,9,5,6,5,5,3,0,0,3,3
A11 2008/11,36,21,42,25,24,11,8,5,11,9,12,11,12,9
A11 2008/12,4,3,6,4,6,4,4,3,1,1,0,0,0,0
A11 2008/6,82,29,114,45,53,17,20,5,26,9,37,15,30,13
A11 2008/7,17,8,30,13,6,4,2,2,6,4,14,5,15,6
A11 2008/8,78,32,96,44,35,17,24,10,23,11,39,20,40,15
A11 2009/1,30,11,61,16,30,4,10,6,22,7,5,1,7,3
A11 2009/6,16,5,22,6,10,2,10,2,12,3,2,1,4,2
A11 2010/1,1,1,2,2,1,1,1,1,0,0,0,0,0,0
A11 2010/11,2,1,2,1,2,1,2,1,0,0,0,0,0,0
A11 2010/4,33,16,48,20,28,6,20,7,24,10,1,1,4,3
A11 2010/7,22,11,36,15,16,5,15,8,17,7,0,0,3,3
A11 2010/9,2,2,8,7,1,1,1,1,1,1,1,1,1,1
A11 2011/11,12,5,34,10,9,4,9,4,7,2,0,0,1,1
A11 2011/3,3,3,3,3,1,1,3,3,1,1,0,0,2,2
A11 2011/4,7,3,19,6,13,3,7,3,6,2,0,0,1,1
A11 2011/5,2,1,2,1,0,0,2,1,0,0,0,0,0,0
A11 2011/6,5,4,7,5,3,2,5,4,3,2,0,0,2,2
A11 2012/1,5,2,7,4,6,3,5,2,5,2,0,0,0,0
A11 2012/5,9,5,9,5,1,1,8,4,1,1,1,1,7,3
A11 2012/6,20,5,38,9,2,1,10,3,10,2,0,0,8,2
A11 2013/6,20,8,31,14,8,4,13,5,10,3,1,1,7,3
A11 2014/4,7,6,12,8,7,4,4,4,6,5,2,2,1,1
A11 2014/6,15,8,34,13,8,3,11,6,10,4,0,0,2,2
A11 2014/9,8,5,17,10,2,2,5,4,2,2,0,0,3,1
A11 2015/11,22,7,30,11,4,2,14,5,10,3,0,0,10,3
A11 2015/4,13,4,14,5,6,2,12,3,11,3,0,0,2,1
A11 2015/6,10,6,18,8,10,3,8,5,3,2,0,0,4,2
A11 2015/7,7,4,8,5,7,4,6,3,7,4,1,1,0,0
A11 2016/10,7,5,15,9,10,6,8,5,3,2,0,0,3,2
A11 2016/3,4,4,7,6,5,4,4,4,3,3,0,0,1,1
A11 2016/4,8,2,11,5,1,1,8,2,0,0,0,0,2,1
A11 2016/7,6,4,9,6,7,5,6,4,3,2,0,0,0,0
A11 2017/1,12,8,24,13,8,6,7,5,6,4,0,0,3,2
A11 2017/10,5,3,6,4,5,3,5,3,2,2,0,0,0,0
A11 2017/12,4,2,4,2,1,1,4,2,1,1,0,0,3,1
A11 2017/5,13,6,17,10,1,1,6,3,4,2,0,0,5,3
A11 2017/7,5,3,6,4,4,2,5,3,4,2,0,0,1,1
A11 2017/8,23,9,31,15,16,6,20,8,9,4,0,0,0,0
A11 2017/9,3,3,10,7,3,3,2,2,2,2,0,0,0,0
A11 2018/4,2,1,10,3,2,1,2,1,0,0,0,0,0,0
A11 2018/5,23,9,41,19,8,4,13,5,7,3,4,1,16,6
A11 2019/3,20,8,30,17,9,6,18,7,8,4,2,1,5,2
A11 2019/5,9,5,12,7,4,2,7,3,7,3,0,0,2,2
A11 2019/6,24,8,25,9,12,4,21,7,23,7,0,0,1,1
A11 2019/7,32,9,32,9,13,5,27,7,17,5,0,0,13,3
A80 2001/10,114,35,178,46,96,20,21,8,53,15,53,16,49,16
A80 2001/11,108,45,148,66,67,22,19,7,38,18,53,24,49,26
A80 2001/12,74,19,118,28,64,13,22,5,22,8,26,8,30,8
A80 2001/4,120,42,158,59,71,24,21,8,44,18,63,25,49,19
A80 2001/5,104,38,145,56,67,20,35,12,40,12,49,21,43,19
A80 2001/6,108,36,146,56,80,23,39,10,35,13,67,24,44,17
A80 2001/7,76,24,130,38,55,14,20,6,41,13,27,11,33,9
A80 2001/8,166,46,235,71,112,22,43,11,48,17,72,24,78,22
A80 2001/9,37,18,65,28,21,5,1,1,11,5,16,8,23,13
A80 2002/1,136,48,195,70,101,25,40,8,64,19,85,31,65,26
A80 2002/10,93,38,128,52,68,24,16,7,30,14,40,20,39,18
A80 2002/12,159,56,219,83,96,29,26,9,65,25,100,35,76,25
A80 2002/2,33,19,50,26,24,8,7,4,12,7,18,10,13,9
A80 2002/3,22,12,28,18,7,5,3,1,4,2,16,9,17,9
A80 2002/7,14,9,22,14,12,8,3,2,8,6,5,4,6,3
A80 2002/8,228,64,354,101,144,29,34,10,119,26,120,32,106,32
A80 2002/9,71,39,110,56,47,20,22,12,24,13,33,20,30,20
A80 2003/1,84,36,113,50,45,18,19,6,21,13,34,21,44,20
A80 2003/10,157,57,222,78,105,28,46,19,62,22,66,27,72,27
A80 2003/11,196,46,271,74,116,26,48,12,59,20,130,28,110,23
A80 2003/12,197,64,267,88,120,32,61,21,53,22,94,32,94,30
A80 2003/2,162,38,225,56,117,23,40,13,70,16,109,23,65,18
A80 2003/3,133,51,178,70,68,20,22,7,48,19,54,23,77,30
A80 2003/4,51,26,67,38,30,16,22,8,22,13,26,15,20,12
A80 2003/5,88,38,143,54,65,16,19,9,43,16,49,18,50,20
A80 2003/6,162,51,234,71,127,27,68,15,67,19,84,25,77,25
A80 2003/7,236,49,310,66,132,22,38,8,74,15,148,28,136,30
A80 2003/8,178,60,264,87,115,24,39,11,72,23,87,33,92,32
A80 2003/9,194,57,277,84,119,26,44,11,71,21,93,30,93,27
A80 2004/1,314,44,412,66,162,20,78,10,100,19,172,28,130,19
A80 2004/10,49,26,75,39,37,15,14,7,22,9,38,21,21,13
A80 2004/11,30,14,41,17,20,8,7,4,13,5,19,8,12,6
A80 2004/12,99,31,133,44,42,14,23,5,47,12,69,25,50,15
A80 2004/2,74,35,87,47,27,17,32,13,12,11,39,18,48,19
A80 2004/3,112,49,145,64,69,20,42,11,42,16,55,25,49,25
A80 2004/4,135,45,195,67,77,22,27,9,72,20,56,21,66,23
A80 2004/5,186,63,262,95,115,27,49,11,74,20,69,27,76,33
A80 2004/6,159,49,242,85,95,32,44,12,61,21,78,28,84,24
A80 2004/7,114,38,135,51,48,16,17,5,35,13,49,21,64,23
A80 2004/8,77,27,87,34,24,9,14,4,15,9,50,14,55,18
A80 2004/9,30,11,42,16,14,6,6,3,14,6,4,2,14,4
A80 2005/10,76,24,104,34,52,14,42,11,22,6,28,13,28,11
A80 2005/11,129,43,183,64,86,20,48,11,57,15,66,26,56,25
A80 2005/12,33,17,60,28,23,8,11,5,26,10,20,6,12,7
A80 2005/2,24,15,38,23,21,13,7,3,15,10,13,9,10,5
A80 2005/3,28,16,39,21,19,9,6,4,12,7,15,10,13,7
A80 2005/4,40,20,51,30,17,9,10,3,12,7,17,11,21,10
A80 2005/5,236,59,328,91,137,25,62,10,77,21,123,34,122,30
A80 2005/6,7,7,9,9,4,4,2,2,3,3,3,3,2,2
A80 2005/8,39,13,47,18,26,5,21,2,10,5,13,8,9,6
A80 2006/1,39,19,45,24,19,8,9,5,11,5,13,8,18,11
A80 2006/10,211,60,283,84,125,29,60,17,113,29,126,33,93,29
A80 2006/11,28,19,43,24,29,13,7,4,14,10,16,11,8,6
A80 2006/12,167,48,215,71,96,22,36,10,64,21,87,26,77,23
A80 2006/2,145,37,196,53,65,15,37,8,41,15,62,18,90,21
A80 2006/3,116,50,179,80,63,19,44,11,67,17,51,25,44,30
A80 2006/4,66,26,101,39,45,15,37,9,35,11,38,17,29,15
A80 2006/5,53,26,81,39,38,17,14,5,27,11,26,15,22,12
A80 2006/6,106,36,127,44,48,15,35,12,32,11,68,20,62,21
A80 2006/7,107,32,166,53,72,18,37,8,60,18,50,16,35,10
A80 2006/8,55,29,76,39,36,15,21,11,17,11,23,13,25,15
A80 2006/9,90,32,110,40,43,17,26,9,30,11,38,15,51,16
A80 2007/1,29,14,37,20,16,9,8,4,12,5,27,12,15,7
A80 2007/10,69,28,117,43,58,14,17,5,38,12,37,18,29,14
A80 2007/11,27,12,44,24,15,10,9,4,13,7,25,13,13,5
A80 2007/12,26,14,32,19,13,7,4,4,4,4,13,9,13,8
A80 2007/2,99,42,135,60,59,20,33,15,37,16,35,18,42,21
A80 2007/3,168,39,215,58,73,18,41,7,42,13,84,25,94,23
A80 2007/4,50,16,58,22,18,7,16,5,9,5,35,11,30,10
A80 2007/5,54,22,65,27,40,14,30,10,30,11,19,10,17,10
A80 2007/6,118,44,156,59,72,21,37,11,43,15,47,19,55,21
A80 2007/7,187,54,283,82,114,30,68,18,92,20,84,27,82,28
A80 2007/8,173,40,222,61,129,28,58,9,67,17,65,25,66,16
A80 2007/9,244,56,335,93,129,31,100,20,93,21,85,29,97,25
A80 2008/1,124,28,242,45,126,16,40,8,72,16,56,17,50,13
A80 2008/10,11,8,24,11,13,3,2,2,13,6,2,2,4,3
A80 2008/11,149,45,183,61,81,23,46,15,64,19,69,22,56,21
A80 2008/12,21,6,27,9,21,5,18,4,16,3,2,1,2,1
A80 2008/2,521,76,805,123,308,30,123,16,225,29,261,41,267,40
A80 2008/3,331,69,505,107,203,28,91,16,158,29,141,37,158,37
A80 2008/4,87,35,139,55,57,14,19,8,41,15,35,17,46,17
A80 2008/5,150,36,227,54,88,22,36,12,70,17,75,16,75,17
A80 2008/6,77,20,121,35,51,12,15,4,25,7,40,8,47,11
A80 2008/7,29,15,34,17,8,5,5,4,9,4,11,5,22,10
A80 2008/8,21,14,38,23,13,8,7,4,11,8,6,3,10,6
A80 2008/9,44,15,64,19,36,7,4,2,12,5,24,11,18,8
A80 2009/10,36,11,50,18,15,6,20,7,16,4,4,1,16,5
A80 2009/11,9,5,23,13,7,4,8,3,6,4,6,3,4,2
A80 2009/2,27,13,34,18,19,8,21,9,23,9,0,0,3,3
A80 2009/3,51,17,81,29,25,9,22,8,33,10,7,1,14,4
A80 2009/4,6,3,6,3,0,0,2,1,4,2,1,1,2,1
A80 2009/6,13,6,19,10,6,3,7,3,10,5,3,2,3,1
A80 2009/7,41,10,71,26,14,7,16,5,30,5,3,2,2,2
A80 2009/8,8,3,12,6,6,2,4,1,8,3,3,1,0,0
A80 2009/9,14,8,36,18,10,6,10,6,9,5,0,0,2,2
A80 2010/1,70,28,108,41,67,19,54,19,50,17,1,1,10,5
A80 2010/11,28,11,38,16,14,4,18,7,17,6,0,0,3,3
A80 2010/12,11,7,13,9,5,5,9,5,8,4,0,0,0,0
A80 2010/3,4,2,18,6,4,1,0,0,4,2,2,1,0,0
A80 2010/4,10,6,31,13,15,3,5,3,4,3,2,1,6,3
A80 2010/5,7,5,8,6,2,2,2,2,2,2,3,1,3,1
A80 2010/7,15,6,24,11,12,4,10,3,9,3,4,2,6,3
A80 2010/9,18,10,38,18,19,7,11,6,14,7,2,2,0,0
A80 2011/10,2,2,12,7,1,1,1,1,2,2,0,0,0,0
A80 2011/11,60,17,104,34,40,8,33,7,32,6,6,2,11,7
A80 2011/12,38,13,58,24,20,5,30,9,31,10,2,2,7,3
A80 2011/2,12,8,14,9,8,5,10,6,6,5,0,0,1,1
A80 2011/3,4,2,6,4,5,3,4,2,4,2,0,0,0,0
A80 2011/4,3,2,4,3,2,2,0,0,3,2,0,0,0,0
A80 2011/5,4,3,5,4,3,2,3,2,4,3,0,0,0,0
A80 2011/6,14,4,26,10,8,2,12,3,10,3,0,0,4,1
A80 2011/7,20,12,32,19,9,6,12,8,11,6,1,1,7,4
A80 2011/8,4,3,8,4,5,2,1,1,4,3,2,1,0,0
A80 2011/9,2,1,2,1,0,0,0,0,2,1,0,0,0,0
A80 2012/10,56,22,72,30,19,6,40,13,34,9,1,1,13,8
A80 2012/11,9,5,16,12,3,3,3,3,8,4,4,1,1,1
A80 2012/2,19,10,26,14,10,4,12,4,9,5,0,0,9,4
A80 2012/4,48,20,78,35,40,8,39,13,36,13,1,1,10,5
A80 2012/6,26,8,74,16,28,5,5,2,13,5,0,0,11,2
A80 2012/7,11,3,14,6,0,0,4,1,7,2,0,0,4,1
A80 2012/8,13,7,20,12,7,3,10,5,7,3,2,1,2,2
A80 2013/1,7,5,8,6,5,3,5,3,4,2,0,0,1,1
A80 2013/10,38,16,57,24,18,7,22,8,25,9,1,1,8,4
A80 2013/11,18,5,44,19,16,7,19,6,17,5,3,2,0,0
A80 2013/12,12,9,25,20,14,10,14,11,8,5,0,0,2,2
A80 2013/2,5,2,7,4,2,2,5,2,1,1,0,0,4,1
A80 2013/3,51,20,65,30,33,14,39,16,26,9,1,1,12,4
A80 2013/4,82,15,198,36,54,12,78,13,42,10,12,5,40,5
A80 2013/5,15,7,21,11,11,5,12,6,10,4,5,2,1,1
A80 2013/6,2,2,7,4,4,1,0,0,2,2,4,1,0,0
A80 2013/7,33,12,38,17,19,7,20,8,25,6,2,2,4,4
A80 2013/8,6,5,18,9,7,3,3,2,4,3,1,1,2,2
A80 2013/9,20,11,31,14,19,8,8,5,13,6,1,1,2,1
A80 2014/1,3,2,3,2,0,0,2,1,3,2,0,0,0,0
A80 2014/10,26,11,30,14,17,7,18,8,19,6,1,1,2,2
A80 2014/11,22,6,24,7,9,3,13,4,7,3,0,0,8,1
A80 2014/12,26,12,50,24,19,7,17,7,18,6,5,3,7,5
A80 2014/2,3,1,3,1,0,0,3,1,0,0,0,0,3,1
A80 2014/3,2,2,2,2,1,1,1,1,2,2,0,0,0,0
A80 2014/4,86,10,142,16,78,7,58,6,34,5,14,2,40,3
A80 2014/5,14,5,20,8,10,2,10,2,10,2,0,0,3,2
A80 2014/6,12,6,15,9,7,1,9,3,10,4,1,1,2,2
A80 2014/7,14,7,22,12,4,3,10,4,4,3,1,1,5,2
A80 2014/8,54,20,90,41,30,9,24,10,26,9,17,7,13,7
A80 2014/9,85,23,123,42,49,13,51,14,57,13,7,2,13,5
A80 2015/1,14,8,30,16,9,6,2,2,3,3,4,1,9,3
A80 2015/10,31,15,40,21,9,5,17,9,15,9,9,3,13,5
A80 2015/11,90,15,144,30,50,8,68,12,60,8,4,1,18,5
A80 2015/12,21,9,32,17,20,6,18,6,16,5,2,1,2,2
A80 2015/2,7,5,9,7,4,2,3,1,6,4,0,0,1,1
A80 2015/3,69,14,143,32,39,9,38,7,48,8,7,3,19,5
A80 2015/4,26,12,47,21,19,8,21,7,18,7,3,3,7,4
A80 2015/5,4,3,4,3,0,0,3,2,1,1,0,0,2,1
A80 2015/6,15,7,22,12,12,5,10,4,13,5,0,0,1,1
A80 2015/7,74,20,130,43,54,11,41,9,54,13,11,4,19,7
A80 2015/8,20,7,24,11,3,1,10,3,8,4,2,1,12,3
A80 2015/9,69,22,96,39,46,11,50,13,34,7,11,5,15,8
A80 2016/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A80 2016/10,5,4,7,6,3,2,5,4,2,1,0,0,2,2
A80 2016/11,19,11,62,26,15,8,13,7,14,6,2,1,1,1
A80 2016/12,107,27,159,59,34,11,51,14,66,15,9,4,35,10
A80 2016/2,3,3,5,4,2,2,2,2,3,3,0,0,0,0
A80 2016/3,29,11,50,18,16,5,13,4,20,6,3,1,8,4
A80 2016/5,7,4,7,4,3,2,4,3,5,2,1,1,1,1
A80 2016/6,37,12,50,22,20,6,24,6,27,6,3,2,8,4
A80 2016/7,4,3,8,7,3,3,1,1,3,2,0,0,1,1
A80 2016/9,4,4,8,5,2,2,4,4,2,2,1,1,1,1
A80 2017/1,43,12,61,23,30,5,34,8,30,7,4,3,4,4
A80 2017/10,12,5,17,9,8,3,11,4,11,4,0,0,0,0
A80 2017/3,12,3,21,7,6,1,6,1,12,3,4,1,0,0
A80 2017/4,11,6,16,9,6,3,8,4,8,4,0,0,3,2
A80 2017/5,24,9,36,13,17,6,15,5,19,5,4,2,3,2
A80 2017/6,11,6,12,7,3,3,3,3,1,1,0,0,9,4
A80 2017/7,16,5,19,7,10,2,12,4,14,3,0,0,1,1
A80 2017/8,11,5,14,8,5,3,5,3,7,3,0,0,3,1
A80 2017/9,8,4,18,9,7,4,6,3,8,4,0,0,0,0
A80 2018/10,5,2,8,5,5,2,5,2,4,1,0,0,1,1
A80 2018/11,12,6,16,10,8,4,10,4,7,4,0,0,0,0
A80 2018/12,1,1,7,4,0,0,0,0,1,1,0,0,0,0
A80 2018/2,25,12,40,20,18,8,14,7,5,3,2,1,14,5
A80 2018/4,28,7,56,13,16,4,14,3,14,4,2,1,6,2
A80 2018/5,18,9,26,13,15,7,15,7,11,6,2,1,2,1
A80 2018/6,46,12,57,21,9,5,28,7,15,5,19,2,25,5
A80 2018/7,16,10,20,14,10,8,12,8,5,4,5,3,8,4
A80 2018/8,30,9,41,15,5,2,8,4,14,4,2,1,16,5
A80 2018/9,41,13,54,23,22,10,34,10,21,7,7,1,8,2
A80 2019/1,70,9,70,9,32,5,30,5,32,6,4,1,28,2
A80 2019/2,11,7,14,9,9,5,10,6,10,6,0,0,0,0
A80 2019/3,5,3,7,5,1,1,1,1,5,3,0,0,0,0
A80 2019/4,2,2,3,3,1,1,1,1,2,2,0,0,0,0
A80 2019/6,19,9,28,13,10,5,7,4,8,5,2,2,9,4
A80 2019/7,3,2,3,2,2,1,2,1,3,2,0,0,0,0
A90 1999/1,14,8,15,9,3,2,2,1,0,0,8,5,12,7
A90 1999/10,124,41,176,60,74,22,39,13,40,16,63,20,69,23
A90 1999/11,246,68,319,100,134,34,69,19,92,31,104,28,126,33
A90 1999/12,37,20,48,26,13,8,15,5,18,7,13,9,16,11
A90 1999/2,80,37,129,57,60,21,25,11,38,19,43,20,43,19
A90 1999/3,32,10,42,15,14,4,18,5,24,6,16,5,8,4
A90 1999/4,19,12,32,18,17,7,1,1,11,5,11,6,9,6
A90 1999/5,104,38,149,53,50,16,17,5,25,11,30,17,63,24
A90 1999/6,46,18,63,24,38,10,14,5,22,7,18,8,14,8
A90 1999/7,28,9,44,17,22,7,4,2,12,5,8,4,4,2
A90 1999/8,110,47,170,76,88,27,41,12,72,22,72,30,37,24
A90 1999/9,45,24,60,37,19,14,12,7,16,10,30,16,26,13
A90 2000/1,30,15,44,23,12,7,5,3,13,6,12,8,14,7
A90 2000/10,7,4,10,6,1,1,0,0,5,2,6,3,1,1
A90 2000/11,37,18,61,28,37,15,12,5,28,11,29,13,12,7
A90 2000/12,42,25,70,39,35,15,5,4,28,15,17,10,19,11
A90 2000/2,45,19,59,29,22,11,18,6,18,8,28,12,24,10
A90 2000/4,11,8,13,9,3,2,1,1,8,4,3,3,2,2
A90 2000/5,116,39,143,55,61,22,41,10,55,16,64,21,52,20
A90 2000/6,27,16,41,23,19,8,5,4,7,5,19,11,14,8
A90 2000/7,32,16,41,20,17,7,5,2,11,5,23,11,12,6
A90 2000/9,18,12,31,16,11,5,2,1,10,5,14,8,9,6
A90 2001/1,64,27,93,44,34,15,20,5,28,14,33,15,31,13
A90 2001/10,102,42,127,55,52,21,28,15,43,17,55,21,43,20
A90 2001/11,108,35,191,62,88,27,41,11,61,20,73,21,49,16
A90 2001/12,30,7,48,12,16,3,0,0,18,4,30,6,16,4
A90 2001/2,158,32,244,52,106,22,34,7,72,15,74,16,70,15
A90 2001/3,130,49,189,77,75,21,30,10,44,17,54,25,71,26
A90 2001/4,18,12,29,16,16,7,5,2,3,3,6,5,8,6
A90 2001/5,150,49,204,79,68,23,32,10,56,23,62,24,72,25
A90 2001/6,25,16,36,20,16,6,8,5,12,7,16,9,12,8
A90 2001/7,39,24,57,31,26,12,9,7,23,11,22,12,15,12
A90 2001/8,96,39,135,59,61,21,33,11,46,18,39,22,40,16
A90 2001/9,36,23,53,34,27,15,16,7,27,15,13,11,12,8
A90 2002/1,18,14,35,23,17,11,6,5,6,5,12,9,9,7
A90 2002/11,39,18,55,30,25,15,18,9,11,7,26,9,22,7
A90 2002/12,8,7,9,8,3,3,0,0,2,2,5,4,5,4
A90 2002/2,161,67,230,92,103,29,49,17,89,28,78,29,71,33
A90 2002/3,81,39,139,55,71,20,29,10,37,16,33,17,40,20
A90 2002/4,76,31,106,44,49,16,22,10,25,11,40,15,35,15
A90 2002/5,69,23,90,35,16,9,8,5,29,11,24,9,33,10
A90 2002/6,102,19,144,27,28,6,32,4,32,7,66,11,66,10
A90 2002/7,166,60,227,89,100,33,53,17,58,20,69,28,79,31
A90 2002/8,62,26,90,41,36,13,15,4,12,10,28,14,30,13
A90 2002/9,26,15,43,22,17,9,7,4,14,7,14,9,15,8
A90 2003/10,91,37,147,55,73,22,29,14,42,15,44,22,42,19
A90 2003/12,24,14,34,19,22,11,9,6,11,7,8,5,8,4
A90 2003/2,132,30,182,44,78,17,40,7,66,14,60,14,50,14
A90 2003/3,50,26,79,37,24,12,12,7,12,6,22,14,34,15
A90 2003/6,34,22,46,31,18,12,10,6,13,8,14,10,16,11
A90 2003/7,16,4,16,4,6,2,6,2,6,2,12,3,6,1
A90 2003/8,60,22,99,39,42,15,22,6,29,9,32,15,24,9
A90 2004/1,36,14,50,20,16,7,2,1,12,5,26,9,24,9
A90 2004/11,53,27,70,34,28,13,14,6,18,9,20,12,25,12
A90 2004/3,61,33,90,52,31,17,26,9,25,12,15,11,31,16
A90 2004/5,11,7,18,13,5,4,2,1,3,3,2,2,5,2
A90 2004/6,142,50,185,72,72,25,60,14,69,21,90,28,69,27
A90 2004/7,59,21,70,29,20,9,20,7,14,7,9,8,36,12
A90 2004/8,70,20,85,26,32,10,22,5,36,11,29,10,36,10
A90 2004/9,166,41,244,52,96,16,22,6,42,10,90,23,86,20
A90 2005/3,31,15,52,22,14,6,16,5,19,7,15,8,14,9
A90 2005/4,18,8,27,14,13,6,3,1,12,5,12,5,3,2
A90 2005/6,32,19,42,22,20,9,10,6,10,7,11,6,15,9
A90 2005/8,77,28,108,40,51,15,18,6,33,14,56,21,35,14
A90 2005/9,42,18,53,26,14,8,11,4,15,10,22,10,27,8
A90 2006/10,21,13,29,20,12,7,9,4,12,7,15,9,10,7
A90 2006/11,43,28,67,41,35,19,12,7,16,11,24,18,20,13
A90 2006/12,24,14,29,17,14,7,6,5,7,6,14,8,12,7
A90 2006/2,41,21,55,29,28,12,11,3,12,9,27,16,11,9
A90 2006/6,99,35,128,49,74,23,35,11,47,18,38,16,26,13
A90 2006/7,140,35,202,47,100,14,38,12,28,10,44,14,60,18
A90 2006/8,61,30,100,45,49,17,16,10,31,14,28,16,27,14
A90 2006/9,11,9,14,12,3,3,1,1,6,5,6,5,5,4
A90 2007/12,42,22,59,30,36,15,16,8,19,12,30,14,14,9
A90 2007/2,30,16,33,19,7,6,4,4,6,4,16,6,19,8
A90 2007/6,16,11,22,15,6,5,2,2,3,2,5,5,9,6
A90 2008/10,25,14,33,20,13,8,7,4,4,3,15,10,16,8
A90 2008/12,45,20,54,27,23,9,14,5,8,7,16,8,17,7
A90 2008/2,96,35,127,51,64,21,26,9,39,15,46,19,31,18
A90 2008/4,6,5,8,7,3,3,1,1,3,2,6,5,2,2
A90 2008/5,26,10,36,14,15,7,16,5,13,4,4,2,9,3
A90 2009/11,7,5,14,8,0,0,4,2,4,2,0,0,2,2
A90 2009/6,58,12,88,16,36,6,40,6,40,9,6,1,6,1
A90 2009/7,4,3,7,5,2,2,2,2,4,3,0,0,0,0
A90 2009/9,2,2,7,6,3,3,1,1,1,1,0,0,0,0
