,airport_code,year,month,ntsb_incidents,ntsb_accidents,faa_incidents,faa_ntsb_overlap,NTSB_FAA_incidents_total,NTSB_FAA_incidents_total_nodups,ATADS_Tracon_Tower,Airport Operations,Class,DDSO Service Area,Date,Facility,IFR Itinerant	Air Carrier,IFR Itinerant	Air Taxi,IFR Itinerant	General Aviation,IFR Itinerant	Military,IFR Itinerant	Total,IFR Overflight	Air Carrier,IFR Overflight	Air Taxi,IFR Overflight	General Aviation,IFR Overflight	Military,IFR Overflight	Total,Local	Civil,Local	Military,Local	Total,Region,State,Total Operations,Tower Operations,VFR Itinerant	Air Carrier,VFR Itinerant	Air Taxi,VFR Itinerant	General Aviation,VFR Itinerant	Military,VFR Itinerant	Total,VFR Overflight	Air Carrier,VFR Overflight	Air Taxi,VFR Overflight	General Aviation,VFR Overflight	Military,VFR Overflight	Total
50,ATL,1995,1,1.0,0.0,2.0,1,3.0,2.0,Tower,61251.0,Towers with Radar,ES,01/1995,ATL ,45001.0,12257.0,1325.0,142.0,58725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,61251.0,1856.0,369.0,260.0,41.0,2526.0,0.0,0.0,0.0,0.0,0.0
51,ATL,1995,2,0.0,0.0,2.0,0,2.0,2.0,Tower,55934.0,Towers with Radar,ES,02/1995,ATL ,41043.0,11201.0,1433.0,163.0,53840.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,ASO,GA,,55934.0,1442.0,366.0,241.0,41.0,2090.0,0.0,0.0,0.0,0.0,0.0
52,ATL,1995,3,0.0,0.0,1.0,0,1.0,1.0,Tower,63986.0,Towers with Radar,ES,03/1995,ATL ,46651.0,12834.0,1846.0,185.0,61516.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,ASO,GA,,63986.0,1599.0,425.0,389.0,56.0,2469.0,0.0,0.0,0.0,0.0,0.0
53,ATL,1995,4,0.0,0.0,1.0,0,1.0,1.0,Tower,61373.0,Towers with Radar,ES,04/1995,ATL ,44966.0,12061.0,1807.0,154.0,58988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,61373.0,1635.0,477.0,189.0,84.0,2385.0,0.0,0.0,0.0,0.0,0.0
54,ATL,1995,6,0.0,1.0,3.0,0,4.0,4.0,Tower,63677.0,Towers with Radar,ES,06/1995,ATL ,47335.0,12398.0,1946.0,196.0,61875.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,ASO,GA,,63677.0,1161.0,366.0,240.0,33.0,1800.0,0.0,0.0,0.0,0.0,0.0
55,ATL,1995,12,0.0,1.0,1.0,0,2.0,2.0,Tower,67129.0,Towers with Radar,ES,12/1995,ATL ,50494.0,12535.0,1369.0,173.0,64571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,67129.0,1706.0,507.0,292.0,53.0,2558.0,0.0,0.0,0.0,0.0,0.0
56,ATL,1996,1,0.0,0.0,2.0,0,2.0,2.0,Tower,65603.0,Towers with Radar,ES,01/1996,ATL ,49433.0,12101.0,1529.0,176.0,63239.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,ASO,GA,,65603.0,1504.0,557.0,265.0,37.0,2363.0,0.0,0.0,0.0,0.0,0.0
57,ATL,1996,2,0.0,0.0,1.0,0,1.0,1.0,Tower,62342.0,Towers with Radar,ES,02/1996,ATL ,46611.0,11731.0,1659.0,173.0,60174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,62342.0,1354.0,498.0,269.0,47.0,2168.0,0.0,0.0,0.0,0.0,0.0
58,ATL,1996,3,0.0,0.0,1.0,0,1.0,1.0,Tower,68844.0,Towers with Radar,ES,03/1996,ATL ,51656.0,12910.0,1813.0,176.0,66555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,68844.0,1385.0,470.0,383.0,51.0,2289.0,0.0,0.0,0.0,0.0,0.0
59,ATL,1996,5,0.0,0.0,2.0,0,2.0,2.0,Tower,67492.0,Towers with Radar,ES,05/1996,ATL ,50564.0,13084.0,1557.0,184.0,65389.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,ASO,GA,,67492.0,1388.0,359.0,304.0,50.0,2101.0,0.0,0.0,0.0,0.0,0.0
60,ATL,1996,8,0.0,0.0,1.0,0,1.0,1.0,Tower,62238.0,Towers with Radar,ES,08/1996,ATL ,45188.0,12950.0,1556.0,232.0,59926.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,ASO,GA,,62238.0,1527.0,501.0,211.0,71.0,2310.0,0.0,0.0,0.0,0.0,0.0
61,ATL,1996,9,0.0,0.0,1.0,0,1.0,1.0,Tower,58584.0,Towers with Radar,ES,09/1996,ATL ,42581.0,12169.0,1574.0,137.0,56461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,58584.0,1422.0,352.0,303.0,46.0,2123.0,0.0,0.0,0.0,0.0,0.0
62,ATL,1996,10,0.0,0.0,3.0,0,3.0,3.0,Tower,63200.0,Towers with Radar,ES,10/1996,ATL ,45944.0,13054.0,1953.0,132.0,61083.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,ASO,GA,,63200.0,1450.0,326.0,303.0,34.0,2113.0,0.0,0.0,0.0,0.0,0.0
63,ATL,1996,11,0.0,0.0,1.0,0,1.0,1.0,Tower,60425.0,Towers with Radar,ES,11/1996,ATL ,43840.0,11958.0,1872.0,132.0,57802.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,ASO,GA,,60425.0,1657.0,363.0,522.0,45.0,2587.0,0.0,0.0,0.0,0.0,0.0
64,ATL,1996,12,0.0,0.0,1.0,0,1.0,1.0,Tower,61731.0,Towers with Radar,ES,12/1996,ATL ,45931.0,11743.0,1341.0,118.0,59133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,61731.0,1787.0,452.0,322.0,37.0,2598.0,0.0,0.0,0.0,0.0,0.0
65,ATL,1997,1,1.0,0.0,1.0,0,2.0,2.0,Tower,62953.0,Towers with Radar,ES,01/1997,ATL ,46019.0,12892.0,1573.0,134.0,60618.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,ASO,GA,,62953.0,1660.0,348.0,279.0,41.0,2328.0,0.0,0.0,0.0,0.0,0.0
66,ATL,1997,2,1.0,0.0,2.0,1,3.0,2.0,Tower,57885.0,Towers with Radar,ES,02/1997,ATL ,42630.0,11817.0,1584.0,134.0,56165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,57885.0,1122.0,371.0,195.0,32.0,1720.0,0.0,0.0,0.0,0.0,0.0
67,ATL,1997,5,0.0,0.0,2.0,0,2.0,2.0,Tower,66902.0,Towers with Radar,ES,05/1997,ATL ,49055.0,13217.0,1411.0,118.0,63801.0,0.0,0.0,0.0,0.0,0.0,55.0,5.0,60.0,ASO,GA,,66902.0,2073.0,731.0,211.0,26.0,3041.0,0.0,0.0,0.0,0.0,0.0
68,ATL,1997,9,0.0,0.0,1.0,0,1.0,1.0,Tower,66089.0,Towers with Radar,ES,09/1997,ATL ,48801.0,13105.0,1766.0,164.0,63836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,66089.0,1559.0,373.0,274.0,47.0,2253.0,0.0,0.0,0.0,0.0,0.0
69,ATL,1998,11,1.0,1.0,0.0,0,2.0,2.0,Tower,70858.0,Towers with Radar,ES,11/1998,ATL ,51816.0,14195.0,1858.0,204.0,68073.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,49.0,ASO,GA,,70858.0,1591.0,510.0,572.0,63.0,2736.0,0.0,0.0,0.0,0.0,0.0
70,ATL,1999,1,0.0,0.0,2.0,0,2.0,2.0,Tower,72871.0,Towers with Radar,ES,01/1999,ATL ,52744.0,15536.0,1592.0,245.0,70117.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,ASO,GA,,72871.0,1947.0,482.0,265.0,59.0,2753.0,0.0,0.0,0.0,0.0,0.0
71,ATL,1999,7,0.0,0.0,1.0,0,1.0,1.0,Tower,77155.0,Towers with Radar,ES,07/1999,ATL ,56034.0,16544.0,1870.0,268.0,74716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,77155.0,1702.0,409.0,269.0,59.0,2439.0,0.0,0.0,0.0,0.0,0.0
72,ATL,1999,11,0.0,0.0,1.0,0,1.0,1.0,Tower,76180.0,Towers with Radar,ES,11/1999,ATL ,54630.0,16313.0,2211.0,277.0,73431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,76180.0,1586.0,533.0,513.0,117.0,2749.0,0.0,0.0,0.0,0.0,0.0
73,ATL,2000,11,0.0,1.0,0.0,0,1.0,1.0,Tower,74500.0,Towers with Radar,ES,11/2000,ATL ,53522.0,15685.0,1146.0,26.0,70379.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,36.0,ASO,GA,,74500.0,2813.0,1040.0,211.0,21.0,4085.0,0.0,0.0,0.0,0.0,0.0
74,ATL,2000,12,0.0,0.0,2.0,0,2.0,2.0,Tower,72123.0,Towers with Radar,ES,12/2000,ATL ,51593.0,15636.0,919.0,14.0,68162.0,0.0,0.0,0.0,0.0,0.0,74.0,6.0,80.0,ASO,GA,,72123.0,2874.0,815.0,171.0,21.0,3881.0,0.0,0.0,0.0,0.0,0.0
75,ATL,2001,3,0.0,0.0,1.0,0,1.0,1.0,Tower,77493.0,Towers with Radar,ES,03/2001,ATL ,55579.0,18146.0,1042.0,34.0,74801.0,0.0,0.0,0.0,0.0,0.0,85.0,30.0,115.0,ASO,GA,,77493.0,1705.0,676.0,160.0,36.0,2577.0,0.0,0.0,0.0,0.0,0.0
76,ATL,2001,6,1.0,0.0,1.0,1,2.0,1.0,Tower,76050.0,Combined TRACON & Tower with Radar,ES,06/2001,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,34.0,282.0,ASO,GA,,76050.0,59395.0,15329.0,999.0,45.0,75768.0,0.0,0.0,0.0,0.0,0.0
77,ATL,2002,1,0.0,0.0,1.0,0,1.0,1.0,Tower,72546.0,Combined TRACON & Tower with Radar,ES,01/2002,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,85.0,513.0,ASO,GA,,72546.0,53010.0,17487.0,1411.0,125.0,72033.0,0.0,0.0,0.0,0.0,0.0
78,ATL,2002,4,0.0,1.0,0.0,0,1.0,1.0,Tower,76379.0,Combined TRACON & Tower with Radar,ES,04/2002,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,19.0,143.0,ASO,GA,,76379.0,54095.0,19066.0,2755.0,320.0,76236.0,0.0,0.0,0.0,0.0,0.0
79,ATL,2002,5,0.0,1.0,0.0,0,1.0,1.0,Tower,76242.0,Combined TRACON & Tower with Radar,ES,05/2002,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,34.0,ASO,GA,,76242.0,55551.0,19041.0,1458.0,158.0,76208.0,0.0,0.0,0.0,0.0,0.0
80,ATL,2002,6,0.0,1.0,0.0,0,1.0,1.0,Tower,74752.0,Combined TRACON & Tower with Radar,ES,06/2002,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,25.0,94.0,ASO,GA,,74752.0,54318.0,19163.0,1092.0,85.0,74658.0,0.0,0.0,0.0,0.0,0.0
81,ATL,2002,8,0.0,0.0,1.0,0,1.0,1.0,Tower,78639.0,Combined TRACON & Tower with Radar,ES,08/2002,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,19.0,89.0,ASO,GA,,78639.0,56269.0,21158.0,1028.0,95.0,78550.0,0.0,0.0,0.0,0.0,0.0
82,ATL,2003,3,0.0,1.0,0.0,0,1.0,1.0,Tower,75787.0,Combined TRACON & Tower with Radar,ES,03/2003,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,75787.0,55533.0,19130.0,987.0,137.0,75787.0,0.0,0.0,0.0,0.0,0.0
83,ATL,2003,5,0.0,0.0,1.0,0,1.0,1.0,Tower,73894.0,Combined TRACON & Tower with Radar,ES,05/2003,ATL ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ASO,GA,,73894.0,53964.0,18775.0,1048.0,107.0,73894.0,0.0,0.0,0.0,0.0,0.0
