Acronym,acronym,Fullform6,link4
ARRS,arrs,Aircraft refueling and rearming studies,https://acronyms.thefreedictionary.com/ARRS
DSNT,dsnt,Distant,http://www.moratech.com/aviation/metaf-abbrev.html
LNAV,lnav,Lateral navigation,https://en.wikipedia.org/wiki/LNAV
CTLED,ctled,Candidate Target list,https://www.allacronyms.com/CTL
ZDC,zdc,Washington centre,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
INBND,inbnd,Inbound,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
EGT,egt,Exhaust gas temperature,https://official.bankspower.com/tech_article/why-egt-is-important/
TSTM,tstm,thunderstorm,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ZNY,zny,New York ARTCC,https://www.fly.faa.gov/Products/Glossary_of_Terms/glossary_of_terms.html
PITOT,pitot,Total pressure,http://www.thermopedia.com/content/1032/
ZLA,zla,Los Angeles ARTCC,https://www.fly.faa.gov/Products/Glossary_of_Terms/glossary_of_terms.html
FSDO,fsdo,Flight standards district office,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
HORIZ,horiz,Horizontal,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ARSA,arsa,Airport radar service area,https://www.gofir.com/aviation_acronyms.htm
ARTCC,artcc,Air Route Traffic Control Centre,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
CARB,carb,Carburetor,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ZTL,ztl,Atlanta Center,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
FE,fe,Flight engineer,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
PFD,pfd,Primary flight display,https://www.gofir.com/aviation_acronyms.htm
SPDS,spds,Secondary power distribution system,https://www.gofir.com/aviation_acronyms.htm
ZJX,zjx,Jacksonville center,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
ZOB,zob,Cleveland center,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
AFB,afb,Airforce base,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ZID,zid,Indianapolis center,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
REGS,regs,Regulations,https://en.wikipedia.org/wiki/Federal_Aviation_Regulations
ZAU,zau,Chicago ARTCC,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ZOA,zoa,Oakland ARTCC,https://www.fly.faa.gov/Products/Glossary_of_Terms/glossary_of_terms.html
ZMA,zma,Miami ARTCC,https://www.fly.faa.gov/Products/Glossary_of_Terms/glossary_of_terms.html
AWOS,awos,Automated weather observation system,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
WKS,wks,Week,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
FGT,fgt,Aero freight,https://www.allacronyms.com/FGT
ASOS,asos,Automated surface observation system,
DEVS,devs,Domain executive view,https://www.allacronyms.com/DEV/aviation
ZDV,zdv,Denver center,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
XY,xy,NAS express,https://planefinder.net/data/airline/XY
WO,wo,World airways,https://www.gofir.com/aviation_abbreviations.htm#sectW
VASI,vasi,Visual approach slope indicator,https://en.wikipedia.org/wiki/Visual_approach_slope_indicator
HDGS,hdgs,Heading,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
NMAC,nmac,Near midair collision,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ZKC,zkc,Kashechewan Airport,https://en.wikipedia.org/wiki/Kashechewan_Airport
ZME,zme,Memphis,https://www.radioreference.com/apps/db/?aid=2233
ZAB,zab,Albuquerque air traffic control center,https://wiki.radioreference.com/index.php/Albuquerque_(ZAB)_Air_Route_Traffic_Control_Center
LEAR,lear,Learjet,https://en.wikipedia.org/wiki/Learjet
ARFF,arff,Aircraft rescue and fire fighting,https://www.faa.gov/airports/airport_safety/aircraft_rescue_fire_fighting/
SVCS,svcs,Service,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
LORAN,loran,Long range navigation,https://en.wikipedia.org/wiki/LORAN
VSI,vsi,Vertical speed indicator,https://www.boldmethod.com/learn-to-fly/aircraft-systems/how-does-a-vsi-work/
TKOFS,tkofs,Takeoff,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
ZBW,zbw,Boston center,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
RJ,rj,Regional jet,https://en.wikipedia.org/wiki/Regional_jet
RTES,rtes,Realtime engineering simulation,https://books.google.com/books?id=5MywDwAAQBAJ&pg=PT386&lpg=PT386&dq=rtes+aviation&source=bl&ots=tbuyRhojSF&sig=ACfU3U1Jun7nMvLc0uh7HvEAeETZ2q_ppw&hl=en&ppis=_c&sa=X&ved=2ahUKEwjr_YaDn_PmAhUPHzQIHSKTCpkQ6AEwCnoECAgQAQ#v=onepage&q=rtes%20aviation&f=false
RVSM,rvsm,Reduced vertical seperation minimum,https://www.faa.gov/air_traffic/separation_standards/rvsm/
FMGC,fmgc,Flight Management guidance computer,https://www.allacronyms.com/FMGC/aviation
PAPI,papi,Precision approach path indiactor,https://en.wikipedia.org/wiki/Precision_approach_path_indicator
TX,tx,Indicator for maximum temperature,https://www.allacronyms.com/TX/aviation
NASA,nasa,National aeronautics and space administration,https://www.allacronyms.com/NASA
SM,sm,Statue mile,https://www.thebalancecareers.com/nautical-miles-vs-statute-miles-282937
XFER,xfer,Transfer,https://www.allacronyms.com/XFER/Aviation
ZHU,zhu,Houston ARTCC,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
XMIT,xmit,Transmit,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
PIREP,pirep,Pilot report,https://www.skybrary.aero/index.php/Pilot_Report_(PIREP)
EFIS,efis,Electronic flight instrument system,https://www.skybrary.aero/index.php/Electronic_Flight_Instrument_System
ZMP,zmp,Minneapolis center,https://nbaa.org/aircraft-operations/airspace/tfm/glossary-of-traffic-flow-management-terms/
VREF,vref,Approach reference speed,https://www.allacronyms.com/VREF
ZLC,zlc,Salt lake city ARTCC,https://en.wikipedia.org/wiki/Salt_Lake_City_Air_Route_Traffic_Control_Center
ATCT,atct,Air traffic control tower,https://www.allacronyms.com/ATCT
MCDU,mcdu,Multifunction control and display unit,https://aerospace.honeywell.com/en/learn/products/cockpit-systems-and-displays/multi-function-control-and-display-unit
DG,dg,Directional gyro,https://en.wikipedia.org/wiki/Heading_indicator
RII,rii,Required inspection items,http://fsims.faa.gov/wdocs/dct/atos%20element%20performance%20inspection%20(epi)/1.0%20aircraft%20configuration%20control/1.3%20maintenance%20organization/epi_1_3_4_a_v1_072709.htm
EL,el,El Al†Israel Airlines Ltd,https://en.wikipedia.org/wiki/El_Al
TWRS,twrs,Tower,https://www.allacronyms.com/TWR
ND,nd,Navigation display,https://en.wikipedia.org/wiki/Acronyms_and_abbreviations_in_avionics#N
VR,vr,Rotation Speed,https://www.skybrary.aero/index.php/Rotation_Speed_(Vr)
CTRED,ctred,Control traffic zone,https://en.wikipedia.org/wiki/Control_zone
VORS,vors,VHF omnidirectional radio range,https://www.skybrary.aero/index.php/VHF_Omnidirectional_Radio_Range_(VOR)
HELIS,helis,Helis aviation,https://heliaf.com/
GNDED,gnded,Grounded,http://www.37000feet.com/report/604027/C182-was-discovered-to-have-an-airworthiness-directive-not-accomplished-and
YY,yy,Virgin wings,https://airportdatabase.net/germany/virginwings-yy-airline_A13690.html
QRC,qrc,Quick reaction capability,https://www.northropgrumman.com/AboutUs/BusinessSectors/TechnicalServices/Documents/Quick_Reaction_Capability.pdf
ASRS,asrs,Aviation safety reporting system,https://asrs.arc.nasa.gov/
PAXS,paxs,passengers,https://aviation.stackexchange.com/questions/25162/what-is-the-origin-of-the-term-pax
SIDS,sids,https://www.skybrary.aero/index.php/SIDs_and_STARs,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
GPU,gpu,Ground power unit,https://www.skybrary.aero/index.php/Ground_Power_Unit_(GPU)
PWRED,pwred,power,https://www.airlinepilot.life/t/the-key-differences-between-c-f-i-c-f-i-i-m-e-i/1936
CFII,cfii,Certified flight instructor instrument,https://www.airlinepilot.life/t/the-key-differences-between-c-f-i-c-f-i-i-m-e-i/1936
ABCD,abcd,Airspace class,https://en.wikipedia.org/wiki/Airspace_class_(United_States)
SVFR,svfr,Special visual flight rules,https://en.wikipedia.org/wiki/Special_visual_flight_rules
EBND,ebnd,East bound,http://www.moratech.com/aviation/metaf-abbrev.html
NORDO,nordo,No Radio,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
VA,va,Volcanic ash,http://www.moratech.com/aviation/metaf-abbrev.html
RENO,reno,Tahoe international airport,https://en.wikipedia.org/wiki/Reno%E2%80%93Tahoe_International_Airport
JUAN,juan,Seaborne Airlines,https://en.wikipedia.org/wiki/Seaborne_Airlines
IMBAL,imbal,Imbalance,http://www.boeing.com/commercial/aeromagazine/aero_09/fuel_textonly.html
XA,xa,Experimental advanced,https://www.allacronyms.com/XA/2
FDC,fdc,Flight data center,https://www.thebalancecareers.com/what-is-a-notam-282687
CAVU,cavu,Ceiling and visibilty unlimited,https://en.wikipedia.org/wiki/US_Aviation_CAVU
MD,md,Air madagascar,https://en.wikipedia.org/wiki/MD
SBND,sbnd,South bound,http://www.moratech.com/aviation/metaf-abbrev.html
LIMA,lima,Light mobillity aircraft,https://acronyms.thefreedictionary.com/LIMA
LOUIS,louis,Louis aviation,https://louisgroup.com/companies/louis-aviation
NJ,nj,New jersey,
MVFR,mvfr,Marginal visual flight rules,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
FLCS,flcs,Flight control system,http://www.f-16.net/glossary-F.html
HDOFS,hdofs,Handoffs,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
OJT,ojt,On the job training,https://www.faa.gov/regulations_policies/orders_notices/index.cfm/go/document.information/documentID/7742
AUTHS,auths,Authority,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
URET,uret,User request evaluation tool,https://www.allacronyms.com/URET
GPH,gph,Gallons per hour,https://www.allacronyms.com/GPH/aviation
LC,lc,Local control,https://asrs.arc.nasa.gov/docs/dbol/ASRS_Abbreviations.pdf
TRNEE,trnee,Trainee,
ZAN,zan,Anchorage ARTCC,https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/air_traffic_services/artcc/anchorage/
WA,wa,Washington,http://www.moratech.com/aviation/metaf-abbrev.html
UCR,ucr,ULD control receipt,https://centreforaviation.com/about/glossary
EGLIN,eglin,Fort Walton Beach Airport,https://en.wikipedia.org/wiki/Destin%E2%80%93Fort_Walton_Beach_Airport
RECHK,rechk,Recheck,https://books.google.com/books?id=BH0nkNRs22AC&pg=PA21&lpg=PA21&dq=rechk+full+form+aviation&source=bl&ots=ZlpqnNzBtg&sig=ACfU3U34n9Xj7gG1AoApls6V0wX7UN8wyQ&hl=en&sa=X&ved=2ahUKEwiR9dyI9fTmAhWFMX0KHWkBB1IQ6AEwDXoECAYQAQ#v=onepage&q=rechk%20full%20form%20aviation&f=false
IL,il,Illinois,http://www.moratech.com/aviation/metaf-abbrev.html
MELS,mels,Minimum Equipment list,https://www.skybrary.aero/index.php/Minimum_Equipment_List_(MEL)
