Acronym,acronym,Fullform4,Fullform5,Fullform6,link2
ALA,ala,Aircraft Landing Area,Alighting area,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALA/HLS,ala/hls,Aircraft Landing Area/Helicopter Landing Site,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALAEA,alaea,Australian Licensed Aircraft Engineers Association,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALARP,alarp,As Low as Reasonably Practical,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALERFA,alerfa,Alert phase,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALI,ali,Airworthiness Limitation Item,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALM,alm,Aircraft Landing Minima,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALR,alr,Alerting Message,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALRS,alrs,Approach lighting system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALS,als,Approach Lighting System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALT,alt,Altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ALTN,altn,"Alternate, Alternating (light alternates in colour)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMA,ama,Area minimum altitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMC,amc,Acceptable Means of Compliance,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMD,amd,"Amend, Amended",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMDT,amdt,Amendment (AIP amendment),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AME,ame,Aircraft Maintenance Engineer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMM,amm,Aircraft Maintenance Manual,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMO,amo,Approved Maintenance Organisation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMP,amp,Aircraft Maintenance Program,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMPA,ampa,Authorised Maintenance Personnel Assessor,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMRD,amrd,Australian Maintenance Requirements Document,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMS,ams,Aircraft Maintenance Specialist,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMSA,amsa,Australian Maritime Safety Authority,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMSL,amsl,Above Mean Sea Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMSS,amss,Aeronautical mobile satellite service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AMT,amt,Aircraft Maintenance Technician,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ANA,ana,Air Navigation Act,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ANC,anc,"Aeronautical Chart 1:50,000 (followed by name/title)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ANCS,ancs,Aeronautical navigation chart - small scale (followed by name/title and scale),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ANO,ano,Air Navigation Order,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ANS,ans,Answer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ANTA,anta,Australian National Training Authority,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ANVIS,anvis,Aviator Night Vision Imaging Systems,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AO,ao,Air Operator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AOC,aoc,Air Operators Certificate,Aerodrome Obstacle Chart,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AOCM,aocm,Air Operators Certification Manual,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AOD,aod,Alcohol and Other Drug,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AOG,aog,Aircraft On Ground,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AOPA,aopa,Aircraft Owners and Pilots Association,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AP,ap,Airport,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APAPI,apapi,Abbreviated Precision Approach Path Indicator (pronounced 'AY-PAPI'),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APCH,apch,Approach,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APDC,apdc,Aircraft Parking/Docking Chart (followed by name/title),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APF,apf,Australian Parachute Federation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APMA,apma,Australian Parts Manufacturer Approval,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APN,apn,Apron,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APP,app,Approach Control,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APRX,aprx,"Approximate, Approximately",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APSG,apsg,After Passing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APU,apu,Auxillary power unit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
APV,apv,Approach with Vertical Guidance,"Approve, Approved, Approval",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AQZ,aqz,Area QNH Zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARC,arc,Area Chart,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARFFS,arffs,Aerodrome Rescue and Fire Fighting Service (sometimes referred to as RFFS),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARFL,arfl,Aeroplane Reference Field Length,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARFO,arfo,Area Forecast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARH,arh,Aircraft Registration Holder,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARM,arm,Airspace Risk Model,Aircraft Recovery Manual,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARN,arn,Aviation Reference Number,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARNG,arng,Arrange,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARO,aro,Air traffic services reporting office,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AROC,aroc,Aircraft radio operator certificate,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARP,arp,Aerodrome reference point,Air-Report ,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARQ,arq,Automatic error correction,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARR,arr,"Arrive, Arrival",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARS,ars,Special Air-Report (message type designator),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ARST,arst,Arresting (specify (part of) aircraft arresting equipment),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AS,as,Altostratus (meteorological),Australian Standard,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASA,asa,Australian Skydiving Association,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASAC,asac,Australian Sports Aviation Confederation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASAP,asap,As Soon as Possible,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASC,asc,Ascend to or ascending,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASDA,asda,Accelerate-stop distance available,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASE,ase,Airborne Support Equipment,Altimetry System Error,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASEPTA,asepta,Approved Single-engine Turbine Aeroplane,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASF,asf,Aviation Safety Forum,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASH,ash,Aviation Services Handbook,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASI,asi,Air Speed Indicator,Aviation Safety Index,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASIR,asir,Aviation Safety Incident Report,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASPH,asph,Asphalt,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASR,asr,Area Surveillance Radar,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASRA,asra,Australian Sport Rotorcraft Association,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASSI,assi,Air Safety Support International- a wholly-owned subsidiary of the UK Civil Aviation Authority,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASTM,astm,American Society for Testing Materials,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ASTRA,astra,Australian Strategic Air Traffic Management Group,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AT-VASIS,at-vasis,Abbreviated 'T' Visual Approach Slope Indicator System (pronounced             'AY-TEE-VASIS'),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AT...,at...,At (followed by time at which weather change is forecast to occur),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATA,ata,Actual Time of Arrival,Air Transport Association,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATC,atc,Air Traffic Control (in general),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATD,atd,Actual Time of Departure,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATE,ate,Automatic Test Equipment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATEL/ANAV,atel/anav,Aeronautical Telecommunication and Radio Navigation Services,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATFM,atfm,Air Traffic Flow Management,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATIS,atis,Automatic terminal information service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATM,atm,Air traffic management,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATN,atn,Aeronautical telecommunications network,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATO,ato,Aviation Testing Officer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATP,atp,At.. (time or place),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATPL,atpl,Airline Transport Pilot Licence,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATS,ats,Air Traffic Service(s),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATSB,atsb,Australian Transport Safety Bureau,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATSO,atso,Australian Technical Standard Order,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATSOA,atsoa,Australian Technical Standard Order Authorisation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATTN,attn,Attention,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ATZ,atz,Aerodrome traffic zone,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AUF,auf,Australian Ultralight Federation (now Recreational Aviation Australia),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AUTH,auth,"Authorised, Authorisation",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AUW,auw,All Up Weight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AUX,aux,Auxiliary,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AVBL,avbl,Available,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AVG,avg,Average,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AVGAS,avgas,Aviation Gasoline,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AVM,avm,Abrupt Vertical Manoeuvres (by the MIL),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AWB,awb,Airworthiness Bulletin,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AWIB,awib,Aerodrome Weather Information Broadcast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AWK,awk,Aerial Work (Air work - general aviation),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AWO,awo,Aerial work operation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AWS,aws,Automatic Weather Station,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AWTA,awta,Advise as to what time is available,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AWY,awy,Airway,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
AZM,azm,Azimuth,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
B,b,Blue,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BA,ba,Braking action,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BAK,bak,Basic aeronautical knowledge,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BASA,basa,Bilateral Aviation Safety Agreement,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BASE,base,Cloud Base (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BCFG,bcfg,Fog Patches (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BCN,bcn,Beacon (aeronautical ground light),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BCST,bcst,Broadcast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BDRY,bdry,Boundary,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BECMG,becmg,Becoming,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BETA,beta,Manually controlled mode for constant speed propellers or turbo prop aircraft,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BFR,bfr,Before,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BIP-M,bip-m,Basic Instruction Package for Meteorologists,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BIPMT,bipmt,Basic Instruction Package for Meteorological Technicians,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BITE,bite,Built In Test Equipment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BKN,bkn,Broken (cloud descriptor) (met),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BL...,bl...,"Blowing (followed by DU=dust, SA=sand or SN=snow)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BLDG,bldg,Building,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BLO,blo,Below Clouds,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BLW,blw,Below,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BOM,bom,Bureau of Meteorology,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BOMB,bomb,Bombing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BR,br,Mist,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BRF,brf,Short (used to indicate type of approach),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BRG,brg,Bearing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BRKG,brkg,Braking,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
BRW,brw,Brakes release weight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
