Acronym,acronym,Fullform5,link3
ABK,abk,Kabri Dar Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABL,abl,Ambler Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABM,abm,Northern Peninsula Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABN,abn,Albina Airstrip,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABO,abo,Aboisso Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABP,abp,Atkamba Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABQ,abq,Albuquerque International Sunport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABR,abr,Aberdeen Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABS,abs,Abu Simbel Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABT,abt,Al-Baha Domestic Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABU,abu,Haliwen Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABV,abv,Nnamdi Azikiwe International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABW,abw,Abau Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABX,abx,Albury Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABY,aby,Southwest Georgia Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ABZ,abz,Aberdeen Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACA,aca,General Juan N. Álvarez International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACB,acb,Antrim County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACC,acc,Kotoka International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACD,acd,Alcides Fernández Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACE,ace,Lanzarote Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACH,ach,St. Gallen–Altenrhein Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACI,aci,Alderney Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACJ,acj,Anuradhapura Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACK,ack,Nantucket Memorial Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACL,acl,Aguaclara Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACM,acm,Arica Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACN,acn,Ciudad Acuña International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACP,acp,Sahand Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACR,acr,Araracuara Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACS,acs,Achinsk Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACT,act,Waco Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACU,acu,Achutupo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACV,acv,Arcata-Eureka Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACX,acx,Xingyi Wanfenglin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACY,acy,Atlantic City International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ACZ,acz,Zabol Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADA,ada,Adana ?akirpa?a Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADB,adb,Adnan Menderes Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADC,adc,Andakombe Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADD,add,Bole International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADE,ade,Aden International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADF,adf,Ad?yaman Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADG,adg,Lenawee County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADH,adh,Aldan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADI,adi,Arandis Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADJ,adj,Amman Civil Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADK,adk,Adak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADL,adl,Adelaide Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADM,adm,Ardmore Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADN,adn,Andes Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADO,ado,Andamooka Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADP,adp,Ampara Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADQ,adq,Kodiak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADR,adr,Robert F. Swinnie Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADS,ads,Addison Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADT,adt,Ada Municipal Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADU,adu,Ardabil Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADV,adv,Ed Daein Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADW,adw,Andrews Field ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADX,adx,RAF Leuchars,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADY,ady,Alldays Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ADZ,adz,Gustavo Rojas Pinilla International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEA,aea,Abemama Atoll Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEB,aeb,Baise Bama Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEE,aee,Adareil Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEG,aeg,Aek Godang Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEH,aeh,Abéché Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEK,aek,Aseki Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEL,ael,Albert Lea Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEM,aem,Amgu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEO,aeo,Aioun el Atrouss Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEP,aep,Jorge Newbery Airpark,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEQ,aeq,Ar Horqin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AER,aer,Sochi International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AES,aes,"Ålesund Airport, Vigra",https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AET,aet,Allakaket Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEU,aeu,Abu Musa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEX,aex,Alexandria International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AEY,aey,Akureyri Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFA,afa,San Rafael Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFD,afd,Port Alfred Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFF,aff,United States Air Force Academy Airfield,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFI,afi,Amalfi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFK,afk,Kondavattavan Tank Seaplane Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFL,afl,Alta Floresta Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFN,afn,Jaffrey Airport–Silver Ranch,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFO,afo,Afton Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFR,afr,Afore Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFS,afs,Zarafshan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFT,aft,Afutara Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFW,afw,Fort Worth Alliance Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFY,afy,Afyon Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AFZ,afz,Sabzevar Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGA,aga,Agadir–Al Massira Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGB,agb,Augsburg Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGC,agc,Allegheny County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGD,agd,Anggi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGE,age,Wangerooge Airfield,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGF,agf,Agen La Garenne Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGG,agg,Angoram Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGH,agh,Ängelholm–Helsingborg Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGI,agi,Wageningen Airstrip,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGJ,agj,Aguni Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGK,agk,Kagua Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGL,agl,Wanigela Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGN,agn,Angoon Seaplane Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGO,ago,Magnolia Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGP,agp,Málaga Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGQ,agq,Agrinion Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGR,agr,Agra Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGS,ags,Augusta Regional Airport at Bush Field,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGT,agt,Guaraní International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGU,agu,Lic. Jesús Terán Peredo International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGV,agv,Oswaldo Guevara Mujica Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGW,agw,Agnew Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGX,agx,Agatti Aerodrome,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AGZ,agz,Aggeneys Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHB,ahb,Abha Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHC,ahc,Amedee Army Airfield,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHD,ahd,Ardmore Downtown Executive Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHE,ahe,Ahe Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHF,ahf,Arapahoe Municipal Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHH,ahh,Amery Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHI,ahi,Amahai Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHJ,ahj,Hongyuan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHL,ahl,Aishalton Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHM,ahm,Ashland Municipal Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHN,ahn,Athens Ben Epps Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHO,aho,Alghero-Fertilia Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHS,ahs,Ahuas Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHU,ahu,Cherif Al Idrissi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHW,ahw,Saih Rawl Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHY,ahy,Ambatolahy Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AHZ,ahz,Alpe d'Huez Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIA,aia,Alliance Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIC,aic,Ailinglaplap Airok Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AID,aid,Anderson Municipal Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIE,aie,Aiome Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIF,aif,Assis Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIG,aig,Yalinga Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIH,aih,Aiambak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AII,aii,Ali-Sabieh Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIK,aik,Aiken Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIL,ail,Ailigandí Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIM,aim,Ailuk Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIN,ain,Wainwright Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIO,aio,Atlantic Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIR,air,Aripuanã Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIS,ais,Arorae Island Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIT,ait,Aitutaki Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIU,aiu,Enua Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIV,aiv,George Downer Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIW,aiw,Ai-Ais Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIY,aiy,Atlantic City Municipal Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AIZ,aiz,Lee C. Fine Memorial Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJA,aja,Ajaccio Napoleon Bonaparte Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJF,ajf,Al-Jawf Domestic Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJI,aji,A?r? Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJJ,ajj,Akjoujt Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJK,ajk,Arak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJL,ajl,Lengpui Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJN,ajn,Ouani Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJR,ajr,Arvidsjaur Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJS,ajs,Punta Abreojos Airstrip,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJU,aju,Santa Maria Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AJY,ajy,Mano Dayak International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKA,aka,Ankang Wulipu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKB,akb,Atka Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKC,akc,Akron Fulton International Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKD,akd,Akola Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKE,ake,Akieni Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKF,akf,Kufra Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKG,akg,Anguganak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKH,akh,Prince Sultan Air Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKI,aki,Akiak Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKJ,akj,Asahikawa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKK,akk,Akhiok Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKL,akl,Auckland Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKM,akm,Zakouma Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKN,akn,King Salmon Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKO,ako,Colorado Plains Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKP,akp,Anaktuvuk Pass Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKQ,akq,Gunung Batin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKR,akr,Akure Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKS,aks,Auki Gwaunaru'u Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKT,akt,RAF Akrotiri,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKU,aku,Aksu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKV,akv,Akulivik Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKW,akw,Aghajari Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKX,akx,Aktobe Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
AKY,aky,Sittwe Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALA,ala,Almaty International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALB,alb,Albany International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALC,alc,Alicante–Elche Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALD,ald,Alerta Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALE,ale,Alpine–Casparis Municipal Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALF,alf,Alta Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALG,alg,Houari Boumediene Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALH,alh,Albany Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALI,ali,Alice International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALJ,alj,Alexander Bay Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALK,alk,Asella Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALL,all,Albenga Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALM,alm,Alamogordo–White Sands Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALN,aln,St. Louis Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALO,alo,Waterloo Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALP,alp,Aleppo International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALQ,alq,Alegrete Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALR,alr,Alexandra Aerodrome,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALS,als,San Luis Valley Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALT,alt,Alenquer Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALU,alu,Alula Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALW,alw,Walla Walla Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
ALX,alx,Thomas C. Russell Field,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
