,0,abrev,tag,casa_fullform,faa_fullform,iata_fullform,nasa_fullform,hand_fullform2,add_to_realworld_dictionary,add_to_airport,mispelled_word_fix
te,142,1,neg_nonword,,,,,,,,
lynsy,141,1,neg_nonword,,,,,,,,
beechcraft,140,1,neg_nonword,,,,,,,,
sebound,139,1,neg_nonword,,,,,,,,
toronto,137,1,neg_nonword,,,,,,,,
inflight,135,1,neg_nonword,,,,,,,,
ftg,134,1,neg_nonword,,,,,,,,
rerte,133,1,neg_nonword,,,,,,,,
misinterp,132,1,neg_nonword,,,,,,,,
fokker,130,1,neg_nonword,,,,,,,,
downdrafts,129,1,neg_nonword,,,,,,,,
callsign,128,1,neg_nonword,,,,,,,,
arthur,128,1,neg_nonword,,,,,,,,
unidented,126,1,neg_nonword,,,,,,,,
undercast,126,1,neg_nonword,,,,,,,,
radome,126,1,neg_nonword,,,,,,,,
westchester,126,1,neg_nonword,,,,,,,,
swbound,126,1,neg_nonword,,,,,,,,
carlos,125,1,neg_nonword,,,,,,,,
backgnd,124,1,neg_nonword,,,,,,,,
boach,123,1,neg_nonword,,,,,,,,
sunol,122,1,neg_nonword,,,,,,,,
pxt,122,1,neg_nonword,,,,,,,,
morristown,121,1,neg_nonword,,,,,,,,
fmg,121,1,neg_nonword,,,,,,,,
qfe,121,1,neg_nonword,,,,,,,,
facs,121,1,neg_nonword,,,,,,,,
fim,121,1,neg_nonword,,,,,,,,
hawthorne,120,1,neg_nonword,,,,,,,,
hunda,120,1,neg_nonword,,,,,,,,
misset,120,1,neg_nonword,,,,,,,,
cancelling,120,1,neg_nonword,,,,,,,,
konzl,119,1,neg_nonword,,,,,,,,
barin,118,1,neg_nonword,,,,,,,,
hearback,118,1,neg_nonword,,,,,,,,
lav,118,1,neg_nonword,,,,,,,,
spanish,117,1,neg_nonword,,,,,,,,
jumpseater,117,1,neg_nonword,,,,,,,,
aero,117,1,neg_nonword,,,,,,,,
navajo,117,1,neg_nonword,,,,,,,,
barbara,117,1,neg_nonword,,,,,,,,
eldee,117,1,neg_nonword,,,,,,,,
cgx,116,1,neg_nonword,,,,,,,,
canadair,116,1,neg_nonword,,,,,,,,
moffett,116,1,neg_nonword,,,,,,,,
crewmembers,114,1,neg_nonword,,,,,,,,
korry,112,1,neg_nonword,,,,,,,,
sunday,111,1,neg_nonword,,,,,,,,
overtemp,111,1,neg_nonword,,,,,,,,
reversers,111,1,neg_nonword,,,,,,,,
omn,110,1,neg_nonword,,,,,,,,
online,109,1,neg_nonword,,,,,,,,
bc,109,1,neg_nonword,,,,,,,,
london,108,1,neg_nonword,,,,,,,,
gorman,107,1,neg_nonword,,,,,,,,
unforecast,107,1,neg_nonword,,,,,,,,
ehsi,106,1,neg_nonword,,,,,,,,
ky,106,1,neg_nonword,,,,,,,,
pevee,105,1,neg_nonword,,,,,,,,
jetway,105,1,neg_nonword,,,,,,,,
wv,105,1,neg_nonword,,,,,,,,
canadian,105,1,neg_nonword,,,,,,,,
petis,105,1,neg_nonword,,,,,,,,
aaces,104,1,neg_nonword,,,,,,,,
acrs,104,1,neg_nonword,,,,,,,,
inattn,104,1,neg_nonword,,,,,,,,
nbnd,104,1,neg_nonword,,,,,,,,
idents,103,1,neg_nonword,,,,,,,,
wi,103,1,neg_nonword,,,,,,,,
addison,102,1,neg_nonword,,,,,,,,
preflted,101,1,neg_nonword,,,,,,,,
autobrakes,101,1,neg_nonword,,,,,,,,
ar,100,1,neg_nonword,,,,,,,,
sanford,100,1,neg_nonword,,,,,,,,
autoflight,100,1,neg_nonword,,,,,,,,
autoplts,100,1,neg_nonword,,,,,,,,
greer,99,1,neg_nonword,,,,,,,,
altdevs,99,1,neg_nonword,,,,,,,,
smyrna,98,1,neg_nonword,,,,,,,,
wbnd,98,1,neg_nonword,,,,,,,,
seatac,98,1,neg_nonword,,,,,,,,
sxc,97,1,neg_nonword,,,,,,,,
morse,97,1,neg_nonword,,,,,,,,
rptrs,97,1,neg_nonword,,,,,,,,
terpz,96,1,neg_nonword,,,,,,,,
gary,95,1,neg_nonword,,,,,,,,
islip,95,1,neg_nonword,,,,,,,,
menlo,95,1,neg_nonword,,,,,,,,
airspds,95,1,neg_nonword,,,,,,,,
clrd,94,1,neg_nonword,,,,,,,,
maui,94,1,neg_nonword,,,,,,,,
geu,92,1,neg_nonword,,,,,,,,
deadheading,92,1,neg_nonword,,,,,,,,
gramm,92,1,neg_nonword,,,,,,,,
misidented,91,1,neg_nonword,,,,,,,,
olympia,91,1,neg_nonword,,,,,,,,
meacham,91,1,neg_nonword,,,,,,,,
macdill,91,1,neg_nonword,,,,,,,,
tcasi,91,1,neg_nonword,,,,,,,,
gillespie,91,1,neg_nonword,,,,,,,,
flameout,90,1,neg_nonword,,,,,,,,
stewart,89,1,neg_nonword,,,,,,,,
bremr,88,1,neg_nonword,,,,,,,,
mn,88,1,neg_nonword,,,,,,,,
odp,88,1,neg_nonword,,,,,,,,
handoffs,88,1,neg_nonword,,,,,,,,
tipp,88,1,neg_nonword,,,,,,,,
minima,87,1,neg_nonword,,,,,,,,
musel,87,1,neg_nonword,,,,,,,,
canada,87,1,neg_nonword,,,,,,,,
roanoke,87,1,neg_nonword,,,,,,,,
misinterped,87,1,neg_nonword,,,,,,,,
kalamazoo,86,1,neg_nonword,,,,,,,,
friday,86,1,neg_nonword,,,,,,,,
armel,86,1,neg_nonword,,,,,,,,
eagul,86,1,neg_nonword,,,,,,,,
coney,86,1,neg_nonword,,,,,,,,
klide,86,1,neg_nonword,,,,,,,,
recleared,86,1,neg_nonword,,,,,,,,
palomar,85,1,neg_nonword,,,,,,,,
frederick,85,1,neg_nonword,,,,,,,,
ogden,85,1,neg_nonword,,,,,,,,
brezy,85,1,neg_nonword,,,,,,,,
sa,84,1,neg_nonword,,,,,,,,
nwbnd,84,1,neg_nonword,,,,,,,,
tasca,84,1,neg_nonword,,,,,,,,
lakefront,84,1,neg_nonword,,,,,,,,
bizjet,84,1,neg_nonword,,,,,,,,
ellsworth,83,1,neg_nonword,,,,,,,,
jammn,83,1,neg_nonword,,,,,,,,
interped,83,1,neg_nonword,,,,,,,,
aztec,82,1,neg_nonword,,,,,,,,
fcp,82,1,neg_nonword,,,,,,,,
honeywell,82,1,neg_nonword,,,,,,,,
tralr,81,1,neg_nonword,,,,,,,,
erie,81,1,neg_nonword,,,,,,,,
pfn,81,1,neg_nonword,,,,,,,,
maspeth,81,1,neg_nonword,,,,,,,,
wnw,80,1,neg_nonword,,,,,,,,
hyds,80,1,neg_nonword,,,,,,,,
jaike,79,1,neg_nonword,,,,,,,,
tv,79,1,neg_nonword,,,,,,,,
honie,79,1,neg_nonword,,,,,,,,
reebo,79,1,neg_nonword,,,,,,,,
sarasota,79,1,neg_nonword,,,,,,,,
ut,78,1,neg_nonword,,,,,,,,
george,78,1,neg_nonword,,,,,,,,
daggett,78,1,neg_nonword,,,,,,,,
seneca,78,1,neg_nonword,,,,,,,,
brijj,78,1,neg_nonword,,,,,,,,
dixie,78,1,neg_nonword,,,,,,,,
predep,78,1,neg_nonword,,,,,,,,
doublechked,78,1,neg_nonword,,,,,,,,
dupage,77,1,neg_nonword,,,,,,,,
jeffco,77,1,neg_nonword,,,,,,,,
saginaw,77,1,neg_nonword,,,,,,,,
chkride,77,1,neg_nonword,,,,,,,,
tfrs,77,1,neg_nonword,,,,,,,,
nassau,77,1,neg_nonword,,,,,,,,
clrer,76,1,neg_nonword,,,,,,,,
pilatus,76,1,neg_nonword,,,,,,,,
unarm,76,1,neg_nonword,,,,,,,,
sebnd,76,1,neg_nonword,,,,,,,,
saturday,76,1,neg_nonword,,,,,,,,
luxor,76,1,neg_nonword,,,,,,,,
ahrs,76,1,neg_nonword,,,,,,,,
narita,76,1,neg_nonword,,,,,,,,
revectored,75,1,neg_nonword,,,,,,,,
paris,75,1,neg_nonword,,,,,,,,
malibu,75,1,neg_nonword,,,,,,,,
martinsburg,75,1,neg_nonword,,,,,,,,
ipumy,74,1,neg_nonword,,,,,,,,
hotline,74,1,neg_nonword,,,,,,,,
porte,74,1,neg_nonword,,,,,,,,
cyn,74,1,neg_nonword,,,,,,,,
wylyy,74,1,neg_nonword,,,,,,,,
lancair,74,1,neg_nonword,,,,,,,,
mccarran,74,1,neg_nonword,,,,,,,,
nh,73,1,neg_nonword,,,,,,,,
backcourse,73,1,neg_nonword,,,,,,,,
majic,73,1,neg_nonword,,,,,,,,
xed,73,1,neg_nonword,,,,,,,,
speedbrakes,72,1,neg_nonword,,,,,,,,
iiia,72,1,neg_nonword,,,,,,,,
whidbey,72,1,neg_nonword,,,,,,,,
trrop,72,1,neg_nonword,,,,,,,,
vortices,72,1,neg_nonword,,,,,,,,
ojti,72,1,neg_nonword,,,,,,,,
dpk,72,1,neg_nonword,,,,,,,,
chkpoint,72,1,neg_nonword,,,,,,,,
rebriefed,71,1,neg_nonword,,,,,,,,
swbnd,71,1,neg_nonword,,,,,,,,
locator,71,1,neg_nonword,,,,,,,,
wkend,71,1,neg_nonword,,,,,,,,
ravnn,71,1,neg_nonword,,,,,,,,
dxo,71,1,neg_nonword,,,,,,,,
mexican,71,1,neg_nonword,,,,,,,,
skydive,70,1,neg_nonword,,,,,,,,
swann,70,1,neg_nonword,,,,,,,,
america,70,1,neg_nonword,,,,,,,,
intrafac,70,1,neg_nonword,,,,,,,,
mc,70,1,neg_nonword,,,,,,,,
erlin,70,1,neg_nonword,,,,,,,,
acton,69,1,neg_nonword,,,,,,,,
lendy,69,1,neg_nonword,,,,,,,,
swatt,69,1,neg_nonword,,,,,,,,
europe,69,1,neg_nonword,,,,,,,,
bedford,68,1,neg_nonword,,,,,,,,
vcn,68,1,neg_nonword,,,,,,,,
mansfield,68,1,neg_nonword,,,,,,,,
destin,68,1,neg_nonword,,,,,,,,
antiskid,68,1,neg_nonword,,,,,,,,
frankfurt,68,1,neg_nonword,,,,,,,,
soldo,68,1,neg_nonword,,,,,,,,
ellington,68,1,neg_nonword,,,,,,,,
ukw,67,1,neg_nonword,,,,,,,,
ood,67,1,neg_nonword,,,,,,,,
siler,67,1,neg_nonword,,,,,,,,
millville,67,1,neg_nonword,,,,,,,,
medford,67,1,neg_nonword,,,,,,,,
coate,67,1,neg_nonword,,,,,,,,
brooke,67,1,neg_nonword,,,,,,,,
whiteman,67,1,neg_nonword,,,,,,,,
livermore,67,1,neg_nonword,,,,,,,,
overwater,67,1,neg_nonword,,,,,,,,
overflts,66,1,neg_nonword,,,,,,,,
configns,66,1,neg_nonword,,,,,,,,
exceedance,66,1,neg_nonword,,,,,,,,
shand,65,1,neg_nonword,,,,,,,,
kong,65,1,neg_nonword,,,,,,,,
denay,65,1,neg_nonword,,,,,,,,
limma,65,1,neg_nonword,,,,,,,,
cumulo,65,1,neg_nonword,,,,,,,,
repos,65,1,neg_nonword,,,,,,,,
sparta,64,1,neg_nonword,,,,,,,,
haute,64,1,neg_nonword,,,,,,,,
drllr,64,1,neg_nonword,,,,,,,,
rome,64,1,neg_nonword,,,,,,,,
norwood,64,1,neg_nonword,,,,,,,,
brackett,64,1,neg_nonword,,,,,,,,
tiroe,64,1,neg_nonword,,,,,,,,
retuned,63,1,neg_nonword,,,,,,,,
yardley,63,1,neg_nonword,,,,,,,,
lwoc,63,1,neg_nonword,,,,,,,,
toro,63,1,neg_nonword,,,,,,,,
nashua,63,1,neg_nonword,,,,,,,,
airshow,63,1,neg_nonword,,,,,,,,
grnpa,63,1,neg_nonword,,,,,,,,
summa,63,1,neg_nonword,,,,,,,,
dandd,62,1,neg_nonword,,,,,,,,
french,62,1,neg_nonword,,,,,,,,
staav,62,1,neg_nonword,,,,,,,,
eg,62,1,neg_nonword,,,,,,,,
bonham,62,1,neg_nonword,,,,,,,,
svced,62,1,neg_nonword,,,,,,,,
xmitters,62,1,neg_nonword,,,,,,,,
melbourne,61,1,neg_nonword,,,,,,,,
asym,61,1,neg_nonword,,,,,,,,
clacker,61,1,neg_nonword,,,,,,,,
unrpted,61,1,neg_nonword,,,,,,,,
tammy,61,1,neg_nonword,,,,,,,,
vernon,61,1,neg_nonword,,,,,,,,
pgy,61,1,neg_nonword,,,,,,,,
taws,60,1,neg_nonword,,,,,,,,
mulrr,60,1,neg_nonword,,,,,,,,
gilro,60,1,neg_nonword,,,,,,,,
dqo,60,1,neg_nonword,,,,,,,,
ecams,60,1,neg_nonword,,,,,,,,
fgts,60,1,neg_nonword,,,,,,,,
robrt,60,1,neg_nonword,,,,,,,,
wsw,60,1,neg_nonword,,,,,,,,
easton,60,1,neg_nonword,,,,,,,,
helipad,60,1,neg_nonword,,,,,,,,
aerostar,60,1,neg_nonword,,,,,,,,
xxxxx,59,1,neg_nonword,,,,,,,,
visly,59,1,neg_nonword,,,,,,,,
canuk,59,1,neg_nonword,,,,,,,,
pontiac,59,1,neg_nonword,,,,,,,,
chkout,59,1,neg_nonword,,,,,,,,
fairbanks,59,1,neg_nonword,,,,,,,,
coplts,59,1,neg_nonword,,,,,,,,
catalina,59,1,neg_nonword,,,,,,,,
preselector,59,1,neg_nonword,,,,,,,,
tejay,59,1,neg_nonword,,,,,,,,
arlin,59,1,neg_nonword,,,,,,,,
laguardia,59,1,neg_nonword,,,,,,,,
clark,59,1,neg_nonword,,,,,,,,
lunken,59,1,neg_nonword,,,,,,,,
internet,59,1,neg_nonword,,,,,,,,
mb,58,1,neg_nonword,,,,,,,,
monday,58,1,neg_nonword,,,,,,,,
camrn,58,1,neg_nonword,,,,,,,,
mugzy,58,1,neg_nonword,,,,,,,,
buckley,58,1,neg_nonword,,,,,,,,
xyl,58,1,neg_nonword,,,,,,,,
eec,58,1,neg_nonword,,,,,,,,
solberg,58,1,neg_nonword,,,,,,,,
manhattan,58,1,neg_nonword,,,,,,,,
tokyo,57,1,neg_nonword,,,,,,,,
american,57,1,neg_nonword,,,,,,,,
lindbergh,57,1,neg_nonword,,,,,,,,
vip,57,1,neg_nonword,,,,,,,,
xm,57,1,neg_nonword,,,,,,,,
oe,57,1,neg_nonword,,,,,,,,
trtle,57,1,neg_nonword,,,,,,,,
vydda,57,1,neg_nonword,,,,,,,,
ffz,57,1,neg_nonword,,,,,,,,
kissimmee,56,1,neg_nonword,,,,,,,,
elmira,56,1,neg_nonword,,,,,,,,
llws,56,1,neg_nonword,,,,,,,,
pearson,56,1,neg_nonword,,,,,,,,
montreal,56,1,neg_nonword,,,,,,,,
virga,56,1,neg_nonword,,,,,,,,
boids,56,1,neg_nonword,,,,,,,,
iie,56,1,neg_nonword,,,,,,,,
grissom,55,1,neg_nonword,,,,,,,,
homeitis,55,1,neg_nonword,,,,,,,,
lrp,55,1,neg_nonword,,,,,,,,
unforecasted,55,1,neg_nonword,,,,,,,,
druzz,55,1,neg_nonword,,,,,,,,
resequence,55,1,neg_nonword,,,,,,,,
asheville,55,1,neg_nonword,,,,,,,,
gaate,55,1,neg_nonword,,,,,,,,
xwinds,55,1,neg_nonword,,,,,,,,
grumman,54,1,neg_nonword,,,,,,,,
decertified,54,1,neg_nonword,,,,,,,,
baset,54,1,neg_nonword,,,,,,,,
disneyland,54,1,neg_nonword,,,,,,,,
williamsport,54,1,neg_nonword,,,,,,,,
monroe,54,1,neg_nonword,,,,,,,,
pottstown,54,1,neg_nonword,,,,,,,,
tragr,54,1,neg_nonword,,,,,,,,
busses,54,1,neg_nonword,,,,,,,,
qne,54,1,neg_nonword,,,,,,,,
triss,54,1,neg_nonword,,,,,,,,
gky,54,1,neg_nonword,,,,,,,,
krena,53,1,neg_nonword,,,,,,,,
craig,53,1,neg_nonword,,,,,,,,
seminole,53,1,neg_nonword,,,,,,,,
gfms,53,1,neg_nonword,,,,,,,,
parke,53,1,neg_nonword,,,,,,,,
milton,53,1,neg_nonword,,,,,,,,
paine,53,1,neg_nonword,,,,,,,,
palo,53,1,neg_nonword,,,,,,,,
eadi,53,1,neg_nonword,,,,,,,,
circumnav,53,1,neg_nonword,,,,,,,,
skylane,53,1,neg_nonword,,,,,,,,
valre,53,1,neg_nonword,,,,,,,,
dsnee,53,1,neg_nonword,,,,,,,,
ramona,53,1,neg_nonword,,,,,,,,
burlington,53,1,neg_nonword,,,,,,,,
geela,52,1,neg_nonword,,,,,,,,
krain,52,1,neg_nonword,,,,,,,,
